batch,trial,passed,current_failed,past_failed,current_reasons,past_reasons,current_max_delta,past_max_delta,current_sequences,past_sequences
1,1,True,0,0,{},{},3.3527612686157227e-07,0,700,0
2,1,True,0,0,{},{},1.4185905456542969e-05,2.2586900740861893e-06,700,64
3,1,True,0,0,{},{},5.736947059631348e-07,7.966067641973495e-06,700,64
4,1,True,0,0,{},{},8.493661880493164e-07,6.401445716619492e-06,700,64
5,1,True,0,0,{},{},1.1563301086425781e-05,1.3871118426322937e-05,700,64
6,0,True,0,0,{},{},2.3096799850463867e-07,1.94706954061985e-05,700,64
7,0,True,0,0,{},{},2.377200871706009e-07,6.419140845537186e-05,700,64
8,0,True,0,0,{},{},4.637986421585083e-07,9.607058018445969e-06,700,64
9,0,False,0,1,{},"{""PER_SEQUENCE_NLL"": 1}",4.76837158203125e-06,0.000382743775844574,700,64
9,1,False,0,1,{},"{""PER_SEQUENCE_NLL"": 1}",1.33514404296875e-05,0.00019121915102005005,700,64
9,2,True,0,0,{},{},1.1444091796875e-05,9.57287847995758e-05,700,64
10,1,False,0,1,{},"{""PER_SEQUENCE_NLL"": 1}",4.649162292480469e-06,0.00033258646726608276,700,64
10,2,False,0,1,{},"{""PER_SEQUENCE_NLL"": 1}",5.304813385009766e-06,0.0001662522554397583,700,64
10,3,True,0,0,{},{},8.106231689453125e-06,8.372962474822998e-05,700,64
