comparison,metric,denominator,before,after,lost,gained,net_pp,new_nll_delta_mean,new_nll_delta_min,new_nll_delta_p50,new_nll_delta_p95,new_nll_delta_p99,new_nll_delta_max,true_nll_delta_mean,true_nll_delta_min,true_nll_delta_p50,true_nll_delta_p95,true_nll_delta_p99,true_nll_delta_max,desired_margin_delta_mean,desired_margin_delta_min,desired_margin_delta_p50,desired_margin_delta_p95,desired_margin_delta_p99,desired_margin_delta_max
W5_to_W10_first500,RS,500,500,498,2,0,-0.4,0.037265043576884635,-0.007747786585241556,3.735814243555069e-05,0.0030541504675056608,0.0900189658626859,8.126816410571337,-0.14559662246704103,-3.3944997787475586,-0.11378002166748047,0.8768255710601764,1.7484275054931613,2.9065608978271484,-0.18286166604392565,-7.362171787768602,-0.11808355411631055,0.8772268970016697,1.7489473012278876,2.906648501229938
W5_to_W10_first500,PS,1000,959,959,3,3,0.0,-0.034996955188005816,-3.6407580375671387,-0.0006230809958651662,0.37155354022979686,1.1173728251457193,5.623488426208496,0.0214655730612576,-3.52559757232666,0.010487556457519531,1.0511387825012206,2.1282104825973502,5.578981399536133,0.05646252824926341,-6.615588665008545,0.04069754481315613,1.2468165755271905,2.4653256349265553,5.615084808319807
W5_to_W10_first500,NS,5000,4193,3979,273,59,-4.28,-0.5937733518702939,-14.02976078784559,-0.36886119842529297,1.286495089530945,3.238848485946657,10.388049125671387,0.2592652156299795,-6.5818400382995605,-0.007126867771148682,2.782181358337403,7.318252746313815,16.543941020965576,-0.8530385675002733,-25.800812081433833,-0.3490440845489502,1.294739080965519,2.6050950956344607,6.933125257492065
ATWRITE_to_W10_all1000,RS,1000,999,997,2,0,-0.2,0.022991900274722865,-0.028724610805511475,7.567781722173095e-06,0.0020001013355795275,0.024831069614738212,8.12019369378686,-0.12908820366859436,-8.04472827911377,-0.01021432876586914,0.77502245903015,1.4948598194122313,4.701357841491699,-0.15208010394331722,-8.40125641413033,-0.0101024027026142,0.772942808138032,1.4953769686981102,4.70175624240801
ATWRITE_to_W10_all1000,PS,2000,1928,1931,6,9,0.15,-0.04139902859128779,-10.456158816814423,-1.1734664440155029e-07,0.35274911522865293,1.0366321849822997,4.339230537414551,-0.0155864649170544,-6.664615631103516,-5.245208740234375e-06,0.9376902341842651,2.26634660243988,5.912132263183594,0.025812563674233388,-6.435983657836914,0.0,1.0825862426310768,2.6282897388935087,6.099542574957013
ATWRITE_to_W10_all1000,NS,10000,8364,8034,450,120,-3.3,-0.5647445780733346,-15.35928300023079,-0.20319271087646484,1.1070241332054136,2.8514068961143524,11.601563453674316,0.15666824321909809,-7.635899543762207,0.0,2.4195410966873165,6.672451822757724,16.849729418754578,-0.7214128212924327,-25.994448373676278,-0.15903240442276,1.211891075968742,2.5293088459968573,9.947509706020355
pooled_NATIVE_to_SELECTED,RS,1000,999,999,0,0,0.0,6.031710654497146e-09,-2.592802047729492e-06,0.0,1.1897645890712738e-07,1.2036325642838967e-07,7.152557373046875e-06,-3.638714551925659e-07,-7.05718994140625e-05,0.0,3.147125244140625e-05,4.1961669921875e-05,7.2479248046875e-05,-3.6990316584706306e-07,-7.05718994140625e-05,0.0,3.147125244140625e-05,4.1961669921875e-05,7.410161197185516e-05
pooled_NATIVE_to_SELECTED,PS,2000,1928,1928,0,0,0.0,0.00015597566296492006,-0.03840303421020508,6.709247827529907e-06,0.0021172046661376955,0.005908164978027342,0.025571346282958984,-0.0005606180124450475,-0.062114715576171875,-0.0002460479736328125,0.002556443214416504,0.005997848510742183,0.015625953674316406,-0.0007165936754099675,-0.06212138835689984,-0.0003014933317899704,0.002590983361005783,0.006034301519393918,0.026187658309936523
pooled_NATIVE_to_SELECTED,NS,10000,8363,8364,0,1,0.01,0.0003537403851179988,-0.042697906494140625,0.00011020898818969727,0.003850984573364257,0.009663066864013681,0.054843902587890625,-3.703177667921409e-05,-0.020218849182128906,5.363486707210541e-06,0.002459609508514403,0.0059708070755004955,0.023386001586914062,0.0003907721617972129,-0.034343719482421875,9.083747863769531e-05,0.004513764381408691,0.010691335126757635,0.05126279592514038
