component,unit,value,nesting
Dev128,backward_seconds,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,cache_transfer_seconds,6.120596943423152,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,cached_backward_documents,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,cached_input_tokens,65792.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,cached_suffix_forwards,256.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,cached_suffix_seconds,23.164115944877267,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,comparison_logit_elements,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,gradient_sweeps,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,head_positions,32768.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,kl_documents,256.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,kl_input_tokens,65792.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,kl_scored_positions,32768.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,kl_sweeps,2.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,physical_backward_documents,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,physical_copy_restore_seconds,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,physical_exact_restores,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,physical_full_forwards,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,physical_full_seconds,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,physical_input_tokens,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,physical_weight_installs,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,prefix_forwards,256.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,prefix_input_tokens,65792.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,prefix_seconds,4.344009956344962,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,prefix_valid_tokens,65792.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,teacher_bytes_read,16810770432.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,teacher_documents_read,256.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
Dev128,teacher_read_seconds,9.408897540532053,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,attention_mask_valid_entries,1586128.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,backward_calls,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,canonical_microbatches_computed,2442.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,canonical_pair_rows_computed,39000.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,canonical_pair_rows_reused,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,copy_restore_seconds,0.8145824121311307,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,exact_restores,2.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,generated_tokens,48000.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,greedy_requests_computed,1500.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,greedy_requests_reused,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,history_appends,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,model_forward_calls,50442.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,model_input_tokens,684559.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,native_fit_calls,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,observer_calls,2.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,observer_seconds,1356.5477200793102,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,physical_installs,2.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
fullseen,reduced_metric_pairs_reused,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,attention_mask_valid_entries,1058596.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,backward_calls,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,canonical_microbatches_computed,1660.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,canonical_pair_rows_computed,26000.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,canonical_pair_rows_reused,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,copy_restore_seconds,4.887237419374287,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,exact_restores,10.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,generated_tokens,32000.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,greedy_requests_computed,1000.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,greedy_requests_reused,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,history_appends,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,model_forward_calls,33660.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,model_input_tokens,457261.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,native_fit_calls,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,observer_calls,10.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,observer_seconds,912.453741199337,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,physical_installs,10.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_entry,reduced_metric_pairs_reused,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_own-native,attention_mask_valid_entries,1058596.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_own-native,backward_calls,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_own-native,canonical_microbatches_computed,1660.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_own-native,canonical_pair_rows_computed,26000.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_own-native,canonical_pair_rows_reused,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_own-native,copy_restore_seconds,5.268045702949166,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_own-native,exact_restores,10.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_own-native,generated_tokens,32000.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_own-native,greedy_requests_computed,1000.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_own-native,greedy_requests_reused,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_own-native,history_appends,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_own-native,model_forward_calls,33660.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
