arm,metric,n,d,rate,ties
N4,RS,100,100,1.0,0
N4,PS,194,200,0.97,0
N4,NS,865,1000,0.865,0
SCALE,RS,100,100,1.0,0
SCALE,PS,194,200,0.97,0
SCALE,NS,865,1000,0.865,0
CA,RS,100,100,1.0,0
CA,PS,194,200,0.97,0
CA,NS,865,1000,0.865,0
KL-P,RS,100,100,1.0,0
KL-P,PS,194,200,0.97,0
KL-P,NS,865,1000,0.865,0
EN-S,RS,100,100,1.0,0
EN-S,PS,194,200,0.97,0
EN-S,NS,865,1000,0.865,0
EN-F,RS,100,100,1.0,0
EN-F,PS,194,200,0.97,0
EN-F,NS,865,1000,0.865,0
EN-COV,RS,100,100,1.0,0
EN-COV,PS,193,200,0.965,0
EN-COV,NS,866,1000,0.866,0
EN-F4,RS,100,100,1.0,0
EN-F4,PS,194,200,0.97,0
EN-F4,NS,865,1000,0.865,0
W0,RS,5,100,0.05,0
W0,PS,20,200,0.1,0
W0,NS,886,1000,0.886,0
RAND+,RS,100,100,1.0,0
RAND+,PS,194,200,0.97,0
RAND+,NS,865,1000,0.865,0
RAND-,RS,100,100,1.0,0
RAND-,PS,194,200,0.97,0
RAND-,NS,865,1000,0.865,0
