arm,scope,integrity,optimization,RS_n,RS_d,RS_delta_pp_vs_N4,PS_n,PS_d,PS_delta_pp_vs_N4,NS_n,NS_d,NS_delta_pp_vs_N4,R_two_P_NLL_joint,R_two_P_strict,denominator,rewrite_strict,two_P_strict,S64_KL,Dev128_KL,correction_norm,fallback,stop
N4,b001_unique100,CPU_RAW_REDUCTION_PASS_NOT_T_PASS,REUSE,100,100,0.0,194,200,0.0,865,1000,0.0,96,44,100,100,44,0.0017209116219354407,0.001766693534443316,0.0,True,NATIVE_ENDPOINT
SCALE,b001_unique100,CPU_RAW_REDUCTION_PASS_NOT_T_PASS,REUSE,100,100,0.0,194,200,0.0,865,1000,0.0,96,44,100,100,44,0.0017209116219354407,0.001766693534443316,0.0,True,TRIAL_BUDGET_EXHAUSTED_NO_NEW_ACCEPT
CA,b001_unique100,CPU_RAW_REDUCTION_PASS_NOT_T_PASS,REUSE,100,100,0.0,194,200,0.0,865,1000,0.0,96,44,100,100,44,0.0017209116219354407,0.001766693534443316,0.0,True,TRIAL_BUDGET_EXHAUSTED_NO_NEW_ACCEPT
KL-P,b001_unique100,CPU_RAW_REDUCTION_PASS_NOT_T_PASS,REUSE,100,100,0.0,194,200,0.0,865,1000,0.0,96,44,100,100,44,0.0015427746503048183,0.0017663487061304408,0.003192761707041202,False,GRADIENT_BUDGET_EXHAUSTED
EN-S,b001_unique100,CPU_RAW_REDUCTION_PASS_NOT_T_PASS,REUSE,100,100,0.0,194,200,0.0,865,1000,0.0,96,44,100,100,44,0.0014402573359822723,0.001766389831978418,0.006435743799504245,False,GRADIENT_BUDGET_EXHAUSTED
EN-F,b001_unique100,CPU_RAW_REDUCTION_PASS_NOT_T_PASS,RUN_MISSING,100,100,0.0,194,200,0.0,865,1000,0.0,96,44,100,100,44,0.001431223957276796,0.001766054667311777,0.01654755357522364,False,GRADIENT_BUDGET_EXHAUSTED
EN-COV,b001_unique100,CPU_RAW_REDUCTION_PASS_NOT_T_PASS,RUN_MISSING,100,100,0.0,193,200,-0.5000000000000004,866,1000,0.10000000000000009,95,44,100,100,44,0.0012051326718478137,0.001628538866423095,1.1122200760428629,False,GRADIENT_BUDGET_EXHAUSTED
EN-F4,b001_unique100,CPU_RAW_REDUCTION_PASS_NOT_T_PASS,RUN_MISSING,100,100,0.0,194,200,0.0,865,1000,0.0,96,44,100,100,44,0.0010139627667057826,0.001763404520995411,0.03395447387153159,False,GRADIENT_BUDGET_EXHAUSTED
