arm,checkpoint_or_history_action,event,event_index,native_weight_sha256,objective_id,resolution_floor,rounds,trials_per_round,detail_reasons,source_event_sha,gradient_norm,gradient_sha256,loss,previous_accepted_loss,repeat_loss_delta,round,weight_sha256,chi,projected_sha256,scalar_gradient,passed,reason,trial,detail_ceiling,detail_relative,detail_actual_leakage_pass,detail_actual_max_token_normalized_response,detail_actual_norm,detail_actual_projection_leakage_relative,detail_actual_response_pass,detail_ideal_norm,detail_ideal_pass,detail_ideal_response_denominator,detail_ideal_response_relative,detail_logit_elements,detail_logit_max,detail_logit_rms,detail_logits_NLL_ID_stationarity,detail_max_NLL_difference,detail_pass,detail_rounding_delta_norm,detail_valid_key_columns
N4,False,controller_start,0,74631ae56c33d165effeff7d2d83d80a1b68630e5745d6305e713e2351b1713d,UNBOUND_OBJECTIVE,1e-06,0,0,[],2cac427073093a6bb6a0f5cac47c4fa34e6cb5c118a903b13acffca90f6083af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCALE,False,controller_start,0,74631ae56c33d165effeff7d2d83d80a1b68630e5745d6305e713e2351b1713d,df87abda4bee618e8a68e1389f756f1c968efd8c39687d6875affa58a7bc0c6d,1e-06,1,8,[],f07ed1432fef48652c7b78d5b5ff4ebba55817a1a0806e77feb29a20632bd673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCALE,,gradient_observed,3,,,,,,[],a2b7d0ac5cbebfcc7514ef3b037ddba92b7a6d62ddc03a9a7e03f3174204ec4d,0.06936396487946916,d5e921c90eb82f95a85775927fc2d1a49e5e68edae286c1f65568307e013d2d3,0.0017209078391055635,,,0,74631ae56c33d165effeff7d2d83d80a1b68630e5745d6305e713e2351b1713d,,,,,,,,,,,,,,,,,,,,,,,,,
SCALE,,direction,4,,,,,,[],309f43f69391317b388c6363bca1b2ddc8de8667148de602694c2be179a955c6,,,,,,0,,1.2646940367431105e-05,,-0.003556253698406668,,,,,,,,,,,,,,,,,,,,,,
