scope,component,value,provenance,additive
N4,accepted_rounds,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
N4,attempted_trial_slots,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
N4,duplicate_trials,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
N4,gradient_rounds,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
N4,gradient_sweeps,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
N4,guard_calls,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
N4,guard_seconds,0.0,S4_REUSED,NO_OVERLAP_UNRESOLVED
N4,invariant_calls,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
N4,invariant_seconds,0.0,S4_REUSED,NO_OVERLAP_UNRESOLVED
N4,nonfinite_objective_trials,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
N4,nonfinite_weight_trials,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
N4,objective_seconds,0.0,S4_REUSED,NO_OVERLAP_UNRESOLVED
N4,objective_trial_sweeps,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
N4,projection_seconds,0.0,S4_REUSED,NO_OVERLAP_UNRESOLVED
N4,proposal_check_seconds,0.0,S4_REUSED,NO_OVERLAP_UNRESOLVED
N4,proposal_checks,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
N4,rejected_trials,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
N4,shared_initial_gradient_reuses,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,accepted_rounds,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,attempted_trial_slots,8,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,duplicate_trials,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,gradient_rounds,1,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,gradient_sweeps,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,guard_calls,8,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,guard_seconds,798.0799428662285,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,invariant_calls,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,invariant_seconds,0.0,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,nonfinite_objective_trials,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,nonfinite_weight_trials,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,objective_seconds,172.29779050406069,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,objective_trial_sweeps,8,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,projection_seconds,0.0,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,proposal_check_seconds,0.0,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,proposal_checks,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,rejected_trials,8,S4_REUSED,NO_OVERLAP_UNRESOLVED
SCALE,shared_initial_gradient_reuses,1,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,accepted_rounds,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,attempted_trial_slots,8,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,duplicate_trials,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,gradient_rounds,1,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,gradient_sweeps,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,guard_calls,8,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,guard_seconds,763.3419901970774,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,invariant_calls,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,invariant_seconds,0.0,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,nonfinite_objective_trials,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,nonfinite_weight_trials,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,objective_seconds,157.355385187082,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,objective_trial_sweeps,8,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,projection_seconds,0.504777223803103,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,proposal_check_seconds,0.0,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,proposal_checks,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,rejected_trials,8,S4_REUSED,NO_OVERLAP_UNRESOLVED
CA,shared_initial_gradient_reuses,1,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,accepted_rounds,1,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,attempted_trial_slots,4,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,duplicate_trials,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,gradient_rounds,1,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,gradient_sweeps,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,guard_calls,3,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,guard_seconds,328.5805775662884,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,invariant_calls,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,invariant_seconds,0.0,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,nonfinite_objective_trials,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,nonfinite_weight_trials,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,objective_seconds,82.53642300982028,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,objective_trial_sweeps,4,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,projection_seconds,10.372994999401271,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,proposal_check_seconds,0.0,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,proposal_checks,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,rejected_trials,3,S4_REUSED,NO_OVERLAP_UNRESOLVED
KL-P,shared_initial_gradient_reuses,1,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,accepted_rounds,1,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,attempted_trial_slots,3,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,duplicate_trials,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,gradient_rounds,1,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,gradient_sweeps,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,guard_calls,2,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,guard_seconds,218.59074812103063,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,invariant_calls,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,invariant_seconds,0.0,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,nonfinite_objective_trials,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,nonfinite_weight_trials,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,objective_seconds,60.12826457526535,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,objective_trial_sweeps,3,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,projection_seconds,10.422959302552044,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,proposal_check_seconds,0.0,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,proposal_checks,0,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,rejected_trials,2,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-S,shared_initial_gradient_reuses,1,S4_REUSED,NO_OVERLAP_UNRESOLVED
EN-F,accepted_rounds,1,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F,attempted_trial_slots,2,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F,duplicate_trials,0,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F,gradient_rounds,1,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F,gradient_sweeps,0,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F,guard_calls,1,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F,guard_seconds,144.01690063625574,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F,invariant_calls,1,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F,invariant_seconds,434.78353448957205,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F,nonfinite_objective_trials,0,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F,nonfinite_weight_trials,0,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F,objective_seconds,61.379517659544945,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F,objective_trial_sweeps,2,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F,projection_seconds,21.418324695900083,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F,proposal_check_seconds,11.932774879038334,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F,proposal_checks,2,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F,rejected_trials,1,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F,shared_initial_gradient_reuses,1,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,accepted_rounds,1,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,attempted_trial_slots,2,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,duplicate_trials,0,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,gradient_rounds,1,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,gradient_sweeps,1,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,guard_calls,1,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,guard_seconds,130.11033383570611,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,invariant_calls,1,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,invariant_seconds,428.54515301436186,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,nonfinite_objective_trials,0,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,nonfinite_weight_trials,0,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,objective_seconds,70.7877162899822,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,objective_trial_sweeps,2,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,projection_seconds,21.41904206573963,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,proposal_check_seconds,14.964756861329079,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,proposal_checks,2,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,rejected_trials,1,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-COV,shared_initial_gradient_reuses,0,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,accepted_rounds,4,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,attempted_trial_slots,7,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,duplicate_trials,0,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,gradient_rounds,4,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,gradient_sweeps,3,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,guard_calls,4,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,guard_seconds,585.7783691585064,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,invariant_calls,4,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,invariant_seconds,1806.4078770019114,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,nonfinite_objective_trials,0,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,nonfinite_weight_trials,0,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,objective_seconds,423.33406744897366,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,objective_trial_sweeps,7,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,projection_seconds,87.99514759518206,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,proposal_check_seconds,42.349009646102786,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,proposal_checks,7,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,rejected_trials,3,S1_NEW,NO_OVERLAP_UNRESOLVED
EN-F4,shared_initial_gradient_reuses,1,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal,arms,8,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal,diagnostics,2,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal,episode,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal,history_appends,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.initial,bytes,12250,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal,native_fit_new,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,attention_mask_valid_entries,868832,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,backward_calls,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,canonical_microbatches_computed,1494,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,canonical_pair_rows_computed,23400,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,canonical_pair_rows_reused,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,copy_restore_seconds,5.509699476882815,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,exact_restores,9,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,generated_tokens,25600,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,greedy_requests_computed,800,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,greedy_requests_reused,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,history_appends,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,model_forward_calls,27094,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,model_input_tokens,418064,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,native_fit_calls,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,observer_calls,9,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,observer_seconds,1596.287395088002,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,physical_installs,9,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.observer_work,reduced_metric_pairs_reused,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,backward_seconds,0.0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,cache_transfer_seconds,4.555296875536442,S1_NEW,NO_OVERLAP_UNRESOLVED
