arm,metric,quantity,count,mean,median,p90,p95,p99,min,max
N4,RS,new_nll,100,0.0014504952401330228,0.0008624052279628813,0.0030057028867304337,0.004103627381846308,0.00673247037921103,6.8662193370983e-05,0.010830665938556194
N4,RS,new_nll_delta_vs_N4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N4,RS,true_nll,100,15.203710327148437,15.342072010040283,20.19803199768067,21.524992752075196,25.84030006408692,4.724841117858887,27.617401123046875
N4,RS,true_nll_delta_vs_N4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N4,RS,desired_margin,100,15.202259831908304,15.341273096564692,20.197574869231907,21.524515111251095,25.838242940721404,4.722183781210333,27.617332460853504
N4,RS,desired_margin_delta_vs_N4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N4,PS,new_nll,200,1.6400648170907517,0.3955013006925583,5.044333744049071,6.829360890388481,9.776970548629757,0.0004923323867842555,10.71419620513916
N4,PS,new_nll_delta_vs_N4,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N4,PS,true_nll,200,10.153915430009365,10.02016830444336,15.3889422416687,17.061124706268306,19.595761661529536,0.8844092488288879,21.306949615478516
N4,PS,true_nll_delta_vs_N4,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N4,PS,desired_margin,200,8.513850612918613,8.348874177783728,15.085135180223732,16.832530269958074,19.594082277561533,-5.414571940898895,21.037109166383743
N4,PS,desired_margin_delta_vs_N4,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N4,NS,new_nll,1000,11.133725067893975,11.104583263397217,15.94826135635376,17.274970626831053,20.172906208038327,0.002092316746711731,23.542448043823242
N4,NS,new_nll_delta_vs_N4,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N4,NS,true_nll,1000,5.526179037496273,5.3226447105407715,10.662445545196533,12.11572561264038,14.517459163665771,0.0007858763565309346,18.679119110107422
N4,NS,true_nll_delta_vs_N4,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N4,NS,desired_margin,1000,5.607546030397701,5.614905491471291,12.256293207406998,13.982308954931794,16.518033592700956,-12.93704991042614,19.89994601905346
N4,NS,desired_margin_delta_vs_N4,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCALE,RS,new_nll,100,0.0014504952401330228,0.0008624052279628813,0.0030057028867304337,0.004103627381846308,0.00673247037921103,6.8662193370983e-05,0.010830665938556194
SCALE,RS,new_nll_delta_vs_N4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCALE,RS,true_nll,100,15.203710327148437,15.342072010040283,20.19803199768067,21.524992752075196,25.84030006408692,4.724841117858887,27.617401123046875
SCALE,RS,true_nll_delta_vs_N4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCALE,RS,desired_margin,100,15.202259831908304,15.341273096564692,20.197574869231907,21.524515111251095,25.838242940721404,4.722183781210333,27.617332460853504
SCALE,RS,desired_margin_delta_vs_N4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCALE,PS,new_nll,200,1.6400648170907517,0.3955013006925583,5.044333744049071,6.829360890388481,9.776970548629757,0.0004923323867842555,10.71419620513916
SCALE,PS,new_nll_delta_vs_N4,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCALE,PS,true_nll,200,10.153915430009365,10.02016830444336,15.3889422416687,17.061124706268306,19.595761661529536,0.8844092488288879,21.306949615478516
SCALE,PS,true_nll_delta_vs_N4,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCALE,PS,desired_margin,200,8.513850612918613,8.348874177783728,15.085135180223732,16.832530269958074,19.594082277561533,-5.414571940898895,21.037109166383743
SCALE,PS,desired_margin_delta_vs_N4,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCALE,NS,new_nll,1000,11.133725067893975,11.104583263397217,15.94826135635376,17.274970626831053,20.172906208038327,0.002092316746711731,23.542448043823242
SCALE,NS,new_nll_delta_vs_N4,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCALE,NS,true_nll,1000,5.526179037496273,5.3226447105407715,10.662445545196533,12.11572561264038,14.517459163665771,0.0007858763565309346,18.679119110107422
SCALE,NS,true_nll_delta_vs_N4,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCALE,NS,desired_margin,1000,5.607546030397701,5.614905491471291,12.256293207406998,13.982308954931794,16.518033592700956,-12.93704991042614,19.89994601905346
SCALE,NS,desired_margin_delta_vs_N4,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,RS,new_nll,100,0.0014504952401330228,0.0008624052279628813,0.0030057028867304337,0.004103627381846308,0.00673247037921103,6.8662193370983e-05,0.010830665938556194
CA,RS,new_nll_delta_vs_N4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,RS,true_nll,100,15.203710327148437,15.342072010040283,20.19803199768067,21.524992752075196,25.84030006408692,4.724841117858887,27.617401123046875
