arm,optimization,endpoint_path,file_sha256,bytes,tensor_raw_sha256,tensor_header_sha256,shape,dtype,finite,correction_norm,correction_changed_fraction,correction_maxabs,native_delta_norm,cumulative_W_minus_W0_norm,context_sha,WN_sha,W0_sha,history_appends,CPU_save_reload
N4,REUSE,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-enfc-single-batch-m-v1/local/enfc-single-batch-m/20260918-v1/imports/server4-b001-r1/sealed/single-layer-edit-preserving-correction/20260918-v1/M/attempt-metadata-r1/episodes/b001/attempt-v1/arms/N4/final-L4.pt,76185436fce41fe842c36c836f3ff1aaecbdf4b7590b4dd093e0064360cb0f20,234903785,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,74631ae56c33d165effeff7d2d83d80a1b68630e5745d6305e713e2351b1713d,4096x14336,float32,True,0.0,0.0,0.0,7.6116527986668565,NOT_RECORDED_LOCAL_W0_TENSOR_ABSENT,cfb6efea82ae828342f13fdd24c015dacf0275f93d47839043f907d6115cfc6f,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6,0,PASS_NOT_GPU_CONTINUATION
SCALE,REUSE,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-enfc-single-batch-m-v1/local/enfc-single-batch-m/20260918-v1/imports/server4-b001-r1/sealed/single-layer-edit-preserving-correction/20260918-v1/M/attempt-metadata-r1/episodes/b001/attempt-v1/arms/SCALE/final-L4.pt,76185436fce41fe842c36c836f3ff1aaecbdf4b7590b4dd093e0064360cb0f20,234903785,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,74631ae56c33d165effeff7d2d83d80a1b68630e5745d6305e713e2351b1713d,4096x14336,float32,True,0.0,0.0,0.0,7.6116527986668565,NOT_RECORDED_LOCAL_W0_TENSOR_ABSENT,cfb6efea82ae828342f13fdd24c015dacf0275f93d47839043f907d6115cfc6f,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6,0,PASS_NOT_GPU_CONTINUATION
CA,REUSE,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-enfc-single-batch-m-v1/local/enfc-single-batch-m/20260918-v1/imports/server4-b001-r1/sealed/single-layer-edit-preserving-correction/20260918-v1/M/attempt-metadata-r1/episodes/b001/attempt-v1/arms/CA/final-L4.pt,76185436fce41fe842c36c836f3ff1aaecbdf4b7590b4dd093e0064360cb0f20,234903785,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,74631ae56c33d165effeff7d2d83d80a1b68630e5745d6305e713e2351b1713d,4096x14336,float32,True,0.0,0.0,0.0,7.6116527986668565,NOT_RECORDED_LOCAL_W0_TENSOR_ABSENT,cfb6efea82ae828342f13fdd24c015dacf0275f93d47839043f907d6115cfc6f,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6,0,PASS_NOT_GPU_CONTINUATION
KL-P,REUSE,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-enfc-single-batch-m-v1/local/enfc-single-batch-m/20260918-v1/imports/server4-b001-r1/sealed/single-layer-edit-preserving-correction/20260918-v1/M/attempt-metadata-r1/episodes/b001/attempt-v1/arms/KL-P/final-L4.pt,9bfccf05dd5cff42115b6762e0f04c11cb46af100e9ff85608ee76698e413d5c,234903785,065f2de22f1f7b6b972cdf18379042e404399af6c37c3ec9a91a55871206a6b1,a55f095ffe900b4de76c70ab2ce19fb477edf34c19bebc101d81a3f0e68a6810,4096x14336,float32,True,0.003192761707041202,0.9990635088511876,7.48663442209363e-05,7.6116527986668565,NOT_RECORDED_LOCAL_W0_TENSOR_ABSENT,cfb6efea82ae828342f13fdd24c015dacf0275f93d47839043f907d6115cfc6f,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6,0,PASS_NOT_GPU_CONTINUATION
EN-S,REUSE,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-enfc-single-batch-m-v1/local/enfc-single-batch-m/20260918-v1/imports/server4-b001-r1/sealed/single-layer-edit-preserving-correction/20260918-v1/M/attempt-metadata-r1/episodes/b001/attempt-v1/arms/EN-S/final-L4.pt,c25580650f3ab6d3b4edb12bb0ba65e762450af84c81638558c7f74d84bc7f72,234903785,71f183ae8fd8b682caa8cd35033b75f3ccc1f432a8e7b4ff83ba734330bfe51f,a568eb1ab4cf041692755dfe1682b7e79b46ebf3c36526e033690ec19d5def5c,4096x14336,float32,True,0.006435743799504245,0.9995406014578683,0.00015159405302256346,7.6116527986668565,NOT_RECORDED_LOCAL_W0_TENSOR_ABSENT,cfb6efea82ae828342f13fdd24c015dacf0275f93d47839043f907d6115cfc6f,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6,0,PASS_NOT_GPU_CONTINUATION
EN-F,RUN_MISSING,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-enfc-single-batch-m-v1/local/enfc-single-batch-m/20260918-v1/output-r1/b001/attempt-v1/arms/EN-F/final-L4.pt,45d97cc6a47e47782a2f68c29635d85d8cec0cbfdc4df3b9d25e34f45427d752,234885097,14d8b723d6c83a09fbf6b277c2d07b7ac63fbd0da26e34a2fc11692457d38a2f,4d85a847b2acdf2e18414a89b7b0ad8edc7540ba544ac144f76746863cdaf118,4096x14336,float32,True,0.01654755357522364,0.9998478889465332,0.00028454186394810677,7.6116527986668565,NOT_RECORDED_LOCAL_W0_TENSOR_ABSENT,cfb6efea82ae828342f13fdd24c015dacf0275f93d47839043f907d6115cfc6f,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6,0,PASS_NOT_GPU_CONTINUATION
EN-COV,RUN_MISSING,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-enfc-single-batch-m-v1/local/enfc-single-batch-m/20260918-v1/output-r1/b001/attempt-v1/arms/EN-COV/final-L4.pt,7cedb6675c21542c0126202aa7efcf474b2e94941b7d8271798e4596f02b9b7c,234885097,c32809a817f829ca0454ad3735814ca22cd10229b0c042ff81bba95a53a264ef,423464c6a82929c64d3b83aebf60794512e46c96463521bddc9fe6c26ed0f0a7,4096x14336,float32,True,1.1122200760428629,0.9999978031430926,0.006088924827054143,7.6116527986668565,NOT_RECORDED_LOCAL_W0_TENSOR_ABSENT,cfb6efea82ae828342f13fdd24c015dacf0275f93d47839043f907d6115cfc6f,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6,0,PASS_NOT_GPU_CONTINUATION
EN-F4,RUN_MISSING,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-enfc-single-batch-m-v1/local/enfc-single-batch-m/20260918-v1/output-r1/b001/attempt-v1/arms/EN-F4/final-L4.pt,535b1311b53b4248bb28cc08f620f18cd310032472b473f6a52482ac3bd1efae,234885097,b91014cfc02110b6acd96eb9048cd0ea9e4d0b0a58ac22b5f8ea30f75966639c,db882531fa75367900d0ff3aba26c919b989e1cde5a16e0512ba44773254dbeb,4096x14336,float32,True,0.03395447387153159,0.9999326808112008,0.00023625758512935136,7.6116527986668565,NOT_RECORDED_LOCAL_W0_TENSOR_ABSENT,cfb6efea82ae828342f13fdd24c015dacf0275f93d47839043f907d6115cfc6f,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,4300365feb31fec8b3ea07a9228d2245814b1bccb04f9ff5d9201a64cfd3e2e6,0,PASS_NOT_GPU_CONTINUATION
