arm,status,RS,PS,NS,S64_KL,Dev128_KL,actual_norm,relative_norm_error,invariant_pass,selected_on_loss,weight_sha,retained_weight
RAND+,RECORDED,100,194,865,0.0017208673817500969,0.001766745879821627,0.016547553531977285,2.6134590963928944e-09,True,False,150d61211d8e23bfaa5284499d83de7a6c9f5aaa1eeb58b8de9704d7639e8304,NO
RAND-,RECORDED,100,194,865,0.0017209618436377415,0.0017666407646323675,0.0165475535318329,2.6221845254236053e-09,True,False,61712a8a1a90478b2afee333020bab5d9fd4120ae062ffa58d76641dc920cf04,NO
