arm,S64_change_pct,Dev128_change_pct
N4,0.0,0.0
SCALE,0.0,0.0
CA,0.0,0.0
KL-P,-10.351314347582763,-0.019518286910114035
EN-S,-16.30846595350014,-0.017190444124970394
EN-F,-16.833384176512478,-0.03616174051037646
EN-COV,-29.97126310923224,-7.819956621041991
EN-F4,-41.07990475621176,-0.18616774125125302
