B,F,P,P_ratio_p39,W0_bytes,W0_pointer,accepted_steps,action_freeze_sha256,actual_sum,alias,arm,attempt_denominator,boundary,capacity,capacity_ratio_p39,case,cross_case,d_official_eff,d_official_eff_nll,d_official_gen,d_official_loc,d_p39_eff,d_p39_eff_nll,d_p39_gap,d_p39_gen,d_p39_loc,d_p39_w,d_p39_z,edit_s,eff_correct,eff_denominator,eff_margin,eff_nll,eff_old_nll,endpoint_denominator,energy,energy_ratio_p39,entropy,eval_s,expand,finite_demand_sum,functional_P,gap,gen_correct,gen_denominator,gen_margin,gen_nll,gen_old_nll,held,keep,loc_correct,loc_denominator,loc_margin,loc_nll,loc_old_nll,manifest_sha256,mat,max_consecutive,negative,official_eff,official_eff_margin,official_eff_nll,official_gap,official_gen,official_loc,official_matched,official_w,official_z,old_rho_sum,p39_P,p39_capacity,p39_eff,p39_eff_nll,p39_energy,p39_gap,p39_gen,p39_loc,p39_w,p39_z,peak_gpu,peak_host,predicted_sum,reactivated,realization_mean,reject_0_05_0_25,reject_0_25_1,reject_ge_1,reject_lt_0_05,rejects,retry,shrink,status,terminal_sha256,tokens,top1,typed_incomplete,w8_nll,z8_nll,z_ge_3,z_lt_0_05,z_median,z_p90,z_worst
125,220,0.006892082157162151,1.0029449960330716,True,True,8,56dbc070edb2a5ad4d8257639f85fb5590f8d55005fe87e10baaff6e73094979,11.504973684065044,llama3-8b-inst,Neutral,1,20,0.11612021425665478,1.200835158779706,1,0,0,0.11581268310546876,-1,0,0,0.04689865112304688,0.044226751942187545,-1,0,0.10567801489960402,0.06145126295741647,113.03008324094117,10,10,11.17315444946289,0.11747055053710938,11.290625,1,0.1828776129098032,1.1723268865865237,1.586015458925556,18.45465541165322,6,13.50453398283571,0.008010908961571708,0.07166449781507253,18,20,5.35391845703125,2.60819091796875,7.962109375,0,71,92,100,7.072158241271973,12.3003125,5.228154258728027,12d62e168f721db3df813471f66b5df3eb17c78b0b967d018b4f0750cd743ac8,8,0,0,10,15.473342132568359,0.001657867431640625,NOT_RECORDED,19,92,True,NOT_RECORDED,NOT_RECORDED,17.641031150260055,0.0068718446020691725,0.09669954565175845,10,0.0705718994140625,0.155995409644054,0.027437745872884986,19,92,0.08563979540485889,0.0582020495319739,NOT_RECORDED,NOT_RECORDED,13.50453398283571,0,0.7321687126067671,0,0,0,0,0,0,3,SUCCESS,e81b5de23135a8569ba47be2bb9cde33a1398d7e9defc7357cd1806fd533422f,36472,0.28280222198419613,0,0.1913178103044629,0.11965331248939037,0,5,0.04775395803153515,0.20799425542354572,0.5087407231330872
125,220,0.007932933574774486,1.1700761855578063,True,True,8,5fd04534cd2cb26aa0c88f20bb8f7c8869ce0d82fdc0edcdcf2417838e77875e,10.72237935643643,llama3-8b-inst,Neutral,1,15,0.0444306858026774,7.701872063474422,2,0,0,0.21562105417251587,-4,2,0,0.18025550842285157,0.02414875860558826,0,0,0.44355025917757307,0.4194015005719848,115.11250339727849,10,10,10.3337646484375,0.2162353515625,10.55,1,0.0700889625011798,7.582404959343011,1.5975813726425776,18.6993756480515,7,14.48727070922032,0.07366512484268019,0.041264738328754935,16,20,4.59744873046875,2.98614501953125,7.58359375,1,71,86,100,5.6938526153564455,10.8859375,5.192084884643554,0217f5a34609a0ddadc78c385c36ae6686b6d09100751fe9d7dfcb1424da0fb3,8,0,0,10,16.574385702610016,0.0006142973899841309,NOT_RECORDED,20,84,True,NOT_RECORDED,NOT_RECORDED,19.570913741201064,0.006779843631286835,0.005768816391197505,10,0.035979843139648436,0.009243632182269089,0.017115979723166676,16,86,0.05038765657227486,0.03327167684910819,NOT_RECORDED,NOT_RECORDED,14.48727070922032,0,0.622890275444665,0,0,0,0,0,0,2,SUCCESS,b8803f60b13fb801f5dd63f7c6e4b54cbb55069e7c1bb007f9965f7749f3313b,37595,0.24761988903557602,0,0.4939379157498479,0.452673177421093,1,5,0.0389744509011507,0.7966779768466938,3.6880292892456055
125,220,0.006694983238307261,1.0800760797580382,True,True,8,6420c2f717df72f494f3f339d34866eb0fea1463d9175dcdc39240a847ec8524,9.199107524938881,llama3-8b-inst,Neutral,1,16,0.041509339872146216,2.0052630175583417,3,0,0,0.1610835075378418,1,0,0,0.1374797821044922,0.11847308163414708,0,0,0.24900488890707492,0.13053180727292785,91.34412808623165,10,10,9.710189819335938,0.1616851806640625,9.871875,1,0.06450782179713703,1.9732035245623234,1.5990174231937226,17.359347440302372,7,12.006416960665957,0.0043535760706533005,0.15050705689936875,19,20,3.695801544189453,3.553807830810547,7.249609375,0,72,87,100,4.708180847167968,9.26167938232422,4.553498535156249,39634991c645372d6b3e23ec90cc64aa36d0e8b2a2f0b7953c27c9d30d4e69f4,8,1,0,10,16.13064832687378,0.0006016731262207031,NOT_RECORDED,18,87,True,NOT_RECORDED,NOT_RECORDED,14.603203298441528,0.006198621896901087,0.02070019718544903,10,0.024205398559570313,0.03269192508230773,0.03203397526522167,19,87,0.03854549173265696,0.006511516467435285,NOT_RECORDED,NOT_RECORDED,12.006416960665957,0,0.7344326749770432,0,0,0,1,1,0,1,SUCCESS,24ca1be48e302b121159736fc6888803b79faaf21ae477ee4118c9f0be7de048,37967,0.25446592693858694,0,0.2875503806397319,0.13704332374036313,0,3,0.05187478847801685,0.4200819849967956,0.5528761148452759
125,220,0.008653098291288148,1.2461117268135387,True,True,8,d29f42b8bb86731fbd6a8c61eb6bd88149c54b5cc383bed65067102f7786be95,9.749714076332749,llama3-8b-inst,Neutral,1,21,0.06539092767946719,2.4442799112775995,4,0,0,0.18878042697906494,1,1,0,0.15477390289306642,0.015776961337542167,0,0,0.17170778734143824,0.15593082600389607,79.96435728762299,10,10,7.703115844726563,0.1906341552734375,7.89375,1,0.10588054064970455,2.3986496168919667,1.5256111315808962,18.609806877560914,5,12.53485483583063,0.06287659690722527,0.06584544144570828,16,20,1.685009765625,3.646484375,5.331494140625,0,72,92,100,5.935044479370117,10.208160400390625,4.273115921020508,3ba28da9e5bf695340408eea0a6845c024e888fa260b44360971a47dad883630,8,1,0,10,12.604396271705628,0.0018537282943725587,NOT_RECORDED,15,91,True,NOT_RECORDED,NOT_RECORDED,17.800521283710903,0.00694407901401842,0.0267526347443931,10,0.03586025238037109,0.04414172870604524,0.050068480108166113,16,92,0.057660625339485704,0.007592145231319592,NOT_RECORDED,NOT_RECORDED,12.53485483583063,0,0.7496971043582312,0,0,1,0,1,0,3,SUCCESS,170c9b040b7f3a10c17cc35b065cd63b82a9506916970657899718dcefa30e83,37270,0.3306824999934515,0,0.22936841268092395,0.16352297123521567,0,3,0.09252262115478516,0.3762872159481048,0.4603188931941986
125,220,0.008362862148095285,1.454455720997814,True,True,8,0275503db06b2a6440584b2788dc31e8f8bc5bd91b46f026116dc1a6c08da115,7.83356576161459,llama3-8b-inst,Neutral,1,21,0.5058068745560816,4.29404326153824,5,0,-1,1.6614176750183107,-2,3,-1,1.4136276245117188,1.0480656255967915,-3,1,1.885912069538608,0.8378464439418166,99.64149179682136,9,10,7.577012634277343,1.6620498657226563,9.2390625,1,0.837077268921247,4.142020504875875,1.296223314899267,18.70126109663397,6,11.348792790900916,0.006428707865975084,1.1786951655521989,15,20,3.820050048828125,3.494793701171875,7.31484375,5,69,87,100,4.285986328125,9.78859375,5.502607421875,af259f2c14008d2e7682361a00b3a0fd397d85decf15bbcca37f637e3be4b9c6,8,1,1,10,13.643117809295655,0.0006321907043457031,NOT_RECORDED,17,84,True,NOT_RECORDED,NOT_RECORDED,15.246285057713765,0.005749822443792261,0.11779268250196627,10,0.2484222412109375,0.20209394616368082,0.13062953995540735,18,86,0.30628267643041907,0.1756531364750117,NOT_RECORDED,NOT_RECORDED,11.348792790900916,0,0.2834542707699587,0,0,1,0,1,0,5,SUCCESS,63b66e9602a5c49a638f27f3c84aede33a063f2a989e01d2a7ffc1793e3d6d6a,35474,0.38042697637898104,0,2.192194745969027,1.0134995804168283,1,3,0.06495719589293003,1.8654421210288983,6.418849945068359
125,220,0.009454088683341175,1.4965944251757222,True,True,8,fde23760e64a13eb35e6672c966854da2500723959e884ffe3e7aa2269b0b11c,9.307775247702375,llama3-8b-inst,Neutral,1,20,0.2510686190454443,11.373877708194785,6,0,0,0.05498945713043213,-2,2,0,0.041502380371093744,0.006216785998549308,0,1,0.07826387374661863,0.07204708774806932,76.97166240774095,10,10,11.706864929199218,0.05563507080078125,11.7625,1,0.38228049008077125,11.07509776065631,1.4441352330952864,18.692436942830682,7,11.52975914492272,0.00555393115369499,0.03243180180434137,17,20,6.24630126953125,2.00447998046875,8.25078125,0,65,84,100,5.898627471923828,9.9309375,4.0323100280761714,af84a5703004226e0dc2b4b18bc737a4efd028a148ba94ebfd84d9c1ea767da1,8,1,0,10,15.993104386329652,0.0006456136703491211,NOT_RECORDED,19,82,True,NOT_RECORDED,NOT_RECORDED,17.711805728920663,0.006317067953952271,0.02207414441114937,10,0.0141326904296875,0.03451712105321563,0.02621501580579206,17,83,0.033277218043804166,0.007062202238012105,NOT_RECORDED,NOT_RECORDED,11.529759144922718,0,0.7512669363975149,0,0,0,2,2,0,8,SUCCESS,48e79963c8ffc17287a6ec3fb556b127867fe806ff41b2f4bc82baeb55086403,36515,0.3327444250634817,0,0.11154109179042279,0.07910928998608142,0,8,0.04153880104422569,0.20892712473869318,0.3503565192222595
125,220,0.006969808222957601,1.114261258887158,True,True,8,d9c7780246437c4c05062f6dec068b41e7edc9afd69e3e4ef0765b6dac064601,11.20885296035558,llama3-8b-inst,Neutral,1,23,0.11442035550824184,1.3459914471739731,7,0,0,0.1452082633972168,0,-1,0,-0.13855590820312502,-0.04517664111917841,1,-2,-0.0033332344493828825,0.04184340666979551,112.03909212257713,10,10,8.559832096099854,0.1464202880859375,8.706252384185792,1,0.18387304349499728,1.3754256226321504,1.5695201555008775,18.57262107077986,8,14.779773595137522,0.00440550302969649,0.09607960609719157,20,20,6.326427841186524,1.45289306640625,7.779320907592774,0,64,93,100,5.880958480834961,10.3956640625,4.514705581665039,e430cbcf8a03493159932f259acbbf906e942d2bb1edd96679fc7cff2717bce2,8,1,0,10,14.62691354751587,0.0012120246887207032,NOT_RECORDED,20,94,True,NOT_RECORDED,NOT_RECORDED,23.767682884566806,0.006255093379014659,0.08500823370644546,10,0.2849761962890625,0.13368446862515157,0.14125624721636998,19,95,0.20456146992510185,0.06330522270873189,NOT_RECORDED,NOT_RECORDED,14.779773595137522,0,0.6849320524777927,0,0,0,1,1,0,8,SUCCESS,1a8c3c632802aae95dbda6f1bd0b1a9cd4004367bb41c44750832ffdb56f1b44,39406,0.2900942481597921,0,0.20122823547571897,0.1051486293785274,0,4,0.09808554127812386,0.1971384450793266,0.28442639112472534
125,220,0.007586540499273654,1.32329778108672,True,True,8,df564be876effce98be6438fc96b88ed45b4777992deb295195ed9873e69eaf6,9.729309328272938,llama3-8b-inst,Neutral,1,12,0.2592564295555369,5.176230823892582,8,0,-1,0.5215688705444337,-1,3,-1,0.35787982940673835,0.2101938582214643,-1,0,0.27826304477639496,0.06806918655493065,104.03559527359903,9,10,7.051611328125,0.523388671875,7.575,1,0.32169905072521043,4.200209239670853,0.8535224377206226,18.832661798223853,4,13.424023758526891,0.002966659830117735,0.24574959632009266,19,20,5.331591796875,2.687158203125,8.01875,0,74,80,100,4.915380668640137,9.802109375,4.886728706359863,ba770c2fbfa16c64ee81521a636dc79bcd7d66498b01cf3d6f04599eeab5e127,8,0,0,10,12.060680198669434,0.0018198013305664063,NOT_RECORDED,20,77,True,NOT_RECORDED,NOT_RECORDED,17.293643607502215,0.00573305616294726,0.050085948323412136,10,0.16550884246826172,0.07659119638297357,0.03555573809862836,20,80,0.09277683864347637,0.05722110054484801,NOT_RECORDED,NOT_RECORDED,13.42402375852689,0,0.6084504031552,0,0,0,0,0,0,2,SUCCESS,65f8b938e63aa4a07da4dc39cf3050a5e77bce10a0ac03e2945c925e19efd5d2,36464,0.644451866895902,0,0.3710398834198713,0.12529028709977866,0,3,0.09257574751973152,0.3031086027622223,0.33017075061798096
125,220,0.006698867194793905,1.1108246514327567,True,True,8,6621090bb7d605231cd50ec555a4e64bf407756db6d6f8ea7d6912c58940cd24,9.995687782205643,llama3-8b-inst,Neutral,1,16,0.028440344478504798,0.9105623020954905,9,0,0,0.07890338897705079,1,3,0,-0.0027332305908203125,0.03807282127672808,1,-2,0.01888516516191885,-0.01918765611480923,112.08726561628282,10,10,9.379913330078125,0.079461669921875,9.459375,1,0.04674986897846699,0.89367230692668,1.5872954474607597,18.91079653799534,9,12.047075339779258,0.019068321229163587,0.05367573630064727,19,20,4.74114990234375,1.48365478515625,6.2248046875,0,67,92,100,5.4081591796875,9.511469726562499,4.103310546875,e0ece021375fd97704b27ab14167e617ae89ad4815ddea0345a7de0845a460fc,8,0,0,10,14.924441719055176,0.0005582809448242187,NOT_RECORDED,18,89,True,NOT_RECORDED,NOT_RECORDED,16.41863816412122,0.006030535229978571,0.031233825970012827,10,0.08219490051269532,0.05231209316448306,0.015602915023919195,18,94,0.14183445657836274,0.12623154155444355,NOT_RECORDED,NOT_RECORDED,12.047075339779258,0,0.7780146276915808,0,0,0,0,0,0,4,SUCCESS,d9bdfd3a66ddd2130b867fbdb2b4cdc3ff28cc869fc27a722795eb3a4c77d9da,36488,0.28066049705399876,0,0.1607196217402816,0.10704388543963432,0,4,0.0923672541975975,0.23474386632442473,0.24035386741161346
125,220,0.01188169013853445,1.304349244290005,True,True,8,6091c5e0215cf60379e1696a50f4634e1a4e505bed97c5810c8b9b16a29f4142,10.079723533336074,llama3-8b-inst,Neutral,1,24,0.25696466085919817,3.06342615212576,10,0,0,0.35605981349945065,0,0,0,-0.1602443695068359,0.00816809853713496,2,-1,-0.11616834446322172,-0.12433644300035668,121.02067764196545,10,10,11.804344940185548,0.3581550598144531,12.1625,1,0.3953215716254499,2.995704218433387,1.4681968157303222,19.08474394120276,8,13.100862888153642,0.00988915181009674,0.0515437080524862,19,20,8.133685302734374,1.589752197265625,9.7234375,0,67,79,100,4.766094055175781,10.732539062499999,5.966445007324219,c9cf2ee5a7e0f4dad77ca029cb30082771eda309e6e83c0b67bce7f6d7079d38,8,0,0,10,15.485404753684998,0.0020952463150024415,NOT_RECORDED,19,79,True,NOT_RECORDED,NOT_RECORDED,22.70855079706396,0.009109285868450053,0.08388146085417672,10,0.518399429321289,0.13196281835600732,0.04337560951535124,17,80,0.43114872386213393,0.3877731143467827,NOT_RECORDED,NOT_RECORDED,13.100862888153642,0,0.7421261384716946,0,0,0,0,0,0,5,SUCCESS,78bf92db6d36b51031f0d0f5f57ae17b3929b4dbc9d1ee558b0deb7243775fad,38127,0.41038021160966864,0,0.3149803793989122,0.263436671346426,0,6,0.043601784855127335,0.4474946916103357,1.8797578811645508
