method,outer_denominator,microstep_count,primary_count,rescue_count,current_count,direct_count,negative_primary_progress_count,clamp_hit_count,raw_energy_total,postclamp_primary_energy_total,selected_energy_total,intended_write_norm_mean,realized_write_norm_mean,write_residual_ratio_mean,writer_edit_core_wall_seconds_total
PDZ-T2-PRC,8,16,1598,2,0,0,0,0,14859.77189056478,14859.771886448618,14822.96199384584,0.4161456922314198,0.4151698491924283,0.07830936890165573,1078.702123790048
PDZ-T3-PRC,8,24,2398,2,0,0,0,0,14706.615920502458,14706.615912822524,14662.170484167897,0.3932626826981079,0.39247225647741146,0.06985557538755666,1108.1689632311463
PDZ-T5-PRC,8,40,3998,2,0,0,0,0,14690.39612207243,14690.39612075379,14652.93133329868,0.36383269031673304,0.3635162043128129,0.07619697326149301,1120.0433396436274
PDZ-T1-DIRECT,8,8,0,0,0,800,2,0,14753.874988500605,14753.87498545916,14753.87498545916,0.44750788595240265,0.44639278426159335,0.09507756849373501,1076.592620098032
