method,job_id,state,exit_code,start,end,elapsed_seconds,elapsed,allocated_cpu_seconds,requested_memory,allocated_tres,status,runtime_after_model_preflight_seconds,field_gradient_count,primary_evaluation_count,selector_count,finite_demand_builder_count,writer_count,writer_layer_apply_count,model_forward_total,model_backward_total,peak_allocated_bytes,peak_reserved_bytes,W0_restored,elapsed_minus_pdz_t1_seconds,elapsed_over_pdz_t1_ratio,elapsed_minus_fz_seconds,elapsed_over_fz_ratio,official_alphaedit_elapsed_comparison
PDZ-T2-PRC,23749_0,COMPLETED,0:0,2026-08-24T15:16:22,2026-08-24T15:56:47,2425,00:40:25,19400,65000M,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1",TERMINAL_VALID,2361.6593798864633,16,16,16,8,8,40,NOT_RECORDED,NOT_RECORDED,38027805184,42618322944,True,1161,1.918512658227848,1158,1.9139700078926598,NOT_RECORDED_IN_SEALED_REFERENCE
PDZ-T3-PRC,23749_1,COMPLETED,0:0,2026-08-24T15:16:22,2026-08-24T16:03:18,2816,00:46:56,22528,65000M,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1",TERMINAL_VALID,2752.529154898599,24,24,24,8,8,40,NOT_RECORDED,NOT_RECORDED,38027805184,42618322944,True,1552,2.2278481012658227,1549,2.222573007103394,NOT_RECORDED_IN_SEALED_REFERENCE
PDZ-T5-PRC,23749_2,COMPLETED,0:0,2026-08-24T15:16:22,2026-08-24T16:14:40,3498,00:58:18,27984,65000M,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1",TERMINAL_VALID,3431.4554507797584,40,40,40,8,8,40,NOT_RECORDED,NOT_RECORDED,38027805184,42618322944,True,2234,2.767405063291139,2231,2.7608524072612473,NOT_RECORDED_IN_SEALED_REFERENCE
PDZ-T1-DIRECT,23749_3,COMPLETED,0:0,2026-08-24T15:56:50,2026-08-24T16:31:01,2051,00:34:11,16408,65000M,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1",TERMINAL_VALID,1989.0636917743832,8,8,0,8,8,40,NOT_RECORDED,NOT_RECORDED,38027805184,42618322944,True,787,1.6226265822784811,784,1.6187845303867403,NOT_RECORDED_IN_SEALED_REFERENCE
PDZ-T1-PRC†,23375_1,COMPLETED,0:0,2026-08-24T01:07:40,2026-08-24T01:28:44,1264,00:21:04,10112,65000M,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1",SEALED_EXTERNAL_REFERENCE,1212.5548519399017,8,8,8,8,8,40,NOT_RECORDED,NOT_RECORDED,38027805184,42618322944,True,0,1.0,-3,0.9976322020520916,NOT_RECORDED_IN_SEALED_REFERENCE
P1R54-FZ†,23375_0,COMPLETED,0:0,2026-08-24T01:07:40,2026-08-24T01:28:47,1267,00:21:07,10136,65000M,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1",SEALED_EXTERNAL_REFERENCE,1216.433182951063,8,8,8,8,8,40,NOT_RECORDED,NOT_RECORDED,38027805184,42618322944,True,3,1.0023734177215189,0,1.0,NOT_RECORDED_IN_SEALED_REFERENCE
