batch,cap,alpha_used,alpha_norm,numeric_cap_active,native_norm_from_previously_verified_receipt,linear_pre_ball_C1_fraction,target_ball_requests,trust_retraction,post_ball_trust_mapped_fraction,target_projection_relative_distortion,post_projection_residual_direction_cosine,ge_dot_C,gd_dot_C,cap1_saved_C_exactly_reproduced,model_forwards,CUDA_initialized,raw_D,linear_C1_D_endpoint_prediction,linear_C1_D_prediction_below_zero
1,1,1.0,2904.192466509291,True,7.610187124347208,8.608244890837752e-05,0,1.0,8.608243461384127e-05,0.0004785692976541521,0.9999998854857022,1.1114909017920853e-11,-4.05861654645089e-06,True,0,False,0.0015781786939896847,0.0015741200774432337,False
1,10,10.0,2904.192466509291,True,7.610187124347208,0.0008608244890837752,0,1.0,0.0008608244861617127,4.789617190126622e-05,0.9999999988529511,-4.8532517816624197e-11,-4.058618197508547e-05,,0,False,0.0015781786939896847,0.0015375925120145993,False
1,100,100.0,2904.192466509291,True,7.610187124347208,0.008608244890837752,0,1.0,0.008608245004610047,4.793220059728684e-06,0.9999999999885368,-1.7656098577366927e-11,-0.00040586184151447224,,0,False,0.0015781786939896847,0.0011723168524752125,False
1,none,2904.192466509291,2904.192466509291,False,7.610187124347208,0.24999999961838093,87,1.0,0.2462768558298597,0.08261701299419275,0.9966417614430615,0.0002822590968840591,-0.011579171519884442,,0,False,0.0015781786939896847,-0.010000992825894757,True
2,1,1.0,1851.6033246050463,True,7.71624095917973,0.00013501811993849388,7,1.0,0.00013501775706424896,0.0022713309863863405,0.9999974205245766,2.850407509254839e-11,-9.608080544198837e-06,True,0,False,0.0036145931771329742,0.0036049850965887754,False
2,10,10.0,1851.6033246050463,True,7.71624095917973,0.001350181199384939,7,1.0,0.0013501761354889215,0.002361930293575735,0.9999972106387847,4.1025014732163007e-10,-9.608068859644225e-05,,0,False,0.0036145931771329742,0.003518512488536532,False
2,100,100.0,1851.6033246050463,True,7.71624095917973,0.013501811993849389,8,1.0,0.013501626491773,0.0035298310153451477,0.9999937701398404,-3.3832417541341045e-09,-0.000960795713456887,,0,False,0.0036145931771329742,0.0026537974636760874,False
2,none,1851.6033246050463,1851.6033246050463,False,7.71624095917973,0.24999999976003817,98,1.0,0.2454169992152123,0.0950490933468254,0.9955597054750053,0.003808101788692087,-0.017400296797332036,,0,False,0.0036145931771329742,-0.013785703620199062,True
3,1,1.0,1524.8503687531713,True,7.840122727091323,0.00016395051273780065,5,1.0,0.0001639486665617488,0.0050470888163218295,0.9999872633660998,1.0184675857907044e-10,-1.3953110996159512e-05,True,0,False,0.005858019608695031,0.005844066497698871,False
3,10,10.0,1524.8503687531713,True,7.840122727091323,0.0016395051273780064,6,1.0,0.0016394840704711273,0.005165657376796984,0.9999866579034534,1.5238272425466027e-09,-0.00013953080569172928,,0,False,0.005858019608695031,0.005718488803003302,False
3,100,100.0,1524.8503687531713,True,7.840122727091323,0.016395051273780065,9,1.0,0.016394499817410237,0.006812352088785021,0.999976795750546,7.04293938731762e-08,-0.0013952631669174298,,0,False,0.005858019608695031,0.004462756441777601,False
3,none,1524.8503687531713,1524.8503687531713,False,7.840122727091323,0.24999999980550683,100,1.0,0.24588618346761232,0.0931746072638785,0.9957187631016021,0.00024246856498945853,-0.020847304075113864,,0,False,0.005858019608695031,-0.014989284466418833,True
4,1,1.0,1140.1144740828204,True,7.802116174237956,0.00021927622667450723,9,1.0,0.00021927501939929817,0.0031607529405340575,0.9999950048079165,1.4573488710059512e-09,-2.4928688442330076e-05,True,0,False,0.008212091013888312,0.008187162325445982,False
4,10,10.0,1140.1144740828204,True,7.802116174237956,0.002192762266745072,10,1.0,0.002192746471162971,0.0033867699105630837,0.9999942648787598,1.675089048359995e-08,-0.0002492863030230778,,0,False,0.008212091013888312,0.007962804710865233,False
4,100,100.0,1140.1144740828204,True,7.802116174237956,0.02192762266745072,17,1.0,0.02192643355294294,0.006613461899477567,0.9999781312373341,3.8240807190056616e-07,-0.002492713884905544,,0,False,0.008212091013888312,0.005719377128982768,False
4,none,1140.1144740828204,1140.1144740828204,False,7.802116174237956,0.24999999985387109,99,1.0,0.24472704150026567,0.10911917561062791,0.9941331936195975,0.00013530279636365242,-0.027682592991745088,,0,False,0.008212091013888312,-0.019470501977856776,True
5,1,1.0,1010.4763931753697,True,7.841175442863769,0.00024740805580377785,12,1.0,0.00024740509976994314,0.004605541970998355,0.9999893944355642,2.7778436707693743e-09,-3.2422993292960424e-05,True,0,False,0.01030052469968723,0.01026810170639427,False
5,10,10.0,1010.4763931753697,True,7.841175442863769,0.0024740805580377783,13,1.0,0.0024740428901727602,0.004971409497061999,0.9999876424696823,3.0935360952354494e-08,-0.00032422832990265784,,0,False,0.01030052469968723,0.009976296369784572,False
