model,arm,status,accepted_updates,tau_final,W_eff,W_eff_den,W_gen,W_gen_den,W_loc,W_loc_den,W_eff_nll_mean,W_eff_margin_mean,W_gen_nll_mean,W_gen_margin_mean,W_loc_nll_mean,W_loc_margin_mean,z_eff,z_eff_den,z_gen,z_gen_den,z_eff_nll_mean,z_eff_margin_mean,z_gen_nll_mean,z_gen_margin_mean,z_minus_W_eff_count,z_minus_W_gen_count,W_minus_z_eff_nll,W_minus_z_gen_nll,negative_actual_steps,zero_rho_steps,soft_changed_steps_gt_1e-12,fallback_to_c0_steps,max_equality_residual,terminal_structural_p,terminal_functional_p_mean,edit_core_wall_seconds,model_forward_calls,backward_calls,processed_tokens,materializations,postfreeze_snapshot_hash_count,postfreeze_snapshot_numeric_k0_k7,W0_restored,terminal_sha256,manifest_sha256
Llama,Neutral,P1R32_DYNAMIC_Z5_FULL_RESIDUAL_K8_COMPLETE,8,1.0,9,10,15,20,34,100,8.825506591796875,5.993243408203125,9.755511474609374,3.630426025390625,11.251435546875,-1.905406494140625,9,10,17,20,7.042518138885498,8.485606861114501,8.149179077148437,5.164102172851562,0,2,1.7829884529113773,1.6063323974609371,3,0,0,0,0.0,225.4685126094061,12.523580100113694,122.98315128684044,615,525,70401,8,9,NOT_RECORDED,True,efe0d41d71d42b33cd4dcaa31f52fdf3826886cfd6ee4505ffcc2ade49e2253f,9757e2a20bd37b292339ea304327cf61f00ae228eabd99e78683b4c88c16b1a4
Llama,Soft,P1R32_DYNAMIC_Z5_FULL_RESIDUAL_K8_COMPLETE,8,1.0,9,10,15,20,34,100,8.825506591796875,5.993243408203125,9.755511474609374,3.630426025390625,11.251435546875,-1.905406494140625,9,10,17,20,7.042518138885498,8.485606861114501,8.149179077148437,5.164102172851562,0,2,1.7829884529113773,1.6063323974609371,3,0,0,8,0.0,225.4685126094061,12.523580100113694,137.65725310798734,615,525,70401,8,9,NOT_RECORDED,True,efe0d41d71d42b33cd4dcaa31f52fdf3826886cfd6ee4505ffcc2ade49e2253f,9757e2a20bd37b292339ea304327cf61f00ae228eabd99e78683b4c88c16b1a4
Qwen,Neutral,P1R32_DYNAMIC_Z5_FULL_RESIDUAL_K8_COMPLETE,8,1.0,4,10,4,20,69,100,16.4,-1.4875,15.990625,-0.8,16.131875,0.544375,5,10,4,20,15.04375,-0.3625,15.828125,-0.640625,1,0,1.3562499999999993,0.16249999999999964,2,4,0,0,0.0,84808.58979562962,11.275243360638953,147.18216165248305,615,525,63811,8,9,NOT_RECORDED,True,d4df9a87cef14e8a4798f9bc1f1ec589efde47d87125c6a8cbbaca458b2c7ad6,3addb73489be3c783d64290643766e9f7d6dc212712680f44eede6edc28786a3
Qwen,Soft,P1R32_DYNAMIC_Z5_FULL_RESIDUAL_K8_COMPLETE,8,1.0,4,10,4,20,69,100,16.4,-1.4875,15.990625,-0.8,16.131875,0.544375,5,10,4,20,15.04375,-0.3625,15.840625,-0.653125,1,0,1.3562499999999993,0.15000000000000036,3,4,2,6,1.8053286165113e-11,84808.58974490588,11.275243360638953,160.89524346590042,615,525,63811,8,9,NOT_RECORDED,True,d4df9a87cef14e8a4798f9bc1f1ec589efde47d87125c6a8cbbaca458b2c7ad6,3addb73489be3c783d64290643766e9f7d6dc212712680f44eede6edc28786a3
