model,arm,outer_k,inner_j,post_update_measurement_only,target_new_nll_mean,target_new_nll_median,target_new_nll_p90,target_new_nll_worst,kl_mean,decay_mean,combined_objective_mean,gradient_norm_mean,optimizer_update_norm_mean,delta_norm_mean,clamp_count,target_state_sha256,identity_sha256
Llama,Neutral,0,0,False,8.365490245819093,9.566644191741943,9.87334394454956,9.912435531616211,0.0,0.0,8.365490245819093,6.091354407264503,4.878791052713828,0.0,10,3eaffab8156522d6357694416cebd14a0207746c72caff79a4059a47be1b1ab4,37b1e28855aa2c3b13933e67fb6d81af416d950db3df396e3afe5dc58da036ce
Llama,Neutral,0,1,False,4.064122074842453,4.713239431381226,6.835544204711914,7.710670471191406,0.6220977075397969,0.05801024109717504,4.161013422660866,2.717465061201424,1.6008740350104165,4.878791052713828,10,3e71b4b01a708c31a566ac2747a95216d966c371faba9d781671277ffa6cb3b3,7906b331e60410175abd6e99423cbe50cb622de3636a7df3b9d6053990665c6a
Llama,Neutral,0,2,False,2.040875215828419,1.500524640083313,4.026945114135741,6.558684349060059,0.4551617346704006,0.058010239258328086,2.127333063503647,1.8623918567668045,1.2017494752676892,4.878790898584884,10,ce5bc8cc9eb5aad820a0a19eeb4fd962494ea2ef3c37b39fb93d6ad00f4da19f,14999df99a372f904332030c2ad1da07d05bd4e2f77f8e8e21a9d1f75b3d8a87
Llama,Neutral,0,3,False,0.9897245068103075,0.20946772396564484,2.876666378974914,5.2250075340271,0.5117765352129936,0.058010240207864286,1.0797207804689841,0.7158653758190177,0.8086392688545985,4.878790969930159,10,62616e6830097e866342189103cb4c27224f4c8073a036f70e6dd7459af77d6c,3ba1afda62a396202c29c0c2e2b6ba4013885f6cbdaee07b62a1d13495c7d6ec
Llama,Neutral,0,4,False,0.6878070100210607,0.08057756721973419,2.1345214724540704,4.087612628936768,0.570781233906746,0.05801024156535349,0.7814910787055858,0.4649681603029068,0.5708461985180172,4.878791072524585,10,b2d35d981ad1393e067a7b2f80c874d10f28de80d6d3ea1e1f839fe3a1308c93,76eb33d3188d9fb875045e4f6b50b2dc281c0039bbbe43e2efe4011c371dd82c
Llama,Neutral,0,5,True,0.4732969423290342,0.0473192036151886,1.4740309238433833,2.9039998054504395,0.5563222706317902,0.05801024009788904,0.5660773243414101,0.43830335320081026,0.0,4.878790982560842,0,c97d4148b46f0e5a8c6e5a6182126fea371e02f217b03a05ebec439f6c436c20,adae22e51c0233aa79fbf681a064f76a7a45bd907637cb8b505702ca611427e9
Llama,Neutral,1,0,False,0.5373293856158853,0.055351341143250465,1.8977852463722225,2.9449126720428467,1.1442085415124894,0.03383619293717512,0.6426786123975909,0.7429482670400986,5.606570101936283,8.329927551486026,10,f13a4f0ba1885acd7a93ffb60632985c565a16ee85e17ec8750b8b69957e94d8,00fafaa296ac5c0a48a00357d0de73ae9f33310cdd6110805efe5954a3ed7bac
Llama,Neutral,1,1,False,0.5012811429427529,0.009395800065249205,1.2416781902313225,2.9159963130950928,1.1965170592069625,0.034135913212326736,0.6101993723555148,2.0627965498462597,3.3880343663025174,8.413232878559326,10,de8df70f658ceb4752138f06fec278aa0cb3832050e3778cc1e376895616cb53,86da3927eaa7a184173089aeb133330c7e02d75a5f51558ca48a60bd6dc72b62
Llama,Neutral,1,2,False,0.1571155260768137,0.006184482714161277,0.36976283788681,1.0925790071487427,1.1219734728336335,0.03413591244323771,0.26137478057215346,0.6581503665584189,2.211002990044789,8.41323276775093,10,8e03fbfd1ae001cae0629f23325b8cd7fb4bfbdfdb96b9fe49f5e1686deeea04,ff926d60e38e845e0efec1038454a7ecefee8930c9fe85ca967895d3a515624a
Llama,Neutral,1,3,False,0.054505585777224044,0.004446390434168279,0.19249558150768276,0.2721703052520752,1.1888028293848039,0.03413591255723721,0.1629416751710115,0.2743644694670329,1.6798891637605693,8.413232773541095,10,610d7bf78cdb2891194e61b34244399a2a71f0e647b76f136cb56949f4f020a8,54479a60e3a63d5e4ef01d6315b7499e2c3df3055b9877b7d3e624862f8b1d01
