physical_layer,score_index,score,weight_FP32,remaining_ratio_FP32,source
4,0,0.4812439084,0.24395132064819336,0.24395132064819336,CPU_FORMULA_DERIVED_NOT_GPU_REPLAY
5,1,0.4743820429,0.22777311503887177,0.3012678027153015,CPU_FORMULA_DERIVED_NOT_GPU_REPLAY
6,2,0.4656370878,0.20870055258274078,0.3950599730014801,CPU_FORMULA_DERIVED_NOT_GPU_REPLAY
7,3,0.4440660179,0.16820606589317322,0.5263429880142212,CPU_FORMULA_DERIVED_NOT_GPU_REPLAY
8,4,0.4335190654,0.15136894583702087,1.0,CPU_FORMULA_DERIVED_NOT_GPU_REPLAY
