arm,job,state,exit,start,end,allocated_GPU_seconds,queue_seconds,MaxRSS,GPU_count
CAKE,48101,COMPLETED,0:0,2026-09-15T18:50:34,2026-09-16T03:47:08,32194,3472.0,32046396K,1
CAP10,48148,COMPLETED,0:0,2026-09-15T21:35:01,2026-09-15T23:41:00,7559,6112.0,37559500K,1
CAP100,48149,COMPLETED,0:0,2026-09-15T23:41:05,2026-09-16T01:50:00,7735,13676.0,33457856K,1
NORM_ONLY,48150,COMPLETED,0:0,2026-09-16T01:50:05,2026-09-16T03:57:24,7639,21416.0,33459300K,1
