model,batch,JV_total_batch_energy,Official_total_batch_energy,JV_over_Official_total_energy,JV_over_Official_L4_7_energy,JV_L8_share,Official_L8_share,history_fraction,qN_ref,raw_native_work,normalized_native_work,final_V_ratio,min_actual_delta_barrier,final_barrier,barrier_decreasing_nodes
llama3-8b-inst,1,148.48132156475367,98.17179159093544,1.5124642135843784,0.002308373553902693,0.9991558134012462,0.44688240859272,0.0,840.2151080599574,108.33456479209649,0.12893670174800737,0.004851641793998623,0.006557037146517508,0.4846805105589827,0
llama3-8b-inst,2,172.01231188070633,116.65990628181203,1.474476684947621,0.002150159494745078,0.9991850419496067,0.4411406933057471,0.008431239883193444,950.3106328584955,127.1319072748628,0.13377931686658623,0.004887844758432653,0.00658616314843427,0.48417817425710963,0
llama3-8b-inst,3,199.699812234352,129.42416057496723,1.5429871157532333,0.0022083198685039014,0.999181413714452,0.4280411503119516,0.01766183845477943,1060.4852141373892,147.92414923162906,0.13948723401292515,0.004980661584658014,0.006628243495648641,0.48356103904878467,0
llama3-8b-inst,4,212.15616842038102,142.96999044926676,1.4839209805757463,0.0019546520839846693,0.9992441965350546,0.4262136837477425,0.018027973893280702,1097.5862904082865,157.5031515358007,0.1434995616401256,0.00495869466553629,0.006615537384188821,0.48317076492648753,0
llama3-8b-inst,5,230.98006194983225,159.8951802006268,1.4445717604496422,0.00146982834256571,0.9994037118109594,0.413958042560284,0.021402366333948267,1183.797879429017,172.3148869635039,0.1455610708194686,0.004939745715525356,0.006597831775436613,0.4829740693645355,0
llama3-8b-inst,6,253.1856570993658,173.7081227731653,1.45753493306692,0.0019712476077746624,0.9991990517628417,0.40778112773236547,0.027568510943879656,1273.8719768463122,190.39064381510076,0.14945822443354578,0.004954375316863669,0.0066145241467367435,0.48257700167055567,0
llama3-8b-inst,7,255.96048881602889,180.31864795450616,1.4194898404551421,0.0014596114721797421,0.999390309140151,0.4070682521551751,0.057501894816978,1298.5012486105904,198.33720792014213,0.15274317843926988,0.005675964418935209,0.006760577486990369,0.4818877358723803,0
llama3-8b-inst,8,268.80129609001847,199.30660360598137,1.3486823377986232,0.0012012794891572448,0.9994625645123059,0.39661855837740484,0.031401696510978516,1347.0843456155026,202.98194348850024,0.1506824306504392,0.004949834417995107,0.006602484171583467,0.4824568592597547,0
llama3-8b-inst,9,296.2512220310228,207.27060937735124,1.4292968159883965,0.0012737622013623475,0.9994649434751289,0.39960960801470174,0.048303196651195916,1476.089020539835,226.4553185031054,0.15341575972178573,0.005130430995977058,0.006678645160052009,0.4820932283483185,0
llama3-8b-inst,10,2.7167007001113436e-09,211.88800939217788,1.2821398945152552e-11,2.12758482795932e-11,8.841587434330681e-05,0.3974263605625016,0.055144793021891056,1481.5842443864976,1.9831410728746837e-09,1.3385273772912413e-12,0.9999471885780729,-3.780990857897501e-05,2.6405717502715664e-05,2
qwen2.5-7b-inst,1,6134.164470987169,2303.826660144402,2.662598092602455,0.0011495442911851775,0.9996361237178558,0.15718228326678615,0.0,49895.00364736392,4573.143217109367,0.09165533385728045,0.004529143857156977,0.0063605943968511386,0.4885698835561551,0
qwen2.5-7b-inst,2,7721.851016045786,2493.0898407356,3.0973015452052106,0.002008600403909882,0.999483246692965,0.20315618116270365,0.00010173261466844981,57202.71498067471,5418.068530144655,0.09471698208686576,0.015161239926690833,0.006033475617817591,0.48294772269522535,0
qwen2.5-7b-inst,3,11952.292942627779,7083.831112363581,1.6872639611307438,0.0005064913701599783,0.999771050868889,0.2373066144561567,0.0005944520734351298,162129.60352598925,7633.893319289793,0.04708512913908462,0.021167180125855257,0.005688102755517583,0.48470796006744993,0
qwen2.5-7b-inst,4,5676.274937783033,4519.2860674485455,1.256011425934736,0.00010689880466569565,0.9999264418122557,0.1357253753506129,0.0003875863657423219,45645.84844257084,4250.139656770702,0.09311119853797874,0.0045213469320964615,0.006354843970908798,0.48842816899818414,0
qwen2.5-7b-inst,5,5324.719231270344,3495.7793581743977,1.5231851572151494,0.00012589414616261674,0.9999308222901087,0.16302334835791873,0.0004980203095198828,40585.57960084037,3977.453489436514,0.0980016431588464,0.004515636658061838,0.006336074802167653,0.48794201190882724,0
qwen2.5-7b-inst,6,6104.828039867931,3348.7453793346517,1.823019473962178,8.951441426536432e-05,0.9999569843564755,0.12395834264605735,0.0008023781277719338,53203.02001007869,4583.066886487671,0.0861429837182074,0.004482142710306667,0.00632959900620149,0.4891447083890431,0
qwen2.5-7b-inst,7,9318.198978527967,3237.102920104273,2.878561234694327,0.0014554421790636308,0.9996068385745431,0.22240865726069578,0.45681342223823035,94057.67896502491,11727.210495169627,0.12468105341542987,0.016277573277916273,0.00605059140707629,0.4793931146584559,0
qwen2.5-7b-inst,8,8185.343472865539,3231.629832920911,2.5328839923065107,0.000383326546788591,0.9998827467285251,0.2252325416732037,0.0007468455153862132,52146.55428904557,5620.1372285859825,0.10777581194404258,0.01523388780225876,0.005767062868812708,0.4816055187909884,0
qwen2.5-7b-inst,9,6272.964336086407,3051.2970492014506,2.055835349668133,6.033826882239972e-05,0.9999745367238082,0.13241953514531454,0.0012972892462266758,50798.90263057763,4669.767061470929,0.09192653422910818,0.004511516732123359,0.006336417878721101,0.48855161610143616,0
qwen2.5-7b-inst,10,17152.65313249573,5470.860480603926,3.1352751899464004,0.005402247276619145,0.9987592349417191,0.27990339860664865,0.6978855338062376,207564.28624320155,41875.19760750275,0.2017456777628782,0.021031095200091464,0.006224923413371941,0.46930985428515626,0
