arm,Eff,Gen,Gen_strict,Loc,rewrite_nll,rephrase_nll
FZ,0.0010000000000000009,-0.07499999999999996,-0.11599999999999999,-0.027800000000000047,-0.007482136402184095,0.4347833709154363
PDZ,0.0,-0.0645,-0.10399999999999998,-0.0262,-0.020510628485048067,0.27178574485142626
