model,scope,component,endpoint_ids,actual_nodes,main_JVP_calls,dictionary_build_count,native_solve_count,wall_seconds,parent_prefix_double_count,JVP_attention_backend_switch_count,JVP_finite_difference_forward_count,JVP_jvp_call_count,JVP_model_forward_invocation_count,JVP_physical_write_count,JVP_temporary_direction_hook_count,JVP_wall_seconds,includes_nested_components,model_forward_invocations,peak_allocated_gpu_bytes,peak_reserved_gpu_bytes,evaluation_seconds,sum_as_total,nested_component_warning,cohort_capture_count,stock_compute_z_request_count,model_load_seconds,allocated_GPU_seconds,authoritative_allocation,sum_nested_components
llama3-8b-inst,ACTUAL_PATH,S-PATH-T4,"[""JV-HOR-T1"", ""JV-BASE"", ""JV-HOR-T4""]",8,40,40,40,2004.4874683767557,0,0,0,40,40,0,40,121.49368726834655,,,,,,,,,,,,,
llama3-8b-inst,ACTUAL_PATH,S-PATH-N2,"[""JV-RES-N2""]",2,10,10,10,623.0394916366786,0,0,0,10,10,0,10,30.122312240302563,,,,,,,,,,,,,
llama3-8b-inst,ACTUAL_PATH,S-PATH-N8,"[""JV-RES-N8""]",8,40,40,40,1467.2661242298782,0,0,0,40,40,0,40,122.32696643844247,,,,,,,,,,,,,
llama3-8b-inst,ACTUAL_PATH,S-PATH-LAM-001,"[""JV-LAM-001""]",4,20,20,20,838.329600026831,0,0,0,20,20,0,20,60.52398671582341,,,,,,,,,,,,,
llama3-8b-inst,ACTUAL_PATH,S-PATH-LAM-1,"[""JV-LAM-1""]",4,20,20,20,841.4971093032509,0,0,0,20,20,0,20,60.61753467656672,,,,,,,,,,,,,
llama3-8b-inst,ACTUAL_PATH,S-PATH-LAM-00316,"[""JV-LAM-00316""]",4,20,20,20,859.9463943075389,0,0,0,20,20,0,20,60.44039227627218,,,,,,,,,,,,,
llama3-8b-inst,ACTUAL_PATH,S-PATH-LAM-0316,"[""JV-LAM-0316""]",4,20,20,20,899.6561969034374,0,0,0,20,20,0,20,60.37643346004188,,,,,,,,,,,,,
llama3-8b-inst,SCOPED_RUNTIME_COMPONENT,O_NATIVE,,,,,,436.76445680856705,,,,,,,,,False,233,39082148352,42505076736,125.56703177653253,False,fixed_target_and_entry includes first_fidelity,,,,,,
llama3-8b-inst,SCOPED_RUNTIME_COMPONENT,S-PATH-LAM-001,,,,,,924.0405562203377,,,,,,,,,False,373,39082148352,42505076736,86.72916536219418,False,fixed_target_and_entry includes first_fidelity,,,,,,
llama3-8b-inst,SCOPED_RUNTIME_COMPONENT,S-PATH-LAM-00316,,,,,,957.9749597292393,,,,,,,,,False,373,39082148352,42505076736,95.94358232244849,False,fixed_target_and_entry includes first_fidelity,,,,,,
