model,candidate,status,RS_n,RS_d,RS_rate,rewrite_new_nll_n,rewrite_new_nll_mean,rewrite_new_nll_median,rewrite_new_nll_p90,rewrite_new_nll_max,rewrite_true_nll_n,rewrite_true_nll_mean,rewrite_true_nll_median,rewrite_true_nll_p90,rewrite_true_nll_max,rewrite_strict_n,rewrite_strict_d,rewrite_advantage_n,rewrite_advantage_mean,rewrite_advantage_median,rewrite_advantage_p90,rewrite_advantage_max,PS_n,PS_d,PS_rate,rephrase_new_nll_n,rephrase_new_nll_mean,rephrase_new_nll_median,rephrase_new_nll_p90,rephrase_new_nll_max,rephrase_true_nll_n,rephrase_true_nll_mean,rephrase_true_nll_median,rephrase_true_nll_p90,rephrase_true_nll_max,rephrase_strict_n,rephrase_strict_d,rephrase_advantage_n,rephrase_advantage_mean,rephrase_advantage_median,rephrase_advantage_p90,rephrase_advantage_max,NS_n,NS_d,NS_rate,locality_new_nll_n,locality_new_nll_mean,locality_new_nll_median,locality_new_nll_p90,locality_new_nll_max,locality_true_nll_n,locality_true_nll_mean,locality_true_nll_median,locality_true_nll_p90,locality_true_nll_max,locality_strict_n,locality_strict_d,locality_advantage_n,locality_advantage_mean,locality_advantage_median,locality_advantage_p90,locality_advantage_max,rewrite_accuracy_n,rewrite_accuracy_d,rewrite_accuracy_rate,rewrite_strict_request_success_n,rewrite_strict_request_accuracy_n,rewrite_strict_request_d,rephrase_accuracy_n,rephrase_accuracy_d,rephrase_accuracy_rate,rephrase_strict_request_success_n,rephrase_strict_request_accuracy_n,rephrase_strict_request_d,locality_accuracy_n,locality_accuracy_d,locality_accuracy_rate,locality_strict_request_success_n,locality_strict_request_accuracy_n,locality_strict_request_d,endpoint_W_sha256,terminal_frobenius_squared,retained_history_count,V_ratio,E_T,endpoint_cost,native_net_raw,native_net_normalized,frobenius_net_sq,candidate_id,path_id,effective_T,effective_N,h,parent_T,parent_N,lambda_response,normalization_id,completed_nodes,derived_observation_only,history_append_count,persistent_endpoint_capture_count,prefix_is_sequential_resume_checkpoint,actual_gpu_endpoint_required,native_path_length_normalized,raw_integrated_work
llama3-8b-inst,PRE_EDIT,TERMINAL_VALID,7,100,0.07,100,10.655911401510238,10.813074111938477,15.403270816802983,20.651830673217773,100,4.441596361631528,4.1180644035339355,8.828197193145758,13.927968978881836,0,100,100,-6.214315039878711,-5.9684882164001465,-0.4819885253906247,4.362321853637695,25,200,0.125,200,9.762304155826568,9.68127965927124,14.461948966979978,19.81245994567871,200,4.705202691371087,4.337722539901733,9.395226097106933,13.891318321228027,1,200,200,-5.0571014644554815,-4.709922909736633,0.3665837287902812,4.925976276397705,914,1000,0.914,1000,11.222042660742998,11.035241603851318,16.47985725402832,24.131967544555664,1000,5.1334446258958195,4.621447324752808,10.446111965179444,19.882173538208008,188,1000,1000,-6.088598034847179,-5.886520147323608,-0.2783172607421874,7.746018648147583,4,104,0.038461538461538464,7,0,100,7,208,0.03365384615384615,8,0,100,218,1030,0.21165048543689322,64,1,100,c8ea4686f3070ba6fe032c2d3b579c7c9dacd842886175216c34b8dd18f911f2,NOT_RECORDED_SCHEMA_GAP,NOT_APPLICABLE,NOT_RECORDED_SCHEMA_GAP,NOT_APPLICABLE_NO_EULER_TRAJECTORY,ENTRY_OR_OFFICIAL_COMPONENT,,,,,,,,,,,,,,,,,,,,
llama3-8b-inst,O_NATIVE,TERMINAL_VALID,100,100,1.0,100,0.0013771035019544797,0.0007995149644557387,0.00287076144013554,0.019342729821801186,100,13.822954998016357,13.815189361572266,19.13539619445801,21.066730499267578,100,100,100,13.821577894514403,13.814903844468063,19.135210828420533,21.06651487291674,189,200,0.945,200,1.9564028609611706,0.4049473702907562,6.184424638748168,10.522180557250977,200,9.316919361967594,9.108337879180908,14.635611724853515,20.697418212890625,120,200,200,7.360516501006423,6.805301070213318,14.28135691419593,20.696388774667867,891,1000,0.891,1000,10.355976231366396,10.242088794708252,15.70648593902588,23.148014068603516,1000,4.652828759711119,4.125399827957153,9.739805221557617,18.29926872253418,199,1000,1000,-5.703147471655277,-5.470618486404419,0.17007715702057002,6.803192138671875,104,104,1.0,100,100,100,127,208,0.6105769230769231,91,42,100,229,1030,0.22233009708737864,61,1,100,e402fdfa8ed83c03218d2aec1e3b6818c46118dca699c5ee377836f78170a19b,96.57051901467266,1,NOT_RECORDED_SCHEMA_GAP,NOT_APPLICABLE_NO_EULER_TRAJECTORY,ENTRY_OR_OFFICIAL_COMPONENT,96.57051901467266,0.11758926601793064,96.57051901467266,,,,,,,,,,,,,,,,,
llama3-8b-inst,JV-BASE,TERMINAL_VALID,100,100,1.0,100,0.002857832957197388,0.0012466880143620074,0.00511407698504627,0.0712963119149208,100,13.034523811340332,13.057578563690186,18.184804725646973,22.138750076293945,100,100,100,13.031665978383135,13.05670487578027,18.18410543819482,22.137885705800727,178,200,0.89,200,2.424796257555281,1.2303228974342346,6.643015670776367,11.440743446350098,200,8.3738106227573,8.577712059020996,14.172252750396728,18.62500762939453,105,200,200,5.94901436520202,5.4722699308767915,13.692467688582838,18.623347707209177,881,1000,0.881,1000,10.19167780226469,10.108046531677246,15.640694046020508,23.060300827026367,1000,4.718455330713885,4.19372034072876,9.81441068649292,17.660964965820312,196,1000,1000,-5.473222471550805,-5.349666237831116,0.341505527496338,6.547623157501221,104,104,1.0,100,100,100,111,208,0.5336538461538461,81,33,100,226,1030,0.21941747572815534,56,1,100,66743f605b4211b51b2a8809b5a15b9662ec8cf21c792d32bbb1c9d021a75c34,149.86993006765684,0,0.004937891020878192,0.13265580434021093,SHARED_PARENT_PATH_NOT_ALLOCATED,NOT_RECORDED_SCHEMA_GAP,NOT_RECORDED_SCHEMA_GAP,,JV-BASE,S-PATH-T4,2.0,4,0.5,4.0,8,0.1,N0_SOURCE,4,True,0,0,False,True,0.42813291109749535,108.94395644488162
llama3-8b-inst,JV-LAM-001,TERMINAL_VALID,100,100,1.0,100,0.0026686310938021053,0.0011971576022915542,0.004827189631760122,0.06522531807422638,100,13.101672596931458,13.112152576446533,18.24943199157715,22.203407287597656,100,100,100,13.099003965837655,13.111501548672095,18.248745986276482,22.20257019280689,179,200,0.895,200,2.4108455264935036,1.2249341011047363,6.63656415939331,11.495939254760742,200,8.400612909989432,8.591908931732178,14.186262702941894,18.642908096313477,106,200,200,5.989767383495928,5.523392703384161,13.769315564632416,18.641261979471892,879,1000,0.879,1000,10.179435829922557,10.099310398101807,15.640926265716553,23.033851623535156,1000,4.717209398819658,4.17513108253479,9.794557285308837,17.60847282409668,196,1000,1000,-5.462226431102899,-5.342746317386627,0.34616603851318384,6.542440176010132,104,104,1.0,100,100,100,112,208,0.5384615384615384,82,34,100,226,1030,0.21941747572815534,56,1,100,12dcf22a0e3fe497cbbbaf3a9926e050061cd282073084e06de8a6337d5a9d14,157.99730597101546,1,0.004233941439585395,0.14190488668290546,PATH_TOTAL_IN_COMPUTE_TABLE,157.9973076974556,0.19238570564304555,,JV-LAM-001,S-PATH-LAM-001,2.0,4,0.5,2.0,4,0.01,N0_SOURCE,4,False,1,1,False,True,0.4395146767428859,116.53979161326559
llama3-8b-inst,JV-LAM-00316,TERMINAL_VALID,100,100,1.0,100,0.0027132714360959655,0.0012120408355258405,0.004897134006023408,0.06665784120559692,100,13.085162439346313,13.098825931549072,18.23326988220215,22.187227249145508,100,100,100,13.082449167910218,13.098167013318744,18.232580660580425,22.186383603373542,179,200,0.895,200,2.4143268922093557,1.2262901663780212,6.6380823135375975,11.48387622833252,200,8.393922886149959,8.587972164154053,14.184581279754637,18.638391494750977,106,200,200,5.9795959939406025,5.510608232580125,13.752418927103282,18.63674204563722,880,1000,0.88,1000,10.182564759999513,10.099824905395508,15.641847801208497,23.040767669677734,1000,4.7175346064298065,4.173068523406982,9.79966459274292,17.62215805053711,196,1000,1000,-5.465030153569707,-5.345458090305328,0.3424276351928713,6.543668746948242,104,104,1.0,100,100,100,112,208,0.5384615384615384,82,34,100,226,1030,0.21941747572815534,56,1,100,a4cb48a22f5e5e7e9ed5b5e891951144e4e4e37a13c14000ae4de4b3111723fb,155.89130871031801,1,0.004398670920449074,0.13952123913143635,PATH_TOTAL_IN_COMPUTE_TABLE,155.8913083480578,0.18982133175071617,,JV-LAM-00316,S-PATH-LAM-00316,2.0,4,0.5,2.0,4,0.03162277660168379,N0_SOURCE,4,False,1,1,False,True,0.4365761619013846,114.58221428509071
llama3-8b-inst,JV-LAM-0316,TERMINAL_VALID,100,100,1.0,100,0.0033661359941834237,0.0012849054764956236,0.0062070318963378685,0.08750630170106888,100,12.8835746717453,12.900572776794434,18.04900455474854,22.003557205200195,100,100,100,12.880208535751116,12.898728484724415,18.048276070924476,22.00263090134831,178,200,0.89,200,2.4551901975677173,1.2088266015052795,6.657343912124634,11.269786834716797,200,8.31600934823975,8.495063781738281,14.134471035003662,18.587486267089844,104,200,200,5.860819150672032,5.316718963906169,13.587655091844498,18.58578909491189,883,1000,0.883,1000,10.215349809736013,10.120037078857422,15.64981575012207,23.106887817382812,1000,4.720675349887635,4.208124160766602,9.813429832458496,17.75238037109375,196,1000,1000,-5.494674459848378,-5.379155993461609,0.344636344909668,6.560257911682129,104,104,1.0,100,100,100,110,208,0.5288461538461539,81,33,100,226,1030,0.21941747572815534,56,1,100,0e10dbe5627e088585fb3f47b596979168d5ce0b6de9f2653cd268693916a92e,135.1845330170907,1,0.006819832943010508,0.11583103301517715,PATH_TOTAL_IN_COMPUTE_TABLE,135.18453440449457,0.1646076912477293,,JV-LAM-0316,S-PATH-LAM-0316,2.0,4,0.5,2.0,4,0.31622776601683794,N0_SOURCE,4,False,1,1,False,True,0.40720688881010886,95.12656516263705
llama3-8b-inst,JV-LAM-1,TERMINAL_VALID,100,100,1.0,100,0.005898049707120663,0.001638975867535919,0.010845955461263669,0.16191153228282928,100,12.432525577545166,12.34967041015625,17.973710823059083,21.654809951782227,100,100,100,12.426627527838045,12.347395568503998,17.972597813158064,21.65369108354207,175,200,0.875,200,2.54879737025185,1.342848777770996,6.64421329498291,10.851131439208984,200,8.146880750246346,8.062804222106934,14.012740516662596,18.48448371887207,103,200,200,5.598083379994495,5.242907863110304,13.358675969019533,18.482630540500395,883,1000,0.883,1000,10.269448527768255,10.185750007629395,15.672491264343261,23.192663192749023,1000,4.725365128689736,4.236467123031616,9.796292400360107,17.902877807617188,194,1000,1000,-5.544083399078517,-5.468808650970459,0.28886756896972726,6.601481676101685,104,104,1.0,100,100,100,109,208,0.5240384615384616,79,32,100,224,1030,0.2174757281553398,57,1,100,d9858c6e9991b94fcfcb5be8566d8f607822ea5bed22c02c201e367187dfbc1d,107.89567596823105,1,0.014328467307501331,0.08594064227436189,PATH_TOTAL_IN_COMPUTE_TABLE,107.89567646009358,0.13137936433294758,,JV-LAM-1,S-PATH-LAM-1,2.0,4,0.5,2.0,4,1.0,N0_SOURCE,4,False,1,1,False,True,0.36605129980417195,70.57899679060773
llama3-8b-inst,JV-RES-N2,TERMINAL_VALID,100,100,1.0,100,0.0013440441722286777,0.0007519278442487121,0.002282147202640772,0.024923887103796005,100,13.867105040550232,13.88599443435669,18.818748474121094,22.34954071044922,100,100,100,13.865760996378004,13.885546496763709,18.818212489187044,22.348840362741612,185,200,0.925,200,2.195938737088145,0.8597641289234161,6.406287050247192,11.974906921386719,200,8.812536585852504,8.783915042877197,14.578947639465332,19.511045455932617,111,200,200,6.616597848764359,6.190136760473251,14.352342526288702,19.51045316120144,875,1000,0.875,1000,10.099174190551043,9.990976333618164,15.536027908325195,22.93632698059082,1000,4.711781918016844,4.1771721839904785,9.794137287139893,17.458101272583008,192,1000,1000,-5.387392272534198,-5.283509016036987,0.45671687126159694,6.912290394306183,104,104,1.0,100,100,100,117,208,0.5625,87,36,100,222,1030,0.21553398058252426,55,1,100,ca2e5e29d04c07c1ddc209176f3ca1d675526ceabdf228c1bec219a7d6f22895,173.66674814694468,1,5.8179620030741213e-05,0.19434815102160558,PATH_TOTAL_IN_COMPUTE_TABLE,173.66673429216587,0.21146561109445844,,JV-RES-N2,S-PATH-N2,2.0,2,1.0,2.0,2,0.1,N0_SOURCE,2,False,1,1,False,True,0.4769304826689172,159.60897154368277
llama3-8b-inst,JV-RES-N8,TERMINAL_VALID,100,100,1.0,100,0.005875828272655781,0.0016811058740131557,0.01084342384710908,0.15268687903881073,100,12.43338674545288,12.30009126663208,17.80865345001221,21.944936752319336,100,100,100,12.427510917180225,12.297643357887864,17.80783442660177,21.943916245596483,172,200,0.86,200,2.5943105352323617,1.485867440700531,6.87879819869995,11.164280891418457,200,8.09605833446607,8.158475875854492,13.902509307861328,18.473142623901367,102,200,200,5.5017477992337085,5.09857065603137,13.158719036524417,18.471187715418637,884,1000,0.884,1000,10.246823625504971,10.16092824935913,15.655396366119385,23.1274471282959,1000,4.724410688062024,4.19778847694397,9.773013496398926,17.778827667236328,200,1000,1000,-5.5224129374429465,-5.40742814540863,0.29811079502105736,6.5988218784332275,104,104,1.0,100,100,100,108,208,0.5192307692307693,76,32,100,230,1030,0.22330097087378642,56,1,100,86d814aead9d44b5a4fc9f7c3b8c747ea9535cc57e3498dd9836cc9831b6f192,137.6574546367513,1,0.011600269439376925,0.1138433060365763,PATH_TOTAL_IN_COMPUTE_TABLE,137.65745037530797,0.16761884182348408,,JV-RES-N8,S-PATH-N8,2.0,8,0.25,2.0,8,0.1,N0_SOURCE,8,False,1,1,False,True,0.40992091810206144,93.49413873050267
llama3-8b-inst,JV-HOR-T1,TERMINAL_VALID,98,100,0.98,100,0.24774282125290484,0.01209393423050642,0.5061616539955159,5.362621307373047,100,9.597402650415898,9.865001678466797,15.069557762146,20.211780548095703,93,100,100,9.349659829162993,9.852846407331526,15.064920961554165,20.208652030909434,151,200,0.755,200,3.418410189952119,2.6472033262252808,9.033806037902831,12.08691692352295,200,6.888706789882853,6.821284770965576,11.824873447418211,17.46866798400879,82,200,200,3.4702965999307342,3.1668271869421005,10.938816165551543,17.46404300397262,892,1000,0.892,1000,10.44643810543418,10.302816390991211,15.82907543182373,23.39642333984375,1000,4.758087369551417,4.2365477085113525,9.855267906188965,18.252092361450195,193,1000,1000,-5.6883507358827625,-5.582092523574829,0.15076613426208504,6.791626930236816,97,104,0.9326923076923077,98,93,100,88,208,0.4230769230769231,66,26,100,223,1030,0.21650485436893205,59,1,100,607fa4fdc7c983ecfcc9f7b7aad6defb02a21f982bcf8d11772cf9b9d2aa2c5b,92.18274469072121,0,0.07000826990157516,0.1231938808690627,SHARED_PARENT_PATH_NOT_ALLOCATED,NOT_RECORDED_SCHEMA_GAP,NOT_RECORDED_SCHEMA_GAP,,JV-HOR-T1,S-PATH-T4,1.0,2,0.5,4.0,8,0.1,N0_SOURCE,2,True,0,0,False,True,0.335225103163577,101.17332489466372
