model,path_id,node,t,V_before,V_after,V0,V_ratio,E,qN,qN_ref,gain,response_sq,native_path_length_normalized,actual_barrier_increment,dissipation_residual,speed_bound,speed_excess,velocity_mismatch,model_error_normalized,model_error_raw_activation,finite_step_dissipation_defect,KKT_stationarity,KKT_complementarity,state_version,exit_state_version,node_wall_seconds,training_semantic_forward_count,training_semantic_wall_seconds,lambda_response,T,N,h,support_count,active_direction_count,actual_step_DeltaW_squared,actual_net_DeltaW_squared,actual_step_DeltaW_norm,actual_net_DeltaW_norm,raw_integrated_work_increment,normalized_integrated_work_increment,seconds_main_jvp,seconds_native_dictionary,seconds_primary_NNLS,seconds_shadow_metric_NNLS,training_all_strict,training_strict_event_count,training_event_count,training_request_strict_count,training_strict_tie_count,residual_n,residual_mean,residual_median,residual_p90,residual_max,L8_step_energy_share
llama3-8b-inst,S-PATH-T4,0,0.5,0.5000000272764172,0.1321930931654113,0.5000000272764172,0.26438617190780755,0.09646359218520614,0.19292718437041229,821.2528429248556,0.9747632056604227,0.9554704872233818,0.2196173856792833,0.3581605748924853,-2.8449465006019636e-16,2.500000136382086,-2.3070729520116737,0.07709818710819985,0.0021715232764712815,0.09653416037637352,0.00014085781628285499,4.440892098500626e-16,1.9496535409294719e-16,0,4,108.86897244863212,10,11.300933048129082,0.1,4.0,8,0.5,4,5,39.61050316351735,39.61050316351735,6.2936875648158255,6.2936875648158255,79.22099932084443,0.09646359218520614,14.989433513954282,60.9365089032799,0.026198891922831535,2.643422843888402,False,376,624,42,0,100,2.328322600145132,2.383358465757868,2.6028734433608984,2.7421173710642983,0.9990357219007858
llama3-8b-inst,S-PATH-T4,1,1.0,0.1321930931654113,0.03500413686036236,0.5000000272764172,0.07000826990157516,0.1231938808690627,0.05346057736771311,821.2528429248556,0.2574382242501943,0.25209216651342237,0.335225103163577,0.09451592743666329,6.245004513516506e-16,0.6609654658270565,-0.6075048884593434,0.04002379721935974,0.000554626352301828,0.024701969147725385,1.863500587009903e-05,1.1102230246251565e-16,1.3534657904304533e-20,4,8,107.15779771655798,10,11.360313393175602,0.1,4.0,8,0.5,4,5,10.97616364877722,92.18274469072121,3.313029376383074,9.60118454622768,21.952325573819294,0.026730288683856556,15.094535395503044,61.34707773476839,0.03418324887752533,2.689736308529973,False,607,624,89,0,100,1.1964171419231573,1.2124621450682231,1.3695462571971788,1.4692834029054325,0.9991070288762642
llama3-8b-inst,S-PATH-T4,2,1.5,0.03500413686036236,0.009286469978603395,0.5000000272764172,0.018572938944000326,0.13060159168271696,0.01481542162730851,821.2528429248556,0.0680931901675754,0.06661164800484463,0.3960844114641741,0.024976895800393542,-8.933825901280557e-17,0.1750206843018118,-0.1602052626745033,0.020821656764497393,0.0001445382947007204,0.006444442686141245,2.4722014231922523e-06,1.1102230246251565e-16,1.3507770522126614e-17,8,12,117.05046964250505,10,11.44894284941256,0.1,4.0,8,0.5,4,5,3.0418017349391224,128.49174782327253,1.7440761838116827,11.335420054998956,6.083603565278752,0.007407710813654255,15.075697500258684,62.363036926835775,0.03364970535039902,3.26162688434124,False,621,624,97,0,100,0.6145200663045977,0.6140122672963519,0.7106166670246568,0.8463618207000811,0.9991550157838283
llama3-8b-inst,S-PATH-T4,3,2.0,0.009286469978603395,0.0024689456451270717,0.5000000272764172,0.004937891020878192,0.13265580434021093,0.00410842531498796,821.2528429248556,0.0180440188446797,0.017633176313180943,0.42813291109749535,0.006612103067726925,-3.973600962159374e-17,0.04643234989301697,-0.04232392457802901,0.010866396874232645,3.900066720186704e-05,0.0017394855198702868,3.380497159278899e-07,2.7755575615628914e-17,3.83940165557298e-22,12,16,120.95975313335657,10,11.527378175407648,0.1,4.0,8,0.5,4,5,0.8435139407296031,149.86993006765684,0.9184301501636383,12.2421374795277,1.6870279849391536,0.00205421265749398,15.16087027080357,63.59753864817321,0.04816137067973614,2.92197734862566,False,623,624,99,0,100,0.31546884640777667,0.3131206962818665,0.3740281890725986,0.49035198510693817,0.9991553204004987
llama3-8b-inst,S-PATH-T4,4,2.5,0.0024689456451270717,0.0006579614904977735,0.5000000272764172,0.0013159229092082224,0.1332265393824439,0.00114147008446593,821.2528429248556,0.004791364360372923,0.00467721735192632,0.44502573564274184,0.0017539106504060019,9.98821251402271e-18,0.012344728225635359,-0.01120325814116943,0.005690335792782254,1.0923081522772606e-05,0.0004871116505372285,4.585656636780632e-08,1.3877787807814457e-17,1.7703075785352787e-21,16,20,119.32500499114394,10,11.56128448061645,0.1,4.0,8,0.5,4,5,0.23435890254296615,161.66443982455118,0.4841062926083136,12.714733179447817,0.46871777599066006,0.000570735042232965,15.24760764837265,64.96075871959329,0.03508179821074009,3.272605739533901,False,623,624,99,0,100,0.16183382980219252,0.15915419906917005,0.19418440870808693,0.2851808956581388,0.9991206176892822
llama3-8b-inst,S-PATH-T4,5,3.0,0.0006579614904977735,0.00017580248021522048,0.5000000272764172,0.00035160494124939477,0.13338557904182094,0.0003180793187541068,821.2528429248556,0.0012751725657467047,0.0012433646338712954,0.45394312481718785,0.0004662550443448476,-1.362028979184915e-18,0.003289807452488867,-0.0029717281337347605,0.0029903985308706053,3.502886214917172e-06,0.0001560720996867725,6.69335688808473e-09,1.3877787807814457e-17,2.4739106698144057e-19,20,23,113.62426729500294,10,11.610047407448292,0.1,4.0,8,0.5,3,5,0.06530588947288846,167.96777542461604,0.25555017016798964,12.960238247216601,0.13061177240120578,0.0001590396593770534,15.261292222887278,64.00280386395752,0.03312836214900017,2.712411852553487,False,623,624,99,0,100,0.0829445069073072,0.08276377124351997,0.10062931907029579,0.16618080291108214,0.9990612375239416
llama3-8b-inst,S-PATH-T4,6,3.5,0.00017580248021522048,4.710846545994192e-05,0.5000000272764172,9.421692578008349e-05,0.13343006756891962,8.897705419734191e-05,821.2528429248556,0.00034022049087603586,0.0003313227854563016,0.45865950728146443,0.00012424516204541145,5.082197683525802e-20,0.0008790124010761023,-0.0007900353468787604,0.0015769477273108504,1.9511437915876935e-06,8.700116413512012e-05,8.825007016591258e-10,0.0,0.0,23,26,112.54048124328256,10,11.651575855910778,0.1,4.0,8,0.5,3,5,0.018268163600152394,171.2781121975222,0.13515977064257098,13.087326396079613,0.036536329357323004,4.4488527098670956e-05,15.308157220482826,64.00702881067991,0.030781390145421028,1.4531080927699804,True,624,624,100,0,100,0.042463531918224454,0.04183165498346522,0.0521903166533616,0.09686161808126847,0.9989798937472731
llama3-8b-inst,S-PATH-T4,7,4.0,4.710846545994192e-05,1.2663069871180778e-05,0.5000000272764172,2.5326138360748922e-05,0.13344256971138388,2.5004284928522674e-05,821.2528429248556,9.102067977769971e-05,8.852025128484706e-05,0.46115972151871104,3.319518134233501e-05,3.89211639263351e-19,0.0002355423272997096,-0.00021053804237118693,0.000834159846391274,1.734571387709768e-06,7.747676214334467e-05,-8.711051736544253e-11,0.0,0.0,26,29,108.96901441924274,10,11.679018784314394,0.1,4.0,8,0.5,3,5,0.005133710274305715,172.99811216369292,0.0716499146845669,13.152874673001827,0.010267420041426183,1.2502142464261337e-05,15.356093496084213,62.38437134772539,0.029607383534312248,1.4532454162836075,True,624,624,100,0,100,0.02170994122038092,0.02076390380579932,0.027083449935565093,0.056385951313051255,0.9988774855777427
llama3-8b-inst,S-PATH-N2,0,1.0,0.5000000272764172,0.00303262182164739,0.5000000272764172,0.0060652433124185655,0.19292718437041229,0.19292718437041229,821.2528429248556,0.9747632056604227,0.9554704872233818,0.4392347713585666,0.47767468701772864,-2.8449465006019636e-16,2.500000136382086,-2.3070729520116737,0.07709818710819985,0.00872171446615309,0.3874712677615378,6.0556593962313165e-05,4.440892098500626e-16,1.9496535409294719e-16,0,4,105.83993841335177,10,11.360036365687847,0.1,2.0,2,1.0,4,5,158.44201265808442,158.44201265808442,12.587375129791136,12.587375129791136,158.44199864168885,0.19292718437041229,15.009025886654854,61.18274640664458,0.031586773693561554,1.7396537624299526,True,624,624,100,0,100,0.3266240557969411,0.2899295047135706,0.501664418307216,0.750344338363902,0.999035721897011
llama3-8b-inst,S-PATH-N2,1,2.0,0.00303262182164739,2.90898116023022e-05,0.5000000272764172,5.8179620030741213e-05,0.19434815102160558,0.0014209666511932932,821.2528429248556,0.0058650010113346866,0.005722904346215356,0.4769304826689172,0.0028614353449257584,1.3552527156068805e-18,0.01516310910823695,-0.013742142457043657,0.007625350276594627,3.5976754231168185e-05,0.0015561889412267255,1.6828181919129048e-08,2.7755575615628914e-17,1.0460943468358287e-18,4,9,110.86460090987384,10,11.428451240062714,0.1,2.0,2,1.0,5,5,1.1669727873475058,173.66674814694468,1.0802651467799496,13.178268025311395,1.1669729019939037,0.0014209666511932932,15.113286353647709,61.941943580284715,0.30797688104212284,1.9238361492753029,True,624,624,100,0,100,0.027227822938733933,0.021639850407836274,0.0433313545191817,0.14264401968257812,0.999671585050271
llama3-8b-inst,S-PATH-N8,0,0.25,0.5000000272764172,0.28621102383174324,0.5000000272764172,0.572422016436243,0.04823179609260307,0.19292718437041229,821.2528429248556,0.9747632056604227,0.9554704872233818,0.10980869283964165,0.20896582383541368,-2.8449465006019636e-16,2.500000136382086,-2.3070729520116737,0.07709818710819985,0.0005420517961586992,0.02410504222854685,4.334524470108944e-05,4.440892098500626e-16,1.9496535409294719e-16,0,4,111.48611900024116,10,11.325393505394459,0.1,2.0,8,0.25,4,5,9.902625789041569,9.902625789041569,3.1468437821159108,3.1468437821159108,39.610499660422214,0.04823179609260307,15.028455751016736,63.42142585106194,0.03525833040475845,1.7039187867194414,False,82,624,4,0,100,3.426865096740356,3.460012109391344,3.821847706981856,4.0019437917472445,0.9990357218901661
llama3-8b-inst,S-PATH-N8,1,0.5,0.28621102383174324,0.16386747155403697,0.5000000272764172,0.32773492522920483,0.07629235642222093,0.11224224131847145,821.2528429248556,0.5577700608183074,0.5465458366864601,0.19356512592035768,0.11953749624474448,1.700029006457271e-16,1.4310551191587162,-1.3188128778402448,0.058547098248604136,0.00030676568383074856,0.013650973347885773,1.9405530418643152e-05,0.0,0.0,4,8,111.45425120554864,10,11.40863929875195,0.1,2.0,8,0.25,4,5,5.761203959961995,30.765207381573063,2.40025081188654,5.546639287133522,23.044814944763093,0.028060560329617863,15.201288122683764,64.77256366983056,0.0318217258900404,1.496839202940464,False,276,624,23,0,100,2.5927757068427426,2.6359683220773693,2.8927441860651575,3.0339748719616604,0.9990567016095149
llama3-8b-inst,S-PATH-N8,2,0.75,0.16386747155403697,0.09384118938031133,0.5000000272764172,0.18768236852201747,0.09262314577040551,0.06532315739273829,821.2528429248556,0.3192258593870271,0.31269354364775315,0.2574611143472233,0.06839320323890719,1.0061396160665481e-16,0.8193373577701848,-0.7540142003774465,0.04446085898600128,0.00017291700363155664,0.007699193419569705,8.5094340388156e-06,0.0,0.0,8,12,117.08269248716533,10,11.459817200899124,0.1,2.0,8,0.25,4,5,3.3529264245163253,54.41521749261156,1.8310997855158864,7.376667099213002,13.41170717940353,0.016330789348184573,15.317371657118201,62.468040481209755,0.3035400044173002,4.510378237813711,False,477,624,64,0,100,1.9616396506887903,2.007145932976199,2.1937348018922567,2.309999002955697,0.9990894758279006
