arm,batch,entry,selected,selection_sha,commit_sha,past_ids_sha,W,M,nextordinal,checkpoint
N4,1,cecd4a95bf5343b2bad2d5cfa39ac285174d139f8161f5ae4ae53e24dde7b286,9e7a08f589c8b37d6f64abba5608048cef032468c00d93dc4f7f4aa762ffaf74,3a255fa8c451f5623e7ee635527d79db05d5d25fd044cdd44417bd794e9f509f,19d3197c356a42a4256c474764b8e71ff7ffe54dcc302b2a9c692a1bdc88efb5,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,327b3fdf7deab05944278835c4b9453cd601aa036987096a18602ed2df8ca6dd,604e23874cca6e7b0155eceb3ae7ea6b15e3ca4eca646146a7f91f5f305bb846,100,NOT_SAVED_USER_DIRECTED
N4,2,9e7a08f589c8b37d6f64abba5608048cef032468c00d93dc4f7f4aa762ffaf74,a38cab47d1c0ab39cf722df5e323ff94bbe121f519faf6e959fb2b042503c92c,61559cf7dfae429f94c8ce3ddbaba14990185c843d6f0b8abd0d8bc347f6f703,9f44e0a7fac077f8fff243e1208c2b866f92162e9e339bde30ba11979f474cc4,91e62aaa0af730d436f827a91ab0dde954e339de199bcec0e071a6a681a98fa3,9612215b65d73148cf468c122d20854daec85fee7b1a26964301819d519a30b6,5f154f6fcc8af2e28c4b1814adae71b756f2a06cc420a2d4e63d751f659fa0a8,200,NOT_SAVED_USER_DIRECTED
N4,3,a38cab47d1c0ab39cf722df5e323ff94bbe121f519faf6e959fb2b042503c92c,2b5c27ff38fe4caa01bd9990701b0f8af7230edba798c2414b742f66a55b8615,8c6aa2d0fe3ed022170f140ec83f8a14ed1c4d4f02823a1b560548aa783ee9c0,84488cedf05f48ef1263440e1f019fcda5aad5ec1607c1f6d257cc8fc0e6c283,a5250a63980f984882fb1e46ad8417b9cf1ddede310ef57a2f44d73292bedd5d,6776abbf2dd4b12b68a8cba181e95546690c04ef7a03b8e9f9b15f5f2690c70f,757fb1fffbbbea284c41ac12d23214f4f44274fbc80fc9978dc0362a59e97cbe,300,NOT_SAVED_USER_DIRECTED
N4,4,2b5c27ff38fe4caa01bd9990701b0f8af7230edba798c2414b742f66a55b8615,77f8dbef84ed5ae128638acbd8954e7c2bc0d144c6686055e8988dc819f6cca3,0b899c369b260b77eead419d930ce3453ee3b8315d582c398561f68b374aedb3,9118e2ce7d53c4f1869c9a6cfd90a0672688a6d98ac0f443416dcea1b3eef392,1a3422ee227b3f0742132a719773fc99270f03222cea3084de684367d15673ca,959a0da72d3e8e450d58772bc020946dd06fa109141ca100cd16e3bea3452f45,ebf8ccb83df95e6a0fd4e8a0d0235092d77beda87657abae10c1762b17b8167e,400,NOT_SAVED_USER_DIRECTED
N4,5,77f8dbef84ed5ae128638acbd8954e7c2bc0d144c6686055e8988dc819f6cca3,b71d754e76bf75d961bfa97481681920cb06a8c2fc6879f07cfb55a940ea67a1,46df9933f20a426a78e2be15831f2944a55d266fd0d1d178b3dec7bde0a0438b,0a260c56edf837dec75cb43fc6376c87d8b45a2088f7c66578343aa8702c0e5d,3a6100e77e046e0f4cbcdf7aad3f848d2a047cdc71e3042574c4f1e5fef276cd,1ef882074371c756b3dd83a72170b17dc7de1bd7e43f45cb7eb0942cb4b2c860,baea3f2bae0bd9f05d4600be65ed3e65b2deadbaba8f1350b629031e06e5a6d0,500,NOT_SAVED_USER_DIRECTED
N4,6,b71d754e76bf75d961bfa97481681920cb06a8c2fc6879f07cfb55a940ea67a1,aeeae6d942ce1f10694beec49cb2cc4825fa0b5ce6d4ab163333ca16299063c1,1c70ba6691a27cee4aa36f991a6cee5542bd145429a179c42e12fe0325770fca,67327cfa601ef8edf11d9c8a6af9ed18e55dbd5e0f1e081a711080d4459c1c49,77af2e36d3f1b5cf9432225a069bec30ba9ea440e6f5ca443696485bd5dadc24,508875c4a7609dd19a096c26c925a5ef6364454a21972eb827884988a0dd128a,03c6a9e8881e73231f9093e41ab94d61b8a25d5a49ca710aefe4b757551417a6,600,NOT_SAVED_USER_DIRECTED
N4,7,aeeae6d942ce1f10694beec49cb2cc4825fa0b5ce6d4ab163333ca16299063c1,f6c0f0d079abf00cf5c1baa7d72e4eb503ea193da23981fce0ff1fcd10f923a5,d7742a6f9ba9b27ccf188c1a4dcfc7125b04acb0bae37fc2a2d22b3ba13bd5cb,73c356dad41bb7512d6409c3c52a6a0b6d0303ad334f7e29db6b015b598ad0b1,54acd45c7a628f84f6ca5600c104d0086f9e2b81eaa1163202508ea45c1793d7,3de5ea4139698012060e5aea342798188bc092025369a7c7092da19128b2e0d0,0b4c16884eb3aaf6e7ecfa473a40a8755a34c4521c17ecc211c70f1c59152c41,700,NOT_SAVED_USER_DIRECTED
N4,8,f6c0f0d079abf00cf5c1baa7d72e4eb503ea193da23981fce0ff1fcd10f923a5,bd4b2041309ff1c0cbe08ae53531104055bebfebc623b92f0fb3a079704283fd,ab9a909279d4aeced1fcc3b695cb9af343d70b7a4dbb6258c2bb1cc6b09304bf,89599e2522c9b044839dd3c3647a37a6779a766b063c469f699a5ea7eddfdaea,791ee445fc5badf7c7dc97952f58d9743832472e1e520e4aa8690cd3ce4d6271,9da214ded144ecb6618fa4ec32d48f39a9d7efea6e60b9036558b66cef7b403f,c4776226a5f334e4f373b0ba001d7354ef2c63bde85d8e683b25e345336207e8,800,NOT_SAVED_USER_DIRECTED
N4,9,bd4b2041309ff1c0cbe08ae53531104055bebfebc623b92f0fb3a079704283fd,474c9e2eca82ef033db0d25824120935c4218971361674cc01af75d6c342f3e3,ffaea61f6f0e7ae0171974f326210083622dd2b31c9f79fc5d8565a0b9966861,3aff11ee2279a36f83b63d5ab8412703fe6be6d136433b7dc2c45300dd3d200e,432bca8e9a72b2425ee2d18c72d0ec4175c4d442f72dc9cc5ae7f866fea7e6a5,2d0ac9472bff1fd76b3245c2384814e45e21fd41247e0cfba8b29c4fd4aaea10,9e5ceb0cad1c47cf6f94a420bf6792b9bc73153a0e6c3c56b6b960b4132d5b18,900,NOT_SAVED_USER_DIRECTED
N4,10,474c9e2eca82ef033db0d25824120935c4218971361674cc01af75d6c342f3e3,c3c9e650348c72b4c4ff0ec898581ced893c350ec08a9293891bc60524f4a92d,6e81a65d47341ff014a46a68e549e35941e47dedd774402d478f51998ac50d2a,4af626f81615950f0ae83aa50206d5dace9fe543d8efc8c14dbdd57f6e99761d,0ce1af2665c547a4aa57591670e8dee48d760f338a582097594edad66da7ba63,3fb5e1084c3e81d0f89c84d341aab0fcdcff7b46467ecbf9a8f1234265cefd7d,82c957b9e4611cd7169e7a74a0e6080295d5bb700610da8efe7b243dd3bb0a07,1000,NOT_SAVED_USER_DIRECTED
F48,1,cecd4a95bf5343b2bad2d5cfa39ac285174d139f8161f5ae4ae53e24dde7b286,322c35d49b5a852357ee2683dd54cecf530737fee8139fd4f88df00e0b0e84d3,b4835e9a98c766755334ef6fa02192e56b8118d67517fcaf8095aeb0c3893055,215636810ee25097f41beaa9805375f2fe01e6c9aa5fbb31dc1757ce69689a6e,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3095381fa9c0ab5654df7054d82a842db18f83728e426183c4524ff8754dc2bf,145e1695b320b4b8f81449e44f4cb3023a28ddc6bd79cffb4cd53c20b68ca0e1,100,NOT_SAVED_USER_DIRECTED
F48,2,322c35d49b5a852357ee2683dd54cecf530737fee8139fd4f88df00e0b0e84d3,aeebe2d8a8d853018d5b7f5bc58bee0563fecb4534d85efa4f54c2801edf0ad7,5be5572e7c859067e0d8cd78a03e531ca079fe3cc9bc73349d94c4c7b624e136,8ba469e09732a72c6a0a4fef565359c8f0bf7e51b04fb0823d26316f3d81d886,91e62aaa0af730d436f827a91ab0dde954e339de199bcec0e071a6a681a98fa3,be3f134257e366fa2ca723f8eec2040b6124ce87eb6ae4fd47b662cf3013647d,12316e7ed82ddc66712844b1f2fc1cd209babeacce30b07368337d7f8816151a,200,NOT_SAVED_USER_DIRECTED
