arm,batch,role,D,documents
N4,1,S64_SELECTED_ONLINE,0.0017209079930182725,64
N4,1,S64_OWN_N4_ONLINE,0.0017209079930182725,64
N4,2,S64_SELECTED_ONLINE,0.0038239335715388734,64
N4,2,S64_OWN_N4_ONLINE,0.0038239335715388734,64
N4,3,S64_SELECTED_ONLINE,0.006022348446322212,64
N4,3,S64_OWN_N4_ONLINE,0.006022348446322212,64
N4,4,S64_SELECTED_ONLINE,0.008421741996926357,64
N4,4,S64_OWN_N4_ONLINE,0.008421741996926357,64
N4,5,Dev128_OBSERVER,0.010870847168916953,128
N4,5,S64_SELECTED_ONLINE,0.010314425840761032,64
N4,5,S64_OWN_N4_ONLINE,0.010314425840761032,64
N4,6,S64_SELECTED_ONLINE,0.012474029073018755,64
N4,6,S64_OWN_N4_ONLINE,0.012474029073018755,64
N4,7,S64_SELECTED_ONLINE,0.014935928673367016,64
N4,7,S64_OWN_N4_ONLINE,0.014935928673367016,64
N4,8,S64_SELECTED_ONLINE,0.016842210480717767,64
N4,8,S64_OWN_N4_ONLINE,0.016842210480717767,64
N4,9,S64_SELECTED_ONLINE,0.01877682717577045,64
N4,9,S64_OWN_N4_ONLINE,0.01877682717577045,64
N4,10,Dev128_OBSERVER,0.022651886956737144,128
N4,10,S64_SELECTED_ONLINE,0.021280895331074134,64
N4,10,S64_OWN_N4_ONLINE,0.021280895331074134,64
F48,1,S64_SELECTED_ONLINE,0.001252664631266498,64
F48,1,S64_OWN_N4_ONLINE,0.0017209079930182725,64
F48,2,S64_SELECTED_ONLINE,0.002757233526580194,64
F48,2,S64_OWN_N4_ONLINE,0.0031518241144112835,64
F48,3,S64_SELECTED_ONLINE,0.004077504581573521,64
F48,3,S64_OWN_N4_ONLINE,0.0046400131047903415,64
F48,4,S64_SELECTED_ONLINE,0.005552629913324836,64
F48,4,S64_OWN_N4_ONLINE,0.006273447359376405,64
F48,5,Dev128_OBSERVER,0.006492029257060494,128
F48,5,S64_SELECTED_ONLINE,0.0067086431486131914,64
F48,5,S64_OWN_N4_ONLINE,0.00721097913583435,64
F48,6,S64_SELECTED_ONLINE,0.00786569109084212,64
F48,6,S64_OWN_N4_ONLINE,0.008487313965588328,64
F48,7,S64_SELECTED_ONLINE,0.00900777247284168,64
F48,7,S64_OWN_N4_ONLINE,0.0096858387780685,64
F48,8,S64_SELECTED_ONLINE,0.010101657478571724,64
F48,8,S64_OWN_N4_ONLINE,0.010767945578209037,64
F48,9,S64_SELECTED_ONLINE,0.011495061131881812,64
F48,9,S64_OWN_N4_ONLINE,0.012293620368836855,64
F48,10,Dev128_OBSERVER,0.013646587647599517,128
F48,10,S64_SELECTED_ONLINE,0.012498648904056608,64
F48,10,S64_OWN_N4_ONLINE,0.013174728181184037,64
G48,1,S64_SELECTED_ONLINE,0.0017209079930182725,64
G48,1,S64_OWN_N4_ONLINE,0.0017209079930182725,64
G48,2,S64_SELECTED_ONLINE,0.0031558189532461256,64
G48,2,S64_OWN_N4_ONLINE,0.0038239335715388734,64
G48,3,S64_SELECTED_ONLINE,0.0051500841723282065,64
G48,3,S64_OWN_N4_ONLINE,0.0051500841723282065,64
G48,4,S64_SELECTED_ONLINE,0.007352079351562679,64
G48,4,S64_OWN_N4_ONLINE,0.007352079351562679,64
G48,5,Dev128_OBSERVER,0.00961882651608903,128
G48,5,S64_SELECTED_ONLINE,0.009096526172925223,64
G48,5,S64_OWN_N4_ONLINE,0.009096526172925223,64
G48,6,S64_SELECTED_ONLINE,0.01128825307932857,64
G48,6,S64_OWN_N4_ONLINE,0.01128825307932857,64
G48,7,S64_SELECTED_ONLINE,0.013555037379319401,64
G48,7,S64_OWN_N4_ONLINE,0.013555037379319401,64
G48,8,S64_SELECTED_ONLINE,0.01547606653002731,64
