arm,array_id,physical_job_id,owner,state,exit,start_KST,end_KST,allocated_GPU_seconds,allocated_GPU_hours,MaxRSS,program_seconds,peak_GPU_allocated,peak_GPU_reserved,peak_host_RSS_KiB
C45678,49466_0,49474,janghj,COMPLETED,0:0,2026-09-17T16:35:01,2026-09-17T22:03:37,19716,5.476666666666667,40477296K,19711.47628435027,35950772736,42708500480,47836368
N4,49466_1,49492,janghj,COMPLETED,0:0,2026-09-17T17:44:31,2026-09-17T19:00:12,4541,1.261388888888889,31844948K,4534.978909712285,35950772736,42708500480,34547140
F48,49466_2,49556,janghj,COMPLETED,0:0,2026-09-17T19:00:31,2026-09-17T20:33:11,5560,1.5444444444444445,31849568K,5554.163420922123,35950772736,42708500480,35139228
G48,49466_3,49592,janghj,COMPLETED,0:0,2026-09-17T20:33:31,2026-09-17T22:27:12,6821,1.8947222222222222,31848484K,6815.739417755976,35950772736,42708500480,35614540
C4,49466_4,49720,janghj,COMPLETED,0:0,2026-09-17T22:03:57,2026-09-17T23:31:56,5279,1.466388888888889,31849924K,5274.589990301058,35950772736,42708500480,34672948
C48,49466_5,49466,janghj,COMPLETED,0:0,2026-09-17T22:27:34,2026-09-18T03:06:00,16706,4.640555555555555,38205472K,16701.544794794172,35950772736,42708500480,47764360
