arm,batch,gates,support,gate_support,action_norm,own_n4,feasible,E,H,B,raw_E,raw_B,delta_E,delta_B,stop,candidates,unique_endpoints,incomplete,adequate,completed_search_gate_vectors,completed_unique_state_tokens,distinct_a4,baseline_scores,bound_rejections,commits,completed_suffix_fits,endpoint_cache_hits,endpoints,extra_adam,extra_adam_reserved,fit_cache_hits,gate_cache_hits,incomplete_candidates,l4_adam,l4_fits,pruning_proposals,raw_callback_calls,reduction_cache_hits,search_proposals,suffix_fits,technical_failures,search_fits,search_scores,pruning_scores,pruning_fits
N4,1,[1.0],1,1,7.61165279863614,True,True,0.003404614371538628,,0.0017209079930182725,0.003404614371538628,0.0017209079930182725,0.0,0.0,NATIVE_FULL,1,1,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2400,1,0,0,0,0,0,0,,,,
N4,2,[1.0],1,1,7.71136987798354,True,True,0.026622378780157305,0.0015802247926330892,0.0038239335715388734,0.026622378780157305,0.0038239335715388734,0.0,0.0,NATIVE_FULL,1,1,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2400,1,0,0,0,0,0,0,,,,
N4,3,[1.0],1,1,7.8385920077260876,True,True,0.0026307728864776434,0.012278749113193044,0.006022348446322212,0.0026307728864776434,0.006022348446322212,0.0,0.0,NATIVE_FULL,1,1,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2400,1,0,0,0,0,0,0,,,,
N4,4,[1.0],1,1,7.8014973235883645,True,True,0.003918482569279149,0.024522713774786098,0.008421741996926357,0.003918482569279149,0.008421741996926357,0.0,0.0,NATIVE_FULL,1,1,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2400,1,0,0,0,0,0,0,,,,
N4,5,[1.0],1,1,7.824510436564866,True,True,0.012849908573552966,0.032335318147602266,0.010314425840761032,0.012849908573552966,0.010314425840761032,0.0,0.0,NATIVE_FULL,1,1,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2400,1,0,0,0,0,0,0,,,,
N4,6,[1.0],1,1,8.213161757253289,True,True,0.0024117284012027083,0.03278846723253537,0.012474029073018755,0.0024117284012027083,0.012474029073018755,0.0,0.0,NATIVE_FULL,1,1,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2400,1,0,0,0,0,0,0,,,,
N4,7,[1.0],1,1,8.211082227704994,True,True,0.004654217146162409,0.03582400399386643,0.014935928673367016,0.004654217146162409,0.014935928673367016,0.0,0.0,NATIVE_FULL,1,1,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2400,1,0,0,0,0,0,0,,,,
N4,8,[1.0],1,1,8.135063794196299,True,True,0.001981715756119229,0.0459460568600889,0.016842210480717767,0.001981715756119229,0.016842210480717767,0.0,0.0,NATIVE_FULL,1,1,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2400,1,0,0,0,0,0,0,,,,
N4,9,[1.0],1,1,8.633953693329415,True,True,0.003784382830854156,0.06089393641013885,0.01877682717577045,0.003784382830854156,0.01877682717577045,0.0,0.0,NATIVE_FULL,1,1,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2400,1,0,0,0,0,0,0,,,,
N4,10,[1.0],1,1,8.59634070037267,True,True,0.0246290294676146,0.04731072307913564,0.021280895331074134,0.0246290294676146,0.021280895331074134,0.0,0.0,NATIVE_FULL,1,1,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2400,1,0,0,0,0,0,0,,,,
F48,1,"[0.75, 0.5]",2,2,6.8024118178968065,False,False,0.012414455455291318,,0.001252664631266498,0.003404614371538628,0.0017209079930182725,0.00900984108375269,-0.0004682433617517745,RAW_FIXED_NO_QUALITY_FALLBACK,2,2,0,,1,1,1,1,0,1,1,0,1,864,0,1,0,0,2400,1,0,0,0,1,1,0,1,1,,
F48,2,"[0.75, 0.5]",2,2,6.444177763772718,False,True,0.029641933554667047,0.006676316116454473,0.002757233526580194,0.031079965041135436,0.0031518241144112835,-0.0014380314864683892,-0.0003945905878310896,RAW_FIXED_NO_QUALITY_FALLBACK,2,2,0,,1,1,1,1,0,1,1,0,1,528,0,1,0,0,2400,1,0,0,0,1,1,0,1,1,,
F48,3,"[0.75, 0.5]",2,2,6.470836653881555,False,False,0.010120606227137613,0.00622468516473873,0.004077504581573521,0.00392058181198081,0.0046400131047903415,0.006200024415156803,-0.0005625085232168203,RAW_FIXED_NO_QUALITY_FALLBACK,2,2,0,,1,1,1,1,0,1,1,0,1,528,0,1,0,0,2376,1,0,0,0,1,1,0,1,1,,
F48,4,"[0.75, 0.5]",2,2,6.264176440931724,False,False,0.010946133208635729,0.0065990713844712445,0.005552629913324836,0.005340493291732855,0.006273447359376405,0.005605639916902874,-0.0007208174460515693,RAW_FIXED_NO_QUALITY_FALLBACK,2,2,0,,1,1,1,1,0,1,1,0,1,336,0,1,0,0,2400,1,0,0,0,1,1,0,1,1,,
F48,5,"[0.75, 0.5]",2,2,6.141363608683861,False,True,0.014436686811386608,0.005256598041341931,0.0067086431486131914,0.016246565751207528,0.00721097913583435,-0.0018098789398209199,-0.0005023359872211586,RAW_FIXED_NO_QUALITY_FALLBACK,2,2,0,,1,1,1,1,0,1,1,0,1,240,0,1,0,0,2400,1,0,0,0,1,1,0,1,1,,
F48,6,"[0.75, 0.5]",2,2,6.4444308281449985,False,False,0.01124394615588244,0.0071621098250034265,0.00786569109084212,0.0025851199711905792,0.008487313965588328,0.00865882618469186,-0.0006216228747462083,RAW_FIXED_NO_QUALITY_FALLBACK,2,2,0,,1,1,1,1,0,1,1,0,1,264,0,1,0,0,2400,1,0,0,0,1,1,0,1,1,,
F48,7,"[0.75, 0.5]",2,2,6.47634221616243,False,False,0.011011189298587852,0.007360375921734885,0.00900777247284168,0.009205962970445397,0.0096858387780685,0.0018052263281424542,-0.000678066305226821,RAW_FIXED_NO_QUALITY_FALLBACK,2,2,0,,1,1,1,1,0,1,1,0,1,288,0,1,0,0,2400,1,0,0,0,1,1,0,1,1,,
F48,8,"[0.75, 0.5]",2,2,6.451298203256378,False,False,0.010532142065785592,0.007049742453318686,0.010101657478571724,0.0021985448451596313,0.010767945578209037,0.00833359722062596,-0.0006662880996373133,RAW_FIXED_NO_QUALITY_FALLBACK,2,2,0,,1,1,1,1,0,1,1,0,1,336,0,1,0,0,2400,1,0,0,0,1,1,0,1,1,,
F48,9,"[0.75, 0.5]",2,2,6.782777076928054,False,False,0.009492318058473757,0.007817097088036462,0.011495061131881812,0.003269011102092918,0.012293620368836855,0.006223306956380839,-0.0007985592369550432,RAW_FIXED_NO_QUALITY_FALLBACK,2,2,0,,1,1,1,1,0,1,1,0,1,312,0,1,0,0,2400,1,0,0,0,1,1,0,1,1,,
F48,10,"[0.75, 0.5]",2,2,6.61302947624142,False,True,0.012439896677678917,0.006329785210141381,0.012498648904056608,0.0307616685226094,0.013174728181184037,-0.01832177184493048,-0.0006760792771274282,RAW_FIXED_NO_QUALITY_FALLBACK,2,2,0,,1,1,1,1,0,1,1,0,1,240,0,1,0,0,2400,1,0,0,0,1,1,0,1,1,,
G48,1,"[1.0, 0.0]",1,1,7.61165279863614,True,True,0.003404614371538628,,0.0017209079930182725,0.003404614371538628,0.0017209079930182725,0.0,0.0,COMPLETE_SIX_POINT_GRID,6,6,0,,5,5,2,1,0,1,2,0,5,864,0,7,1,0,2400,1,0,0,0,5,2,0,2,5,,
