arm,native_targets,native_Adam,native_loss,native_clamp,native_solves,native_keys,online_scores,history_appends,history_keys,native_inclusive_seconds,native_target_seconds,native_solve_seconds,native_key_seconds,online_forward_calls,online_input_tokens,online_scored_tokens,online_backward_calls,teacher_reads,online_scoring_seconds,teacher_read_seconds,pure_writer,state_io,observer_forward_token_work
N4,1000,24000,25000,23995,10,10,10,50,50,2926.3689616722986,2840.708962675184,1.2382068149745464,37.9241283768788,1852,300852,91209,0,640,178.96412772499025,24.663415856659412,NOT_SEPARATED,NOT_SEPARATED,NOT_RECORDED_SEPARATELY
F48,2000,27912,29912,27848,20,20,20,50,50,3524.9559386307374,3338.077186629176,2.4319114666432142,75.33963900990784,3704,601704,182418,0,1280,353.20236654765904,45.37972356006503,NOT_SEPARATED,NOT_SEPARATED,NOT_RECORDED_SEPARATELY
G48,3000,28152,31152,28100,30,30,60,50,50,3712.427648510784,3428.3349464433268,3.6455056024715304,112.85902987979352,11112,1805112,547254,0,3840,1053.4437729492784,131.96929221507162,NOT_SEPARATED,NOT_SEPARATED,NOT_RECORDED_SEPARATELY
C4,1000,24000,25000,23995,10,10,40,50,50,2924.2772127557546,2832.5854735206813,1.2409861702471972,37.682087022811174,7408,1203408,364836,0,2560,666.40611772798,53.02028400730342,NOT_SEPARATED,NOT_SEPARATED,NOT_RECORDED_SEPARATELY
C48,15100,65759,80859,64890,151,151,174,50,50,9940.488539910875,8448.885254646651,18.162480507977307,565.3667080635205,32276,5242687,1587961,0,11136,3172.2186580197886,488.2374820224941,NOT_SEPARATED,NOT_SEPARATED,NOT_RECORDED_SEPARATELY
C45678,33100,45791,78891,45250,331,331,142,50,50,10915.077552329749,7737.177525281906,39.64172846823931,1243.7488584928215,26284,4270060,1294892,0,9088,3393.9684206238016,1223.1856765607372,NOT_SEPARATED,NOT_SEPARATED,NOT_RECORDED_SEPARATELY
