arm,comparison,batch,metric,n,before,after,lost,gained,retained,both_failure,strict_lost,strict_gained,delta_pp,delta_new_nll_mean,delta_new_nll_p00,delta_new_nll_p50,delta_new_nll_p95,delta_new_nll_p99,delta_new_nll_p100,delta_true_nll_mean,delta_true_nll_p00,delta_true_nll_p50,delta_true_nll_p95,delta_true_nll_p99,delta_true_nll_p100,delta_desired_nll_mean,delta_desired_nll_p00,delta_desired_nll_p50,delta_desired_nll_p95,delta_desired_nll_p99,delta_desired_nll_p100,desired_nll_worse_count
N4,ENTRY_TO_ATWRITE,1,RS,100,5,100,0,95,5,0,0,100,95.0,-11.741947663976607,-21.154502960154787,-11.793419017107226,-5.7515792839432835,-4.667549910173392,-2.6645234513271134,10.304421236305497,-1.8365840911865234,10.270754508674145,18.216490345448253,19.85252060659231,22.339219570159912,-11.741947663976607,-21.154502960154787,-11.793419017107226,-5.7515792839432835,-4.667549910173392,-2.6645234513271134,0
N4,ENTRY_TO_ATWRITE,1,PS,200,20,194,0,174,20,6,0,125,87.0,-8.544082775855204,-18.248231887817383,-8.696345213800669,-3.152500417316333,-0.3851287126541193,2.021334409713745,5.142403854662552,-5.309344291687012,4.8459391593933105,13.108900964260085,16.297880311012264,19.35306942462921,-8.544082775855204,-18.248231887817383,-8.696345213800669,-3.152500417316333,-0.3851287126541193,2.021334409713745,2
N4,ENTRY_TO_ATWRITE,1,NS,1000,886,865,24,3,862,111,19,8,-2.1,-0.569141544068465,-14.52303369063884,-0.25516557693481445,0.32981567382812477,0.8172049713134765,1.468414306640625,-0.022698554491624237,-6.3657050132751465,-0.05694982409477234,0.8387987375259395,2.7601346516609175,12.574546247720718,-0.022698554491624237,-6.3657050132751465,-0.05694982409477234,0.8387987375259395,2.7601346516609175,12.574546247720718,411
N4,ENTRY_TO_ATWRITE,2,RS,100,11,100,0,89,11,0,0,100,89.0,-10.959033787241205,-20.642571181815583,-10.925338965433184,-5.732147637067828,-3.7022786370245604,-1.1131531634600833,10.32665839354042,-2.211857318878174,10.485099848359823,18.64441191293299,20.568964473605156,20.796902120113373,-10.959033787241205,-20.642571181815583,-10.925338965433184,-5.732147637067828,-3.7022786370245604,-1.1131531634600833,0
N4,ENTRY_TO_ATWRITE,2,PS,200,28,183,0,155,28,17,0,131,77.5,-8.355064050220536,-18.203555464744568,-8.180475546047091,-2.719101867545398,-0.852413307130338,2.589409351348877,4.910633578915149,-4.367305755615234,4.950198650360107,12.742239975929246,17.560963721796863,18.317970156669617,-8.355064050220536,-18.203555464744568,-8.180475546047091,-2.719101867545398,-0.852413307130338,2.589409351348877,1
N4,ENTRY_TO_ATWRITE,2,NS,1000,881,869,16,4,865,115,8,13,-1.2,-0.3867192283645272,-16.722236417233944,-0.19683837890625,0.4276498317718504,0.9431135129928585,6.630127906799316,-0.0518352830063086,-2.787692070007324,-0.05004143714904785,0.5294482350349426,1.689019489288328,11.066149711608887,-0.0518352830063086,-2.787692070007324,-0.05004143714904785,0.5294482350349426,1.689019489288328,11.066149711608887,405
N4,ENTRY_TO_ATWRITE,3,RS,100,8,100,0,92,8,0,0,99,92.0,-10.303758386650735,-19.903257102356292,-10.100733695056988,-4.328032874152996,-1.7992546945063712,-0.023124399813241325,10.288467420588713,-1.0933809280395508,10.694926977157593,16.533145093917845,19.44802341207862,19.84639374911785,-10.303758386650735,-19.903257102356292,-10.100733695056988,-4.328032874152996,-1.7992546945063712,-0.023124399813241325,0
N4,ENTRY_TO_ATWRITE,3,PS,200,24,190,0,166,24,10,0,124,83.0,-8.402439289965768,-16.944182634353638,-8.193520724773407,-2.4726074099540716,-0.48212404251098706,1.2261962890625,5.2054244243167345,-6.47903835773468,4.631080508232117,13.72615684270858,19.511841662228104,21.197812244296074,-8.402439289965768,-16.944182634353638,-8.193520724773407,-2.4726074099540716,-0.48212404251098706,1.2261962890625,1
N4,ENTRY_TO_ATWRITE,3,NS,1000,880,861,22,3,858,117,5,12,-1.9,-0.526885104894638,-13.454598188400269,-0.23799777030944824,0.30864231586456287,0.7308806228637683,6.895205497741699,-0.04590366540139075,-4.529158592224121,-0.04333341121673584,0.5852850317955016,2.305694055557248,8.553808033466339,-0.04590366540139075,-4.529158592224121,-0.04333341121673584,0.5852850317955016,2.305694055557248,8.553808033466339,393
N4,ENTRY_TO_ATWRITE,4,RS,100,13,100,0,87,13,0,0,99,87.0,-9.8539933959645,-21.35680668381974,-10.085574075870682,-3.3197977539850423,-2.420497680246771,-2.272289877058938,10.411561579192057,-5.650676727294922,10.895735383033752,17.458699274063108,22.440384373664862,23.46278953552246,-9.8539933959645,-21.35680668381974,-10.085574075870682,-3.3197977539850423,-2.420497680246771,-2.272289877058938,0
