entry,batch_raw,batch_effective,arm,action_over_h,actual_harm,constraint_residual,cumulative_anchor_action,e,eprime,first_order_error,gram,h,kkt,linear_harm_after,node,normalized_actual,physical_anchor_scalar,physical_scalar,progress_leakage,s,s_next,step_action,weight_sha,xi,xi_per_h,first_order_error_fp64_reconstructed_from_recorded_scalars,actual_local_envelope_gap,actual_terminal_budget_excess
Early,100,100,BF1,1.1322911239740336e-11,"[0.033857058246414815,0.1851980405546471]","[0.0,1.0408340855860843e-17]",1.1322911239740336e-11,"[0.07867474986977208,0.09524308756456124]","[0.07867474986977208,0.09524308756456124]","[0.0009922806474756962,0.007915767606552104]","[[11981756530.7973,7262446.308314293],[7262446.308314293,574169739.2370702]]",1.0,"{""active"":[true,true],""complementarity"":0.0,""dual"":[1.0804099413511062e-11,2.763522380307222e-10],""dual_gradient"":[0.0,0.0],""tolerance"":0.00020432520155050013}","[0.01294520887072205,0.015867309244770825]",0,"[0.7220102357784924,0.8809708621332946]",5.232281577996896,5.232281577721079,-3.1234339930002325e-21,0.0,1.0,1.1322911239740336e-11,309f484de7c97c7823b719c2dbdbeaea9cf024219e7bbf005e639400ce7ebafa,"[0.01294520887072205,0.015867309244770814]","[0.01294520887072205,0.015867309244770814]","[0.000992278079821926,0.007915764807472733]","[0.000992278079821926,0.007915764807472744]","[0.013937486950543976,0.023783074052243558]"
Early,100,100,BF8,0.0,"[0.0030438737236881622,0.004320677249893107]","[-0.02359772508101518,-0.08659539017059746]",0.0,"[-0.02359772508101518,-0.08659539017059746]","[-0.02359772508101518,-0.08659539017059746]","[0.0,0.0]","[[9094287487.072927,1744743.6254940769],[1744743.6254940769,12571347.304470386]]",0.125,"{""active"":[false,false],""complementarity"":0.0,""dual"":[0.0,0.0],""dual_gradient"":[0.02359772508101518,0.08659539017059746],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[6.706876854711703e-16,2.4611890174411843e-15],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[-0.02359772508101518,-0.08659539017059746]",0,"[0.06491136852247838,0.02055308333953391]",5.232281577996896,0.6540351974221223,0.0,0.0,0.125,0.0,253455e067d9fe794ca987c76640b9c99bbcc46d7ce8485a4616f58e41b42d74,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[-0.02359772508101518,-0.08659539017059746]",
Early,100,100,BF8,0.0,"[0.006677114260377946,0.015465088256341797]","[-0.01624912868451714,-0.0732903187032772]",0.0,"[-0.01624912868451714,-0.0732903187032772]","[-0.01624912868451714,-0.0732903187032772]","[0.0,0.0]","[[10372670864.118748,3673434.6650679335],[3673434.6650679335,45620660.67420387]]",0.125,"{""active"":[false,false],""complementarity"":0.0,""dual"":[0.0,0.0],""dual_gradient"":[0.01624912868451714,0.0732903187032772],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[4.61828013968589e-16,2.0830361422462486e-15],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[-0.01624912868451714,-0.0732903187032772]",1,"[0.1423911317506716,0.0735660706417504]",5.232281577996896,1.308070394238292,0.0,0.125,0.25,0.0,2f6a14da40952f94c4d9b2ea76f6c71687fe88a0c7e596d87de5f6a6e59cfa71,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[-0.01624912868451714,-0.0732903187032772]",
Early,100,100,BF8,0.0,"[0.010525993409215069,0.03289656105152089]","[-0.014090260585003095,-0.05535804345533321]",0.0,"[-0.014090260585003095,-0.05535804345533321]","[-0.014090260585003095,-0.05535804345533321]","[0.0,0.0]","[[10568972427.001257,5627962.662952378],[5627962.662952378,93830062.15389183]]",0.125,"{""active"":[false,false],""complementarity"":0.0,""dual"":[0.0,0.0],""dual_gradient"":[0.014090260585003095,0.05535804345533321],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[4.0046929214563235e-16,1.5733702257231588e-15],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[-0.014090260585003095,-0.05535804345533321]",2,"[0.2244694423206421,0.15648606034915044]",5.232281577996896,1.9621055914132415,0.0,0.25,0.375,0.0,062179c037a9472b1f5860e6bab45408dc4ff6a2f1a98ca255a30ed9671ad0ac,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[-0.014090260585003095,-0.05535804345533321]",
Early,100,100,BF8,0.0,"[0.014603191914010832,0.0577074612721812]","[-0.010643777380865582,-0.02561407501317492]",0.0,"[-0.010643777380865582,-0.02561407501317492]","[-0.010643777380865582,-0.02561407501317492]","[0.0,0.0]","[[10726657888.253027,7043760.750661399],[7043760.750661399,155407723.2828415]]",0.125,"{""active"":[false,false],""complementarity"":0.0,""dual"":[0.0,0.0],""dual_gradient"":[0.010643777380865582,0.02561407501317492],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[3.025143479608682e-16,7.279957973530293e-16],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[-0.010643777380865582,-0.02561407501317492]",3,"[0.3114167202660031,0.27450934014324]",5.232281577996896,2.6161407888187247,0.0,0.375,0.5,0.0,719ea33f7c49f83d9600cd48ef17aaa71f9b3b2f8a154febb62e90ca309e0b01,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[-0.010643777380865582,-0.02561407501317492]",
Early,100,100,BF8,4.606927043987505e-13,"[0.019033472872053273,0.08761992522953749]","[-0.0034568424378557906,0.0]",5.758658804984381e-14,"[-0.003335515662464761,0.0046155695722539525]","[-0.003335515662464761,0.0046155695722539525]","[-2.8357114956509657e-06,1.86575446439333e-05]","[[11190514346.858742,7532253.023737699],[7532253.023737699,221951374.24411932]]",0.125,"{""active"":[false,true],""complementarity"":0.0,""dual"":[0.0,1.4496870658460965e-10],""dual_gradient"":[0.0034568424378557906,0.0],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[9.82493713154267e-17,2.623647544768319e-16],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[-0.0034568424378557906,0.0010404580557154394]",4,"[0.405893569843444,0.4168003119166022]",5.232281577996896,3.270175986415196,-5.062345348824529e-22,0.5,0.625,5.758658804984381e-14,73d5c182c3dd4a9fafa54387f687f4068c3f38c4850a37b18af4a8a4cfadae7d,"[0.0,0.0010404580557154394]","[0.0,0.008323664445723515]","[-2.835711495651101e-06,1.86575446439333e-05]","[-0.0034596781493514417,1.86575446439333e-05]",
Early,100,100,BF8,6.7348873234079635e-12,"[0.02360961499629402,0.11648656302559976]","[7.589415207398531e-19,0.0]",1.3274757995946273e-12,"[0.009462288629224047,0.01925791338127003]","[0.009475421037889543,0.019705856475203218]","[4.340179759785429e-06,0.0003275242087566223]","[[11328502073.553276,7054504.374927333],[7054504.374927333,295884650.1018471]]",0.125,"{""active"":[true,true],""complementarity"":0.0,""dual"":[6.4536145105483156e-12,4.918658403791514e-10],""dual_gradient"":[0.0,0.0],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[5.386153269392675e-16,1.1201482536309423e-15],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[0.0009665704726126399,0.0035301810163771118]",5,"[0.5034809452743506,0.5541163802179977]",5.232281577996896,3.9242111833812947,-2.1043474783349024e-21,0.625,0.75,8.418609154259954e-13,3f1ac9b2ba435f0302a127180b16eef2adc54a26ac88eed791e2bbece3cebf58,"[0.0009665704726126392,0.0035301810163771118]","[0.007732563780901113,0.028241448131016894]","[4.340179759785429e-06,0.0003275242087566223]","[4.3401797597861875e-06,0.0003275242087566223]",
Early,100,100,BF8,3.082000177946615e-11,"[0.02819614097037266,0.14498666375316993]","[8.673617379884035e-19,4.336808689942018e-18]",9.540247272892765e-12,"[0.02976889089219492,0.044762712525505455]","[0.03072862068259766,0.04717162885950023]","[3.967750808026374e-05,0.001912567733104109]","[[11478264019.075031,6132313.982382306],[6132313.982382306,378497776.7589538]]",0.125,"{""active"":[true,true],""complementarity"":7.321904163735128e-29,""dual"":[2.1103951912601603e-11,9.57849308666183e-10],""dual_gradient"":[3.469446951953614e-18,0.0],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[1.7467198564757873e-15,2.681396657607151e-15],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[0.003160780170680607,0.006874601097317079]",6,"[0.6012897589003648,0.6896888637802338]",5.232281577996896,4.578246380922106,-4.0234064994579266e-21,0.75,0.875,3.852500222433269e-12,df9d4c0deefc975fd72c2f549beb56d93644923f12b7a69b90248234954a88e8,"[0.003160780170680606,0.006874601097317075]","[0.02528624136544485,0.0549968087785366]","[3.967750808026374e-05,0.001912567733104109]","[3.967750808026461e-05,0.0019125677331041134]",
Early,100,100,BF8,8.016426509423367e-11,"[0.03294255663458444,0.17357433070316114]","[7.806255641895632e-18,1.0408340855860843e-17]",3.836443407398157e-11,"[0.057395478490404495,0.07601817369768582]","[0.06133496159726279,0.08291800885187178]","[0.0025582158014434975,0.004775937617322562]","[[11917618271.288782,7319675.179563569],[7319675.179563569,435060465.5090945]]",0.125,"{""active"":[true,true],""complementarity"":2.830292443657569e-28,""dual"":[4.078881278273843e-11,1.492958489270395e-09],""dual_gradient"":[6.938893903907228e-18,0.0],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[3.486488912884783e-15,4.7133431082711344e-15],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[0.006109020299288115,0.010715144830953788]",7,"[0.7025082601617131,0.8256778921948289]",5.232281577996896,5.23228157801292,-7.940933880509066e-21,0.875,1.0,1.0020533136779208e-11,94cadcfc86b58015566b5da4dbd9aa8fd334781327d33a35494a2dd690516d37,"[0.006109020299288107,0.010715144830953777]","[0.048872162394304856,0.08572115864763022]","[0.0025582158014434975,0.004775937617322562]","[0.0025582158014435053,0.0047759376173225725]","[-0.005564488666235379,-0.031509895886222106]"
Middle,100,100,BF1,1.0316583035903537e-11,"[0.03384419165709388,0.18279418874416872]","[1.0408340855860843e-17,1.734723475976807e-17]",1.0316583035903537e-11,"[0.07865546293774739,0.09521059864485037]","[0.07865546293774739,0.09521059864485037]","[0.0014381166340234897,0.0027136472985915816]","[[11057753794.434818,2777216.741975143],[2777216.741975143,633905039.8975701]]",1.0,"{""active"":[true,true],""complementarity"":0.0,""dual"":[1.1802866468984828e-11,2.50285145498158e-10],""dual_gradient"":[0.0,0.0],""tolerance"":0.00018856815917902455}","[0.013051319148262575,0.01586570151428042]",0,"[0.7223886031668205,0.8754747352847997]",6.090680093572422,6.090680093540426,4.446922973085077e-21,0.0,1.0,1.0316583035903537e-11,39f75004f5d2db2bf68e460741dc76be44851b792b1eced1333d01d491caf870,"[0.013051319148262564,0.015865701514280402]","[0.013051319148262564,0.015865701514280402]","[0.0014381175788313327,0.0027136459668660046]","[0.0014381175788313431,0.002713645966866022]","[0.014489436727093907,0.018579347481146424]"
