entry,batch_raw,batch_effective,arm,reference,panel,metric,numerator,denominator,rate,strict_new_numerator,strict_true_numerator,ties,new_token_correct,new_token_count,true_token_correct,true_token_count,reference_success,loss,recovery,reference_failure,new_nll_lower,new_nll_equal,new_nll_higher,delta_pp,paired_ci_low,paired_ci_high,paired_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_max,paired_new_nll_delta_mean,paired_new_nll_delta_median,paired_new_nll_delta_p90,paired_new_nll_delta_max,paired_true_nll_delta_mean,paired_true_nll_delta_median,paired_true_nll_delta_p90,paired_true_nll_delta_max,paired_margin_delta_mean,paired_margin_delta_median,paired_margin_delta_p90,paired_margin_delta_max,margin_mean,margin_median,margin_p90,margin_max
Early,100,100,W0,N,Current100,RS,10,100,10.0,0,24,0,0,101,27,103,100,90,0,0,0,0,100,-90.0,-95.0,-84.0,100,10.954056465625763,11.173062324523926,15.084982013702396,22.305124282836914,4.872373762074858,4.284566402435303,10.396711444854741,16.08781623840332,10.95250776211491,11.17115562496474,15.083316885342358,22.30482332466636,-9.686871833857149,-10.184189796447754,-2.9895641803741424,6.91302490234375,-20.63937959597206,-20.23361797776306,-13.376361512161376,-7.227140343864448,-6.081682703550905,-5.787683844566345,0.02331266403198528,3.6313538551330566
Early,100,100,W0,N,Current100,PS,22,200,11.0,0,50,0,0,202,56,206,195,174,1,5,2,0,198,-86.5,-92.0,-80.0,100,9.887660593390464,9.942129135131836,13.412011909484862,17.81965446472168,4.715172799034044,4.300474643707275,10.039195156097412,14.000256538391113,8.26046835475514,8.204050478059798,13.041772031784058,17.788471134379506,-5.636253660516814,-5.565409898757935,-0.22116861343383856,7.729304313659668,-13.896722015271953,-13.49140639230609,-6.093352026492358,3.951361656188965,-5.172487794356421,-4.600456118583679,0.19130105972290018,5.9833807945251465
Early,100,100,W0,N,Current100,NS,900,1000,90.0,9,230,0,9,1010,260,1030,813,21,108,187,258,0,742,8.700000000000003,5.5,12.299999999999999,100,10.790035949859767,10.52429485321045,15.878272247314454,22.766633987426758,5.0716207626602845,4.6044323444366455,10.726598072052003,17.215763092041016,1.8741385675909696,1.1199464797973633,6.355196332931519,20.09907364845276,-0.13912203177891205,0.04644337296485901,2.173699855804444,8.779090613126755,-2.0132605993698816,-1.0358186960220337,1.3760804295539861,14.195003509521484,-5.718415187199484,-5.5702327489852905,-0.0320347785949698,9.542202949523926
Early,100,100,W0,N,Fixed100,RS,5,100,5.0,0,21,0,0,101,24,103,100,95,0,0,0,0,100,-95.0,-99.0,-90.0,100,11.743397884368896,11.794819831848145,16.157978439331057,21.156511306762695,4.899287044950761,4.411773681640625,9.811371326446537,15.272212982177734,11.68736853540242,11.791637847723905,16.149309560318944,21.15561632643221,-9.159891359857284,-9.367835998535156,-2.4242658615112296,5.976011276245117,-20.847259895259704,-20.849546892917715,-13.893669647735077,-6.822227478027344,-6.844110839418136,-6.767681121826172,-1.4714265823364252,4.406460762023926
Early,100,100,W0,N,Fixed100,PS,20,200,10.0,0,43,0,0,202,48,206,194,174,0,6,1,0,199,-87.0,-92.5,-80.98750000000008,100,10.184147419929504,10.168673992156982,14.7067400932312,18.510709762573242,5.011512755323201,4.745976209640503,9.873642063140867,18.126428604125977,8.75168177668951,8.76385751646012,12.784559208154677,17.881487637758255,-4.892116983663291,-4.728043794631958,0.6923045158386223,4.831975936889648,-13.643798760352801,-13.16954554617405,-6.768268889188768,-0.960625171661377,-5.172634664606303,-5.062041997909546,-0.023100805282598072,8.013894319534302
Early,100,100,W0,N,Fixed100,NS,886,1000,88.6,0,171,0,2,1010,200,1030,818,17,85,182,209,0,791,6.799999999999997,3.5000000000000004,10.1,100,11.702866084575653,11.75324296951294,16.330898666381835,23.890676498413086,5.548876629311417,5.327506065368652,10.792420864105225,19.437652587890625,1.9620567472744732,1.3041267395019531,5.572111558914185,15.70338749885559,-0.10425871973490575,0.11797571182250977,2.223719835281373,7.833962440490723,-2.066315467009379,-1.014013409614563,1.1448126673698427,7.45231819152832,-6.153989455264236,-6.283672571182251,0.4239204406738283,7.564950704574585
Early,100,100,W0,N,Past100,RS,9,100,9.0,0,21,0,2,103,22,101,100,91,0,0,0,0,100,-91.0,-96.0,-85.0,100,11.18613894701004,10.85815954208374,15.481520748138427,20.289236068725586,4.842690099687024,4.590666055679321,10.067614555358888,15.174306869506836,11.183805324180721,10.8572588445968,15.481152779530385,20.288496529392432,-9.79878407576616,-10.513896942138672,-4.150705194473262,4.0553083419799805,-20.98258939994688,-20.957958262530155,-15.171914707904211,-9.166458003805019,-6.343448847323016,-6.7316060066223145,-0.5028900146484329,4.143795967102051
Early,100,100,W0,N,Past100,PS,20,200,10.0,1,42,0,7,206,44,202,198,178,0,2,1,0,199,-89.0,-94.0,-83.0,100,10.03966965854168,10.453014373779297,13.319989490509034,16.53173065185547,5.0413190257037055,4.445720195770264,10.783466053009032,16.430469512939453,8.37229699737236,8.465413336642087,12.610757159278728,15.575008064508438,-5.2509679884230716,-5.443280104547739,0.5566835403442378,8.293742656707764,-13.623264985795432,-12.73243196401745,-6.1927164673805235,2.752299666404724,-4.998350632837973,-4.931807994842529,-0.04924793243408265,5.98350191116333
Early,100,100,W0,N,Past100,NS,885,1000,88.5,3,193,0,31,1030,203,1010,792,21,114,208,219,0,781,9.299999999999997,6.200000000000001,13.100000000000001,100,11.025999406546354,11.058510780334473,15.443328666687012,24.468547821044922,5.324927805387997,4.632241725921631,11.057780551910401,19.25225067138672,2.0342662707017736,1.3466248512268066,6.075120401382447,14.148825734853745,-0.07777833828207804,0.08433541655540466,2.214257860183717,13.37027639959706,-2.1120446089838514,-1.1209938526153564,1.11569881439209,17.056072183593642,-5.7010716011583575,-5.754847288131714,0.30118265151977547,9.116420269012451
Early,100,100,W0,OS,Current100,RS,10,100,10.0,0,24,0,0,101,27,103,100,90,0,0,0,0,100,-90.0,-95.0,-84.0,100,10.954056465625763,11.173062324523926,15.084982013702396,22.305124282836914,4.872373762074858,4.284566402435303,10.396711444854741,16.08781623840332,10.952592979644033,11.17152073449688,15.083196008950475,22.304757066449383,-9.712396726664156,-10.158402442932129,-3.0730012893676752,6.984308242797852,-20.664989706308187,-20.09395984558796,-13.328161370121228,-7.645277039380744,-6.081682703550905,-5.787683844566345,0.02331266403198528,3.6313538551330566
Early,100,100,W0,OS,Current100,PS,22,200,11.0,0,50,0,0,202,56,206,196,174,0,4,2,0,198,-87.0,-92.5,-81.48750000000007,100,9.887660593390464,9.942129135131836,13.412011909484862,17.81965446472168,4.715172799034044,4.300474643707275,10.039195156097412,14.000256538391113,8.318786342862877,8.251962565351278,13.037235549092292,17.794772669672966,-5.591586005287245,-5.4436997175216675,-0.17601518630981455,7.874390125274658,-13.910372348150123,-13.540755333844572,-6.260215328633786,1.6609125137329102,-5.172487794356421,-4.600456118583679,0.19130105972290018,5.9833807945251465
Early,100,100,W0,OS,Current100,NS,900,1000,90.0,9,230,0,9,1010,260,1030,784,22,138,216,243,0,757,11.599999999999994,7.700000000000001,15.899999999999997,100,10.790035949859767,10.52429485321045,15.878272247314454,22.766633987426758,5.0716207626602845,4.6044323444366455,10.726598072052003,17.215763092041016,2.0709838157944613,1.2867169380187988,6.664833974838258,21.493843913078308,-0.2188479020196246,0.03163325786590576,2.3911912858486177,8.821428298950195,-2.289831717814086,-1.2202736735343933,1.4487915039062502,14.27059555053711,-5.718415187199484,-5.5702327489852905,-0.0320347785949698,9.542202949523926
Early,100,100,W0,OS,Fixed100,RS,5,100,5.0,0,21,0,0,101,24,103,100,95,0,0,0,0,100,-95.0,-99.0,-90.0,100,11.743397884368896,11.794819831848145,16.157978439331057,21.156511306762695,4.899287044950761,4.411773681640625,9.811371326446537,15.272212982177734,11.684308632470493,11.791874847840518,16.14938290299033,21.155777604377363,-9.11611970668193,-9.323047876358032,-2.498557233810423,5.663206577301025,-20.800428339152422,-20.751686567789875,-13.96511072341818,-7.11497688293457,-6.844110839418136,-6.767681121826172,-1.4714265823364252,4.406460762023926
