entry,batch_raw,batch_effective,category,component,value
Early,100,100,counts,evaluation_candidate_sequences,24600
Early,100,100,counts,evaluation_materialization,6
Early,100,100,counts,evaluation_model_forwards,3086
Early,100,100,counts,evaluation_pairs_reused,11700
Early,100,100,counts,evaluation_restore,6
Early,100,100,counts,full_projector_exact_reuse,1
Early,100,100,counts,functional_backward,1728
Early,100,100,counts,functional_input_tokens,144676
Early,100,100,counts,functional_model_forward,6145
Early,100,100,counts,functional_sequences,12289
Early,100,100,counts,generation_output_tokens,5760
Early,100,100,counts,generation_sequences,180
Early,100,100,counts,native_b100_endpoint_reused,1
Early,100,100,counts,native_representation_physical_batches,862
Early,100,100,counts,native_targets_reused,100
Early,100,100,counts,terminal_active_ledger_finalize,3
Early,100,100,counts,terminal_history_append,3
Early,100,100,seconds,current_intermediate_evaluation,28.94554409570992
Early,100,100,seconds,full_endpoint_evaluation,433.7131331078708
Early,100,100,seconds,full_space_factor_static_inverse,10.13124493137002
Early,100,100,seconds,functional_gradient,408.3689191881567
Early,100,100,seconds,functional_harm,264.39749475196004
Early,100,100,seconds,generation,272.0072895567864
Early,100,100,seconds,model_load,12.614050038158894
Early,100,100,seconds,native_representation_capture,51.19114141911268
Early,100,100,seconds,saved_metric_bind_progress,1.7981853485107422
Early,100,100,seconds,teacher_and_key_capture,24.24020011536777
Early,100,100,seconds,terminal_history_finalize,0.9393088109791279
Middle,100,100,counts,evaluation_candidate_sequences,33600
Middle,100,100,counts,evaluation_materialization,9
Middle,100,100,counts,evaluation_model_forwards,4216
Middle,100,100,counts,evaluation_pairs_reused,11700
Middle,100,100,counts,evaluation_restore,9
Middle,100,100,counts,functional_backward,1728
Middle,100,100,counts,functional_input_tokens,224012
Middle,100,100,counts,functional_model_forward,9601
Middle,100,100,counts,functional_sequences,19201
Middle,100,100,counts,generation_output_tokens,7680
Middle,100,100,counts,generation_sequences,240
Middle,100,100,counts,native_b100_endpoint_reused,1
Middle,100,100,counts,native_representation_physical_batches,862
Middle,100,100,counts,native_targets_reused,100
Middle,100,100,counts,terminal_active_ledger_finalize,4
Middle,100,100,counts,terminal_history_append,4
Middle,100,100,seconds,current_intermediate_evaluation,58.12393305450678
Middle,100,100,seconds,full_endpoint_evaluation,588.144425496459
Middle,100,100,seconds,full_projector_eigen,27.430458534508944
Middle,100,100,seconds,full_space_factor_static_inverse,10.087533108890057
Middle,100,100,seconds,functional_gradient,549.7454078178853
Middle,100,100,seconds,functional_harm,491.8074662014842
Middle,100,100,seconds,generation,362.1321878917515
Middle,100,100,seconds,model_load,10.073205932974815
Middle,100,100,seconds,native_representation_capture,51.35591159760952
Middle,100,100,seconds,saved_metric_bind_progress,1.8107711598277092
Middle,100,100,seconds,teacher_and_key_capture,24.075636951252818
Middle,100,100,seconds,terminal_history_finalize,1.1700415648519993
Late,100,100,counts,evaluation_candidate_sequences,24600
Late,100,100,counts,evaluation_materialization,6
Late,100,100,counts,evaluation_model_forwards,3086
Late,100,100,counts,evaluation_pairs_reused,11700
Late,100,100,counts,evaluation_restore,6
Late,100,100,counts,full_projector_exact_reuse,1
Late,100,100,counts,functional_backward,1728
Late,100,100,counts,functional_input_tokens,142354
Late,100,100,counts,functional_model_forward,6145
Late,100,100,counts,functional_sequences,12289
Late,100,100,counts,generation_output_tokens,5760
Late,100,100,counts,generation_sequences,180
Late,100,100,counts,native_b100_endpoint_reused,1
Late,100,100,counts,native_representation_physical_batches,862
Late,100,100,counts,native_targets_reused,100
Late,100,100,counts,terminal_active_ledger_finalize,3
Late,100,100,counts,terminal_history_append,3
Late,100,100,seconds,current_intermediate_evaluation,30.10426207073033
Late,100,100,seconds,full_endpoint_evaluation,444.4805678743869
Late,100,100,seconds,full_space_factor_static_inverse,10.113591350615025
Late,100,100,seconds,functional_gradient,395.63958288915455
Late,100,100,seconds,functional_harm,260.4266762509942
Late,100,100,seconds,generation,271.4838945996016
Late,100,100,seconds,model_load,9.77387948334217
Late,100,100,seconds,native_representation_capture,51.7759291511029
Late,100,100,seconds,saved_metric_bind_progress,1.7453532982617617
Late,100,100,seconds,teacher_and_key_capture,24.044237917289138
Late,100,100,seconds,terminal_history_finalize,0.9163188859820366
Middle,1,1,counts,evaluation_candidate_sequences,26130
Middle,1,1,counts,evaluation_materialization,6
Middle,1,1,counts,evaluation_model_forwards,3300
Middle,1,1,counts,evaluation_restore,6
Middle,1,1,counts,full_projector_exact_reuse,1
Middle,1,1,counts,functional_backward,192
Middle,1,1,counts,functional_input_tokens,57330
Middle,1,1,counts,functional_model_forward,2689
Middle,1,1,counts,functional_sequences,5377
Middle,1,1,counts,generation_output_tokens,288
Middle,1,1,counts,generation_sequences,9
Middle,1,1,counts,native_proposal_build,1
Middle,1,1,counts,native_representation_physical_batches,523
Middle,1,1,counts,native_temporary_restore,1
Middle,1,1,counts,native_z_cache_hits,1
Middle,1,1,counts,terminal_active_ledger_finalize,3
Middle,1,1,counts,terminal_history_append,3
