entry,batch_raw,batch_effective,channel,anchor_action_aA,sigma,epsilon,q_ref,terminal_budget,stationary,fixed_across_BF1_BF8_Frozen
Early,100,100,Past,8.776642013452639,0.04689276767649859,1198175653.0797398,11981756530.797298,0.7080727488279485,False,True
Early,100,100,Base,8.776642013452639,0.21022039265428719,57416973.923717014,574169739.2370701,0.857187788081051,False,True
Middle,100,100,Past,9.338958467806538,0.04685039535331412,1105775379.4434917,11057753794.434818,0.7078991664397266,False,True
Middle,100,100,Base,9.338958467806538,0.20879436193518955,63390503.989767015,633905039.8975701,0.8568953878036533,False,True
Late,100,100,Past,9.123030051461601,0.04783633365900139,1051429433.4346716,10514294334.346617,0.7118584909923074,False,True
Late,100,100,Base,9.123030051461601,0.12058300564611327,79373164.73503584,793731647.3502584,0.8253626167984801,False,True
Middle,1,1,Past,7.282352705109311,0.01217708092133821,11046981199.927534,110469811999.27522,0.16090661151564908,False,True
Middle,1,1,Base,7.282352705109311,0.012014058662063919,483994866.9711612,4839948669.711512,0.1508776381774489,False,True
Middle,7,7,Past,7.476817753715556,0.027337810765668207,4097262746.7535915,40972627467.53581,0.5707856354283307,False,True
Middle,7,7,Base,7.476817753715556,0.036030338575704784,329688413.2214917,3296884132.2148166,0.6502105071510849,False,True
