entry,batch_raw,batch_effective,arm,node,gradient_native_metric_cosine,gram_spectrum,gram_condition,q,dual,active,xi,xi_per_h
Early,100,100,BF1,0,0.0027688698316249674,"[574165115.7258956,11981761154.308475]",20.868145462234118,"[[11981756530.7973,7262446.308314293],[7262446.308314293,574169739.2370702]]","[1.0804099413511062e-11,2.763522380307222e-10]","[true,true]","[0.01294520887072205,0.015867309244770814]","[0.01294520887072205,0.015867309244770814]"
Early,100,100,BF8,0,0.005160079211828828,"[12571012.111191994,9094287822.266205]",723.4332241371038,"[[9094287487.072927,1744743.6254940769],[1744743.6254940769,12571347.304470386]]","[0.0,0.0]","[false,false]","[0.0,0.0]","[0.0,0.0]"
Early,100,100,BF8,1,0.0053400612212492265,"[45619353.99705354,10372672170.795898]",227.3743764864765,"[[10372670864.118748,3673434.6650679335],[3673434.6650679335,45620660.67420387]]","[0.0,0.0]","[false,false]","[0.0,0.0]","[0.0,0.0]"
Early,100,100,BF8,2,0.00565150118666726,"[93827038.42843881,10568975450.72671]",112.64317437438451,"[[10568972427.001257,5627962.662952378],[5627962.662952378,93830062.15389183]]","[0.0,0.0]","[false,false]","[0.0,0.0]","[0.0,0.0]"
Early,100,100,BF8,3,0.005455519122402869,"[155403029.93600824,10726662581.599861]",69.02479691687401,"[[10726657888.253027,7043760.750661399],[7043760.750661399,155407723.2828415]]","[0.0,0.0]","[false,false]","[0.0,0.0]","[0.0,0.0]"
Early,100,100,BF8,4,0.0047793733441078,"[221946201.75169706,11190519519.351164]",50.41996407701804,"[[11190514346.858742,7532253.023737699],[7532253.023737699,221951374.24411932]]","[0.0,1.4496870658460965e-10]","[false,true]","[0.0,0.0010404580557154394]","[0.0,0.008323664445723515]"
Early,100,100,BF8,5,0.0038531777621652885,"[295880139.2945094,11328506584.360613]",38.287485639867796,"[[11328502073.553276,7054504.374927333],[7054504.374927333,295884650.1018471]]","[6.4536145105483156e-12,4.918658403791514e-10]","[true,true]","[0.0009665704726126392,0.0035301810163771118]","[0.007732563780901113,0.028241448131016894]"
Early,100,100,BF8,6,0.0029420809078733175,"[378494388.82604784,11478267407.007938]",30.32612304401488,"[[11478264019.075031,6132313.982382306],[6132313.982382306,378497776.7589538]]","[2.1103951912601603e-11,9.57849308666183e-10]","[true,true]","[0.003160780170680606,0.006874601097317075]","[0.02528624136544485,0.0549968087785366]"
Early,100,100,BF8,7,0.0032145653839017103,"[435055799.5083768,11917622937.2895]",27.39332046775768,"[[11917618271.288782,7319675.179563569],[7319675.179563569,435060465.5090945]]","[4.078881278273843e-11,1.492958489270395e-09]","[true,true]","[0.006109020299288107,0.010715144830953777]","[0.048872162394304856,0.08572115864763022]"
Middle,100,100,BF1,0,0.0010489727693744405,"[633904299.966239,11057754534.36615]",17.443886301063227,"[[11057753794.434818,2777216.741975143],[2777216.741975143,633905039.8975701]]","[1.1802866468984828e-11,2.50285145498158e-10]","[true,true]","[0.013051319148262564,0.015865701514280402]","[0.013051319148262564,0.015865701514280402]"
