entry,batch_raw,arm,physical_from_entry_sq,physical_from_W0_sq,native_history_action,global_C0_action,entry_C0_action,L2_action,physical_outside_P_sq,Current_mapping_action,Response_mapping_action,Past_mapping_action,Base_mapping_action,response_deviation_from_native_sq,current_linear_residual_sq,J_pres
Early,100,ENTRY,0.0,652.7556031086644,0.0,0.488775281070647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.423124329027346,6.263457335594709,5.343290832311028
Early,100,N,76.92609583439038,729.7675445233006,5.713309508481654,0.5382977743992373,0.04764481703407302,76.92609583439038,2.951384007754644e-10,4.405888277695661,4.423124329027346,0.0515756170233448,0.05307818896688375,0.0,0.20478245767372158,0.1548055975588818
Early,100,OS,68.17602205028258,722.8669432956999,156.39582775345778,0.5473329342766897,0.049790205292682306,68.17602205028258,2.951376290208523e-10,4.379626969516947,4.396860006746456,2.7332901596008813e-09,8.418883862809437e-10,0.008753218083717207,0.17852114911786388,0.09371470219540813
Early,100,BF1,68.1760666693556,722.8661233142583,156.37677387075013,0.5473279767129048,0.04978920607102307,68.1760666693556,2.951384436677392e-10,4.379626969085796,4.3968600061562375,2.7332594520722036e-09,8.418850064449466e-10,0.008753218051993833,0.1785211492383462,0.09371470229050288
Early,100,BF8,68.17617185927087,722.865150550637,156.35883079787126,0.5473228359669472,0.04978826358599319,68.17617185927087,2.9511654444450533e-10,4.3796269695787835,4.396860006489917,2.733225421098825e-09,8.418892047529137e-10,0.008753218044768583,0.17852114914765288,0.09371470236113065
Middle,100,ENTRY,0.0,4415.940648131962,0.0,2.5285028025659804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7434492749392225,7.997910230963439,6.370679752951331
Middle,100,N,115.43389158608863,4530.710202738952,21.2262815340287,2.5848016116897226,0.05557030882494438,115.43389158608863,3.946601637078891e-09,4.724079062312858,4.7434492749392225,0.0667964183721589,0.0712673851257298,0.0,0.5406291073958523,0.339479513115834
Middle,100,OS,72.9102113415544,4490.219994686931,785.9999711280568,2.5902003971721848,0.05168140932524965,72.9102113415544,3.946563636685183e-09,4.659714964169268,4.679075417313348,2.2214269483440503e-09,6.630211355997904e-10,0.021454456818041832,0.4762650079878636,0.24894377556491296
Middle,100,BF1,72.91025431975592,4490.219813765853,785.9373712186375,2.5901971909911774,0.05168066105002488,72.91025431975592,3.946510656782538e-09,4.659714964281749,4.679075417421507,2.2214233680822697e-09,6.630231571316047e-10,0.021454456654111335,0.47626500816433565,0.24894377562072284
Middle,100,BF8,72.91031075311136,4490.2196695798375,785.8997971909816,2.5901954171023034,0.05168027670065899,72.91031075311136,3.946459405043683e-09,4.659714964890886,4.679075418044994,2.2214200018954136e-09,6.630245328360869e-10,0.02145445655298466,0.47626500810414646,0.2489437756051132
Middle,100,Frozen-BF8,72.91029548290221,4490.219738408687,785.9123157249824,2.5901958937345744,0.051680376521294445,72.91029548290221,3.946511341885186e-09,4.6597149649612,4.679075418107017,2.2214196710044574e-09,6.630219754579653e-10,0.021454456583941236,0.4762650080423145,0.24894377557207248
Late,100,ENTRY,0.0,9489.0934020849,0.0,4.8565200146723315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.638005089330897,9.050571736485473,6.844288412908185
Late,100,N,131.4836386886684,9619.46927913423,46.16835157333093,4.913066557293429,0.05733113664793248,131.4836386886684,9.89967813836494e-09,4.628470360107179,4.638005089330897,0.07357911943320414,0.0764268792399673,0.0,0.8690634456267818,0.5096860502590376
Late,100,OS,69.63796867896725,9559.399898005347,1233.4657750908345,4.912380528640714,0.047356085794509034,69.63796867896725,9.899690048793432e-09,4.556672655953415,4.566197096285988,2.068480883429044e-09,6.754008181062436e-10,0.023932616760603653,0.7972657422056681,0.4106793290942351
Late,100,BF1,69.63800030312396,9559.400419943342,1233.3914870397357,4.9123781857812245,0.04735550301927761,69.63800030312396,9.89974599423321e-09,4.556672655693277,4.566197096009342,2.0684858859857457e-09,6.753979342481515e-10,0.02393261671899389,0.7972657423694326,0.4106793291917107
Late,100,BF8,69.63806693933873,9559.400841591481,1233.327284060549,4.912376310088651,0.047354999471419607,69.63806693933873,9.899733842458716e-09,4.556672655667274,4.566197095975131,2.0684726990434513e-09,6.754050146490877e-10,0.023932616660087353,0.7972657424613147,0.4106793292848888
Middle,1,ENTRY,0.0,4415.940648131962,0.0,2.5285028025659804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6414614871170787,5.558161568792195,4.599811527954637
Middle,1,N,0.7845957649807607,4416.713728644617,0.07303210542122829,2.528873685686013,0.0003411337741886798,0.7845957649807607,1.1252001704159024e-11,3.6408899863638635,3.6414614871170787,0.0003148081910932226,0.00035936942370688843,0.0,0.20201764427010804,0.10134678823802584
Middle,1,OS,0.5451962647132358,4416.494671798879,14.339075630542144,2.529150562422484,0.00044264707453441917,0.5451962647132358,1.1256682387457646e-11,3.640889991439833,3.641461494432837,1.1361696814609689e-11,3.127231918139213e-12,9.397651694359663e-14,0.2020176430744415,0.10100943115558852
Middle,1,BF1,0.5451964030726412,4416.49464867963,14.335946764379644,2.529150327681449,0.00044261520766237746,0.5451964030726412,1.1261712616954109e-11,3.6408899953326395,3.6414614983250075,1.1365662419368724e-11,3.131435634123376e-12,9.76621181580955e-14,0.2020176421574793,0.10100943069726807
Middle,7,ENTRY,0.0,4415.940648131962,0.0,2.5285028025659804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.941023629467818,9.819930347296657,6.880476988382237
Middle,7,N,8.300945500647568,4423.888688471565,6.247466338582293,2.532746864763592,0.004186363959340716,8.300945500647568,1.9649971052539007e-10,3.919849813565861,3.941023629467818,0.005196516803328321,0.005316926957974049,0.0,1.7433932979121711,0.876962589622454
Middle,7,OS,4.484733261352818,4420.586613470979,130.25815742256722,2.534930589315933,0.004681771801303537,4.484733261352818,1.9650067738015333e-10,3.7278171863626715,3.7489906059356763,1.4890305770699533e-10,4.2820155112454486e-11,0.06401096067984911,1.5513606734018808,0.8076907977494691
Middle,7,BF1,4.484737232186391,4420.586719950312,130.2380572145736,2.5349301566429747,0.004681567885383547,4.484737232186391,1.964966988970909e-10,3.7278171859946054,3.7489906055934794,1.4890321168176117e-10,4.2821343400161385e-11,0.06401096064260617,1.5513606736972438,0.8076907978829396
