entry,batch_raw,batch_effective,arm,bank,controller_value,raw_value,negative_kl_tokens,per_context_raw_mean,per_context_raw_median,per_context_raw_p90,per_context_raw_max,per_context_harm_mean,per_context_harm_median,per_context_harm_p90,per_context_harm_max,metric,numerator,denominator,NS_true_nll_mean,NS_true_nll_median,NS_true_nll_p90,NS_true_nll_max,NS_new_nll_mean,NS_new_nll_median,NS_new_nll_p90,NS_new_nll_max,rewrite_target_true_nll_mean,rewrite_target_true_nll_median,rewrite_target_true_nll_p90,rewrite_target_true_nll_max
Early,100,100,W0,Base,1.4024459364205488,1.4024459364205488,0,1.4024459364205488,0.3820597827233241,4.617347204332178,12.208812815638481,1.4024459364205488,0.3820597827233241,4.617347204332178,12.208812815638481,,,,,,,,,,,,,,,
Early,100,100,W0,BaseAudit,1.105968914790213,1.1059689147902125,0,1.1059689147902128,0.35364089312840497,2.745625978857723,12.599565343005398,1.1059689147902128,0.35364089312840497,2.745625978857723,12.599565343005398,,,,,,,,,,,,,,,
Early,100,100,W0,BaseAuditW0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Early,100,100,W0,BaseW0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Early,100,100,W0,Past,9.217834295199047,9.220268051192903,0,9.220268051192903,9.00220305492985,14.377371898037381,19.64246150047984,9.217834295199062,8.99720305492985,14.37237189803738,19.63746150047984,,,,,,,,,,,,,,,
Early,100,100,ENTRY,Base,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Early,100,100,ENTRY,BaseAudit,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Early,100,100,ENTRY,BaseAuditW0,0.6906967601792089,0.6906967601792094,0,0.690696760179209,0.29324586180424805,1.8910004938714071,6.900585352900412,0.690696760179209,0.29324586180424805,1.8910004938714071,6.900585352900412,,,,,,,,,,,,,,,
Early,100,100,ENTRY,BaseW0,0.9577089182958085,0.9577089182958086,0,0.9577089182958083,0.330531007948658,2.91744924076918,8.101345609209268,0.9577089182958083,0.330531007948658,2.91744924076918,8.101345609209268,,,,,,,,,,,,,,,
Early,100,100,ENTRY,Past,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Early,100,100,N,Base,0.11814719770178965,0.11814719770178964,0,0.11814719770178964,0.018329605218882224,0.17254304649855334,6.637645255581331,0.11814719770178964,0.018329605218882224,0.17254304649855334,6.637645255581331,,,,,,,,,,,,,,,
Early,100,100,N,BaseAudit,0.04101710213929429,0.0410171021392943,0,0.0410171021392943,0.011564422505777891,0.07005305325073022,1.1967506509472605,0.0410171021392943,0.011564422505777891,0.07005305325073022,1.1967506509472605,,,,,,,,,,,,,,,
Early,100,100,N,BaseAuditW0,0.7709010234375148,0.7709010234375145,0,0.7709010234375145,0.3247545185417255,2.023664095747804,7.307463183897584,0.7709010234375145,0.3247545185417255,2.023664095747804,7.307463183897584,,,,,,,,,,,,,,,
Early,100,100,N,BaseW0,1.120789350447371,1.1207893504473707,0,1.120789350447371,0.39445818875108374,3.342763771622614,8.101477993802948,1.120789350447371,0.39445818875108374,3.342763771622614,8.101477993802948,,,,,,,,,,,,,,,
Early,100,100,N,Past,0.030312198014660004,0.005383087274168474,0,0.005383087274168474,9.177230822388083e-06,0.040779586881399155,1.0715961456298828,0.03031219801466,4.52444401819095e-09,0.03577958688139916,1.066596145629883,,,,,,,,,,,,,,,
Early,100,100,OS,Base,0.20022039265428718,0.20022039265428715,0,0.20022039265428712,0.04957955675381402,0.4339957469951688,6.605114488052094,0.20022039265428712,0.04957955675381402,0.4339957469951688,6.605114488052094,,,,,,,,,,,,,,,
Early,100,100,OS,BaseAudit,0.10429075847252131,0.10429075847252131,0,0.10429075847252131,0.029904980973224853,0.2775595706844211,1.746295030298097,0.10429075847252131,0.029904980973224853,0.2775595706844211,1.746295030298097,,,,,,,,,,,,,,,
Early,100,100,OS,BaseAuditW0,0.906155958174966,0.9061559581749662,0,0.9061559581749661,0.44432180376973807,2.24363199897713,7.7163083392165035,0.9061559581749661,0.44432180376973807,2.24363199897713,7.7163083392165035,,,,,,,,,,,,,,,
Early,100,100,OS,BaseW0,1.2498382716087748,1.2498382716087741,0,1.2498382716087744,0.44665077453009866,3.5088205295230757,8.879127077998307,1.2498382716087744,0.44665077453009866,3.5088205295230757,8.879127077998307,,,,,,,,,,,,,,,
Early,100,100,OS,Past,0.036892767676498586,-0.03367545044116582,0,-0.03367545044116582,-0.00015779775276314467,0.049997396767139435,0.9534580707550049,0.036892767676498586,0.0,0.04499739676713944,0.9484580707550049,,,,,,,,,,,,,,,
Early,100,100,BF1,Base,0.1851980405546471,0.18519804055464725,0,0.1851980405546471,0.04816251937035712,0.35670261348705706,6.396217821279022,0.1851980405546471,0.04816251937035712,0.35670261348705706,6.396217821279022,,,,,,,,,,,,,,,
Early,100,100,BF1,BaseAudit,0.10403693804120612,0.10403693804120617,0,0.1040369380412061,0.02977884477568187,0.27699313122723823,1.7446979739810677,0.1040369380412061,0.02977884477568187,0.27699313122723823,1.7446979739810677,,,,,,,,,,,,,,,
Early,100,100,BF1,BaseAuditW0,0.9052775480420359,0.905277548042036,0,0.9052775480420359,0.44407759862771645,2.2399523087340962,7.713537450632553,0.9052775480420359,0.44407759862771645,2.2399523087340962,7.713537450632553,,,,,,,,,,,,,,,
Early,100,100,BF1,BaseW0,1.2375988089539534,1.2375988089539534,0,1.2375988089539536,0.44307990481837034,3.520952979620465,8.879645129448932,1.2375988089539536,0.44307990481837034,3.520952979620465,8.879645129448932,,,,,,,,,,,,,,,
Early,100,100,BF1,Past,0.033857058246414815,-0.03657397141603269,0,-0.03657397141603269,-0.00016133941244333982,0.03508751839399338,0.8843307495117188,0.03385705824641481,0.0,0.03008751839399338,0.8793307495117187,,,,,,,,,,,,,,,
Early,100,100,BF8,Base,0.17357433070316114,0.17357433070316125,0,0.17357433070316122,0.045471102221140224,0.32685015491737124,6.125567788931078,0.17357433070316122,0.045471102221140224,0.32685015491737124,6.125567788931078,,,,,,,,,,,,,,,
Early,100,100,BF8,BaseAudit,0.10378405004457815,0.10378405004457814,0,0.10378405004457816,0.029681949200327226,0.27647770590335546,1.7433701676426892,0.10378405004457816,0.029681949200327226,0.27647770590335546,1.7433701676426892,,,,,,,,,,,,,,,
Early,100,100,BF8,BaseAuditW0,0.9044102530589136,0.9044102530589139,0,0.904410253058914,0.44388448323280505,2.2360092921024655,7.713452759491151,0.904410253058914,0.44388448323280505,2.2360092921024655,7.713452759491151,,,,,,,,,,,,,,,
Early,100,100,BF8,BaseW0,1.2237904255804852,1.2237904255804852,0,1.2237904255804855,0.4408660948156024,3.5124215185119714,8.879692681284803,1.2237904255804855,0.4408660948156024,3.5124215185119714,8.879692681284803,,,,,,,,,,,,,,,
Early,100,100,BF8,Past,0.03294255663458444,-0.037355842922835336,0,-0.037355842922835336,-0.00019642538973130286,0.034970514476299286,0.8582327365875244,0.032942556634584445,0.0,0.02997051447629929,0.8532327365875244,,,,,,,,,,,,,,,
Middle,100,100,W0,Base,3.0004251117095997,3.000425111709598,0,3.000425111709599,1.8852731284322601,7.16657871106322,13.39613666687482,3.000425111709599,1.8852731284322601,7.16657871106322,13.39613666687482,,,,,,,,,,,,,,,
Middle,100,100,W0,BaseAudit,3.1840063803604224,3.184006380360425,0,3.1840063803604233,1.642422855775218,7.807541732235464,14.735590704240106,3.1840063803604233,1.642422855775218,7.807541732235464,14.735590704240106,,,,,,,,,,,,,,,
Middle,100,100,W0,BaseAuditW0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Middle,100,100,W0,BaseW0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Middle,100,100,W0,Past,10.23188616472102,10.234130407746818,0,10.234130407746818,10.079251646995544,15.295919207506813,20.307199016213417,10.23188616472104,10.074251646995544,15.290919207506812,20.302199016213418,,,,,,,,,,,,,,,
Middle,100,100,ENTRY,Base,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Middle,100,100,ENTRY,BaseAudit,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Middle,100,100,ENTRY,BaseAuditW0,2.085202203580687,2.0852022035806868,0,2.0852022035806863,1.393138888736311,5.164845351991495,8.790906500947811,2.0852022035806863,1.393138888736311,5.164845351991495,8.790906500947811,,,,,,,,,,,,,,,
Middle,100,100,ENTRY,BaseW0,1.9853336601657499,1.9853336601657496,0,1.9853336601657503,1.12550606256919,5.1180970476426895,9.643931608354892,1.9853336601657503,1.12550606256919,5.1180970476426895,9.643931608354892,,,,,,,,,,,,,,,
Middle,100,100,ENTRY,Past,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Middle,100,100,N,Base,0.05903529695698263,0.05903529695698262,0,0.05903529695698263,0.020342264189785006,0.10527333517106068,1.0225449265170727,0.05903529695698263,0.020342264189785006,0.10527333517106068,1.0225449265170727,,,,,,,,,,,,,,,
Middle,100,100,N,BaseAudit,0.03662795255332121,0.036627952553321234,0,0.036627952553321214,0.013592823921688622,0.07113452032045534,0.5062827154925778,0.036627952553321214,0.013592823921688622,0.07113452032045534,0.5062827154925778,,,,,,,,,,,,,,,
Middle,100,100,N,BaseAuditW0,2.0499381283802736,2.049938128380273,0,2.0499381283802736,1.3252417435940207,4.961706533875526,8.318908435817509,2.0499381283802736,1.3252417435940207,4.961706533875526,8.318908435817509,,,,,,,,,,,,,,,
Middle,100,100,N,BaseW0,1.9838215465899114,1.9838215465899107,0,1.983821546589911,1.1005289792374937,4.859674048081385,9.880959987785241,1.983821546589911,1.1005289792374937,4.859674048081385,9.880959987785241,,,,,,,,,,,,,,,
Middle,100,100,N,Past,0.017501801081293858,-0.0053068070142793244,0,-0.0053068070142793244,-2.8892391128465533e-05,0.04354435205459595,0.6796243190765381,0.01750180108129386,0.0,0.03854435205459595,0.6746243190765381,,,,,,,,,,,,,,,
Middle,100,100,OS,Base,0.19879436193518954,0.1987943619351895,0,0.19879436193518948,0.04879491321069182,0.21822756103266974,8.408923840321146,0.19879436193518948,0.04879491321069182,0.21822756103266974,8.408923840321146,,,,,,,,,,,,,,,
