entry,batch_raw,arm,reference,node_completed,panel,metric,numerator,denominator,rate,strict_new_numerator,strict_true_numerator,ties,new_token_correct,new_token_count,true_token_correct,true_token_count,reference_success,loss,recovery,reference_failure,new_nll_lower,new_nll_equal,new_nll_higher,delta_pp,paired_ci_low,paired_ci_high,paired_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_max,paired_new_nll_delta_mean,paired_new_nll_delta_median,paired_new_nll_delta_p90,paired_new_nll_delta_max,paired_true_nll_delta_mean,paired_true_nll_delta_median,paired_true_nll_delta_p90,paired_true_nll_delta_max,paired_margin_delta_mean,paired_margin_delta_median,paired_margin_delta_p90,paired_margin_delta_max,margin_mean,margin_median,margin_p90,margin_max
Early,100,BF8,N,2,Current100,RS,76,100,76.0,43,12,0,44,101,15,103,100,24,0,0,0,0,100,-24.0,-33.0,-16.0,100,2.6475906473444777,1.6317741870880127,7.6200269222259545,16.044361114501953,5.950751081109047,5.918026924133301,10.722520637512208,13.23343563079834,2.646041943833625,1.631155509094242,7.617837429803333,16.042702739476226,-8.60849451482296,-8.101805210113525,-4.561667919158934,-0.9582881927490234,-11.254536458656585,-10.307111542788334,-5.131612358870915,-2.051139260875061,3.3031604337645692,3.0791353955864906,9.510407540202142,13.12831649929285
Early,100,BF8,N,2,Current100,PS,127,200,63.5,42,28,0,42,202,34,206,195,68,0,5,11,0,189,-34.0,-42.5,-26.0,100,4.788872104631737,4.712580680847168,9.321842193603514,18.82937240600586,5.8694312986359,5.810981273651123,10.650588130950927,16.522991180419922,3.1616798659964114,2.387016834691167,6.908060720749197,12.622253324836493,-4.481995160914957,-3.905414581298828,-0.5378194808959963,2.792165756225586,-7.643675026911369,-6.647906064987183,-1.9679795503616333,1.5059175491333008,1.0805591940041632,1.0439238548278809,7.806934285163879,11.343137264251709
Early,100,BF8,OS,2,Current100,RS,76,100,76.0,43,12,0,44,101,15,103,100,24,0,0,0,0,100,-24.0,-33.0,-16.0,100,2.6475906473444777,1.6317741870880127,7.6200269222259545,16.044361114501953,5.950751081109047,5.918026924133301,10.722520637512208,13.23343563079834,2.646127161362747,1.63106703235826,7.617553430260162,16.04248211591039,-8.634019407629967,-8.173638701438904,-4.662564754486081,-0.8870048522949219,-11.280146568992713,-10.712049118737923,-4.904599599260837,-1.9042510216240771,3.3031604337645692,3.0791353955864906,9.510407540202142,13.12831649929285
Early,100,BF8,OS,2,Current100,PS,127,200,63.5,42,28,0,42,202,34,206,196,69,0,4,11,0,189,-34.5,-43.012499999999996,-26.5,100,4.788872104631737,4.712580680847168,9.321842193603514,18.82937240600586,5.8694312986359,5.810981273651123,10.650588130950927,16.522991180419922,3.219997854104149,2.446555972099304,7.1008875653147685,12.61798520758748,-4.437327505685389,-3.919194221496582,-0.6684253692626955,6.851576328277588,-7.657325359789538,-6.589435577392578,-2.018508241325617,1.5720577239990234,1.0805591940041632,1.0439238548278809,7.806934285163879,11.343137264251709
Early,100,BF8,N,4,Current100,RS,97,100,97.0,92,2,0,93,101,5,103,100,3,0,0,0,0,100,-3.0,-6.0,0.0,100,0.4831148558226414,0.06180419586598873,0.9589194416999824,15.393913269042969,8.936105931699275,8.697300910949707,14.172849464416505,16.896696090698242,0.48156615231178873,0.06049780533066951,0.957724141993095,15.392254894017242,-5.623139664232731,-5.271716594696045,-2.387921237945556,0.2858085632324219,-6.10470581654452,-5.420403607247863,-2.402065083803609,0.23824309511110187,8.452991075876634,8.555963810998946,14.12358218061272,16.876401221379638
Early,100,BF8,N,4,Current100,PS,179,200,89.5,98,6,0,100,202,12,206,195,16,0,5,20,0,180,-8.0,-12.5,-4.0,100,2.540016569477739,1.4440659284591675,6.673943328857422,16.75225830078125,7.5462377598881725,6.9875712394714355,12.74862642288208,18.608537673950195,0.9128243308424134,0.4426155090332031,2.698136315122247,7.8304537162184715,-2.8051886996626854,-2.235989809036255,-0.09790954589843778,1.8418631553649902,-3.718013030505099,-2.920164393261075,-0.595995691418648,1.387679934501648,5.006221190410433,4.894088268280029,11.054529178142548,16.041812509298325
Early,100,BF8,OS,4,Current100,RS,97,100,97.0,92,2,0,93,101,5,103,100,3,0,0,0,0,100,-3.0,-6.0,0.0,100,0.4831148558226414,0.06180419586598873,0.9589194416999824,15.393913269042969,8.936105931699275,8.697300910949707,14.172849464416505,16.896696090698242,0.4816513698409108,0.06040345631481614,0.9576721092569649,15.392034270451404,-5.648664557039738,-5.518446207046509,-2.3086328506469718,0.25259876251220703,-6.130315926880648,-5.578638788050739,-2.3216005123802455,0.2049162075854838,8.452991075876634,8.555963810998946,14.12358218061272,16.876401221379638
Early,100,BF8,OS,4,Current100,PS,179,200,89.5,98,6,0,100,202,12,206,196,17,0,4,18,0,182,-8.5,-13.5,-4.0,100,2.540016569477739,1.4440659284591675,6.673943328857422,16.75225830078125,7.5462377598881725,6.9875712394714355,12.74862642288208,18.608537673950195,0.9711423189501511,0.5186564922332764,2.8391198486089704,7.803396560251713,-2.760521044433117,-2.2310218811035156,-0.28529405593872087,4.818812847137451,-3.731663363383268,-2.8899550288915634,-0.7523900847416372,1.5324817895889282,5.006221190410433,4.894088268280029,11.054529178142548,16.041812509298325
Middle,100,BF8,N,2,Current100,RS,92,100,92.0,49,3,0,50,101,6,103,100,8,0,0,0,0,100,-8.0,-14.000000000000002,-3.0,100,2.1710893012577435,1.5567209720611572,5.881114959716797,11.863470077514648,7.208438736200333,7.243640899658203,11.76435604095459,16.83559799194336,2.1444202294119896,1.5526290605776012,5.8798627407988535,9.782251596450806,-7.04564269900322,-6.775879859924316,-2.959875297546385,1.6253061294555664,-9.190062928415209,-8.713618945359485,-4.19400270312617,-1.7084010675025638,5.037349434942589,4.476773796603084,10.172009944915773,16.79220351204276
Middle,100,BF8,N,2,Current100,PS,151,200,75.5,54,4,0,55,202,9,206,197,46,0,3,6,0,194,-23.0,-30.0,-16.0,100,4.184356047981419,3.6551238298416138,8.865519618988037,13.239636421203613,7.2072125771641735,7.0971221923828125,11.216350936889647,16.391618728637695,2.9899356994227855,2.5143397748470306,6.7175181761384,12.206097643822432,-3.3667118081450464,-3.0117459297180176,-0.12395057678222812,7.814291477203369,-6.356647507567832,-5.856963813304901,-1.4574439527466896,2.8204823434352875,3.0228565291827545,2.5735011100769043,8.94180475026369,12.136569261550903
