entry,batch_raw,endpoint,reference,context_index,goal_component_sq,goal_sq,perpendicular_sq,request_index,response_change_sq,signed_goal_inner,zero_goal
Early,100,BF1,OS,0,5.684189897191115e-19,5.0626048802098484,2.818057979086806e-15,0,2.8186263980765253e-15,1.6963728220399917e-09,False
Early,100,BF1,OS,1,1.4348379261534705e-18,8.856727473316866,2.228214970364777e-14,0,2.2283584541573925e-14,3.5648237656748808e-09,False
Early,100,BF1,OS,2,5.198236440646755e-17,8.560098872189723,2.3850039703690866e-13,0,2.3855237940131514e-13,2.109441108278584e-08,False
Early,100,BF1,OS,3,1.178761607927231e-16,9.734369690737198,3.772683855459646e-14,0,3.784471471538919e-14,-3.387403322430248e-08,False
Early,100,BF1,OS,4,7.192017507030604e-20,8.95028466274301,3.4418082419532466e-14,0,3.4418154339707536e-14,8.023129313887146e-10,False
Early,100,BF1,OS,5,4.7713435241630096e-18,8.736639647284463,1.9423551310859523e-13,0,1.942402844521194e-13,-6.456431599886776e-09,False
Early,100,BF1,OS,0,1.3133927402707158e-17,5.930679110239668,1.2156739862908783e-14,1,1.216987379031149e-14,-8.825707273790564e-09,False
Early,100,BF1,OS,1,5.235313744893947e-17,6.527308926392628,8.647530124610826e-14,1,8.652765438355721e-14,1.8485808107711243e-08,False
Early,100,BF1,OS,2,1.8012859129765616e-16,6.232267695649154,1.8613300422039648e-13,1,1.8631313281169416e-13,3.350536674336175e-08,False
Early,100,BF1,OS,3,9.577190268956106e-17,6.799265428827908,4.839260894282397e-14,1,4.848838084551353e-14,2.551820109275344e-08,False
Early,100,BF1,OS,4,7.138177934942711e-17,6.704187756992611,4.812918748298393e-14,1,4.820056926233336e-14,-2.1875942292545415e-08,False
Early,100,BF1,OS,5,3.194720346993851e-17,6.092593284468753,2.4189998913117927e-13,1,2.419319363346492e-13,-1.3951391232364756e-08,False
Early,100,BF1,OS,0,7.152544853336371e-19,5.8226555015841175,4.180440522360812e-15,2,4.181155776846145e-15,2.0407548760349977e-09,False
Early,100,BF1,OS,1,2.8485153156364896e-18,7.241696764423527,2.757023117844057e-14,2,2.7573079693756204e-14,-4.541815071604702e-09,False
Early,100,BF1,OS,2,2.1324469430988692e-19,6.6069054260511555,3.3858336926922573e-14,2,3.385855017161688e-14,1.1869656810171942e-09,False
Early,100,BF1,OS,3,4.786029792578066e-18,7.767019845473057,2.2126347577636952e-14,2,2.2131133607429524e-14,6.096981907466934e-09,False
Early,100,BF1,OS,4,1.7443593000731777e-17,7.106351832040094,6.24585714994471e-14,2,6.247601509244783e-14,-1.1133746408020619e-08,False
Early,100,BF1,OS,5,1.8749236130894974e-18,6.428210004544264,4.932816247731201e-14,2,4.933003740092509e-14,-3.4716570578641817e-09,False
Early,100,BF1,OS,0,1.8875773137651564e-19,3.7359736701010053,3.221957408804136e-15,3,3.2221461665355126e-15,-8.397582476228863e-10,False
Early,100,BF1,OS,1,1.7460951622877077e-17,4.191759402349579,1.5734890164491847e-13,3,1.5736636259654136e-13,8.55523863718401e-09,False
Early,100,BF1,OS,2,1.0441757152431545e-18,4.272965167466676,1.435905143690729e-13,3,1.4359155854478813e-13,2.1122799198848152e-09,False
Early,100,BF1,OS,3,3.370959502817001e-18,4.453276339630573,6.498612095006002e-14,3,6.498949190956284e-14,-3.874508252120234e-09,False
Early,100,BF1,OS,4,5.644324216006423e-17,4.459548235594172,9.314583331890087e-14,3,9.320227656106095e-14,-1.586541398722797e-08,False
Early,100,BF1,OS,5,9.129351215402957e-17,4.140808857520885,1.6027084139833894e-13,3,1.6036213491049297e-13,-1.944296746285392e-08,False
Early,100,BF1,OS,0,5.479095310136908e-21,4.379884474928398,4.274265689196546e-15,4,4.274271168291856e-15,-1.549122476937238e-10,False
Early,100,BF1,OS,1,1.860012981654046e-17,4.925842782622667,1.1829930211029522e-13,4,1.1831790224011175e-13,9.571902382110386e-09,False
Early,100,BF1,OS,2,1.5061407822845814e-18,5.098391768227118,1.307383829344351e-13,4,1.307398890752174e-13,-2.771082056921242e-09,False
Early,100,BF1,OS,3,1.6786934975764185e-17,5.404832554432732,6.818198655454578e-14,4,6.819877348952154e-14,9.525259715417513e-09,False
Early,100,BF1,OS,4,2.842714815629216e-17,5.272500139060366,1.1951790911139473e-13,4,1.1954633625955102e-13,-1.2242636260509417e-08,False
Early,100,BF1,OS,5,1.5998716886022258e-18,4.783247230556537,1.9236226819720656e-13,4,1.9236386806889516e-13,2.76633002798878e-09,False
Early,100,BF1,OS,0,6.772790914685975e-17,5.114826459722657,8.578440955253534e-15,5,8.646168864400394e-15,-1.861226750737401e-08,False
Early,100,BF1,OS,1,2.579168647554138e-17,5.720032156580272,5.137741341888463e-14,5,5.140320510536017e-14,-1.2146163016052979e-08,False
Early,100,BF1,OS,2,2.592604636566851e-15,5.61053776664029,6.009562391395925e-13,5,6.035488437761593e-13,-1.2060641039109422e-07,False
Early,100,BF1,OS,3,2.3813567990359996e-16,5.829032251035967,8.710888778597211e-14,5,8.73470234658757e-14,3.725722155878591e-08,False
Early,100,BF1,OS,4,9.385003994744548e-16,5.746593627507442,3.4446317149667533e-13,5,3.454016718961498e-13,7.343827622591022e-08,False
Early,100,BF1,OS,5,1.5384523195159971e-15,5.412116060040079,1.9008657861744398e-13,5,1.9162503093695997e-13,9.124846577372377e-08,False
Early,100,BF1,OS,0,1.7732552216026814e-18,4.110299485911115,1.1612619052523687e-14,6,1.161439230774529e-14,2.699742585088938e-09,False
Early,100,BF1,OS,1,1.1327427841501493e-16,4.461910770061252,9.835651959970107e-14,6,9.84697938781161e-14,2.2481541825036645e-08,False
Early,100,BF1,OS,2,8.742784576632287e-17,4.3544335105982475,1.1648756075012425e-13,6,1.1657498859589057e-13,-1.9511502796153127e-08,False
Early,100,BF1,OS,3,2.9282289460553737e-16,4.703742395242166,7.488519902017902e-14,6,7.517802191478455e-14,-3.711284768989837e-08,False
Early,100,BF1,OS,4,6.20606689212561e-17,4.541730775610168,1.1245760199270083e-13,6,1.1251966266162208e-13,-1.6788771545131653e-08,False
Early,100,BF1,OS,5,6.57462057532728e-16,4.243267221057036,2.6688209935572523e-13,6,2.675395614132579e-13,5.281843615459795e-08,False
Early,100,BF1,OS,0,1.4149120169255677e-16,9.257556192432377,8.48858024374647e-15,7,8.630071445439026e-15,-3.619202606104869e-08,False
Early,100,BF1,OS,1,1.6446631552915533e-14,11.402754921208722,3.6294871435868054e-13,7,3.7939534591159603e-13,4.3305531849558685e-07,False
Early,100,BF1,OS,2,1.0483535376059203e-15,10.622865461388585,1.412855352546718e-13,7,1.4233388879227769e-13,-1.0552970475633135e-07,False
Early,100,BF1,OS,3,1.1413465430317776e-15,11.394967363431164,6.881850829206031e-14,7,6.995985483509209e-14,1.1404212646304034e-07,False
Early,100,BF1,OS,4,3.797699396522516e-15,11.015640456194348,2.09475404556722e-13,7,2.132731039532445e-13,-2.0453383855195766e-07,False
Early,100,BF1,OS,5,5.3799435487122656e-15,10.444743433591885,2.0393034293678588e-13,7,2.0931028648549813e-13,-2.3704879255863645e-07,False
Early,100,BF1,OS,0,1.4824388730025812e-19,9.840685319071984,2.7868753788531525e-15,8,2.7870236227404525e-15,1.207816809536037e-09,False
Early,100,BF1,OS,1,3.0723848763456913e-18,19.210392665838476,1.2891010943189841e-14,8,1.2894083328066187e-14,7.68255946252187e-09,False
