entry,batch_raw,arm,node,dual_min,slack_min,domain_valid,replay_max_abs,source
Early,100,BF1,0,1.0804099413511062e-11,0.01294520887072205,True,0.0,"{""bytes"":240990,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Early-B100/BF1-trajectory/node01.json"",""sha256"":""d06896bdc199a2d1f604f6bfa9741a5890325436f0cebdeb1cad4b3e2141cc28""}"
Early,100,BF8,0,0.0,0.0,True,0.0,"{""bytes"":241318,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Early-B100/BF8-trajectory/node01.json"",""sha256"":""4be2ed62836f57f13f78f566bfa1d7b7ddfe2fadb434f6852a9edf4845bbde0a""}"
Early,100,BF8,1,0.0,0.0,True,0.0,"{""bytes"":240975,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Early-B100/BF8-trajectory/node02.json"",""sha256"":""0e2dc0c2e22822a1ec168a45ae529186d1e4a9fca2747b77716f4b83f2056fe1""}"
Early,100,BF8,2,0.0,0.0,True,0.0,"{""bytes"":240992,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Early-B100/BF8-trajectory/node03.json"",""sha256"":""86f595ce2347bee3d3399020404d256c19f71f6f2f42b2fa4e5bd325bdbdc4e9""}"
Early,100,BF8,3,0.0,0.0,True,0.0,"{""bytes"":240817,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Early-B100/BF8-trajectory/node04.json"",""sha256"":""6c5446cb8b8d26dcf8af720cd947a5ebd031d010545252b005188db59ae89c0e""}"
Early,100,BF8,4,0.0,0.0,True,0.0,"{""bytes"":240682,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Early-B100/BF8-trajectory/node05.json"",""sha256"":""d8494a8ea97a1878b04720deef7cf25a7ff6d9d273e8f7458e39eb88981073dc""}"
Early,100,BF8,5,6.4536145105483156e-12,0.0009665704726126392,True,0.0,"{""bytes"":240643,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Early-B100/BF8-trajectory/node06.json"",""sha256"":""b7ff68a074048f9cb9e09e4328715d1057deabc4f8374dcd8eb1c0e5937f7569""}"
Early,100,BF8,6,2.1103951912601603e-11,0.003160780170680606,True,3.2311742677852644e-27,"{""bytes"":240666,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Early-B100/BF8-trajectory/node07.json"",""sha256"":""309f07ff36fb4e1d1aa3ce046cf48ff3433de3f909c5eae2e1a20918aa9dc6ac""}"
Early,100,BF8,7,4.078881278273843e-11,0.006109020299288107,True,0.0,"{""bytes"":240804,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Early-B100/BF8-trajectory/node08.json"",""sha256"":""dcf78da0ac317a6c1d0cb4bb7f516d615f68ea17baa402663aac07efe6391299""}"
Middle,100,BF1,0,1.1802866468984828e-11,0.013051319148262564,True,5.169878828456423e-26,"{""bytes"":241226,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Middle-B100/BF1-trajectory/node01.json"",""sha256"":""f3180390d499c19e3d79b3a7e1860242429b3ee9280e50ffa9e06a591483bd28""}"
Middle,100,BF8,0,0.0,0.0,True,0.0,"{""bytes"":242026,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Middle-B100/BF8-trajectory/node01.json"",""sha256"":""586ddc37557455a1b25de905a667aaaae2c7083eeb9d880c1e9def8a9426292f""}"
Middle,100,BF8,1,0.0,0.0,True,0.0,"{""bytes"":241631,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Middle-B100/BF8-trajectory/node02.json"",""sha256"":""23e68169eb37791910da7812062ce0e0bb811082f8b77eb6751f75934608c209""}"
Middle,100,BF8,2,0.0,0.0,True,0.0,"{""bytes"":241487,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Middle-B100/BF8-trajectory/node03.json"",""sha256"":""6b4e7afabd186cce9b56f6633afc91d3c2edd963316cb85b82bebb9ba4ed213b""}"
Middle,100,BF8,3,0.0,0.0,True,0.0,"{""bytes"":241225,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Middle-B100/BF8-trajectory/node04.json"",""sha256"":""bb06e42166e214cfdeb6575b23cb6852947540f96dc5530c3f9cdc969881f8a7""}"
Middle,100,BF8,4,4.531263316666596e-12,0.0006263199266681724,True,0.0,"{""bytes"":241235,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Middle-B100/BF8-trajectory/node05.json"",""sha256"":""3fb963c61180335e8e5c500f3fdbae21c2abc8dc92dbb268621077dabe983ecb""}"
Middle,100,BF8,5,1.4547757442060782e-11,0.00201081900069333,True,0.0,"{""bytes"":241059,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Middle-B100/BF8-trajectory/node06.json"",""sha256"":""0390a5933120e0311be252323685fc5f8d9a67a86403abce8787cbd67697420a""}"
Middle,100,BF8,6,2.4088651980510363e-11,0.003329579785503883,True,1.0339757656912846e-25,"{""bytes"":240870,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Middle-B100/BF8-trajectory/node07.json"",""sha256"":""efe038a0f1afc565229a0fbfaba44842cef3258629212c47328b546acc31e83e""}"
Middle,100,BF8,7,3.4339705055653654e-11,0.004746500048486626,True,6.462348535570529e-27,"{""bytes"":240855,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Middle-B100/BF8-trajectory/node08.json"",""sha256"":""645abb5ddcd116f4533db69ea216830979b72d866ba58265c293911f3c5bb793""}"
Middle,100,Frozen-BF8,0,0.0,0.0,True,0.0,"{""bytes"":242455,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Middle-B100/Frozen-BF8-trajectory/node01.json"",""sha256"":""2176f9de234306ee54d035234cbbd4abf9c85ca50bda2d552e96f72a9fc67afa""}"
Middle,100,Frozen-BF8,1,0.0,0.0,True,0.0,"{""bytes"":242061,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Middle-B100/Frozen-BF8-trajectory/node02.json"",""sha256"":""0720fb4792415b085f141dd0c8253d1af52cc9d515459c1506bb03296c27c332""}"
Middle,100,Frozen-BF8,2,0.0,0.0,True,0.0,"{""bytes"":241738,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Middle-B100/Frozen-BF8-trajectory/node03.json"",""sha256"":""564b50a27f00445008781c5a9176144acf548b9cc254ff0e9505f24697ca51e2""}"
Middle,100,Frozen-BF8,3,0.0,0.0,True,0.0,"{""bytes"":241477,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Middle-B100/Frozen-BF8-trajectory/node04.json"",""sha256"":""e3f23edbba9f65da21be55bd4eff0be16be67cc059f9cd0355cdc7489dcdf9a5""}"
Middle,100,Frozen-BF8,4,4.185961610495709e-12,0.0005785916610227228,True,0.0,"{""bytes"":241524,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Middle-B100/Frozen-BF8-trajectory/node05.json"",""sha256"":""b473ff54b3a217c18bb619074f79fd6f83b6c8d3261f775a275f95dae9794ce2""}"
Middle,100,Frozen-BF8,5,1.3886088547762643e-11,0.0019193618541110203,True,0.0,"{""bytes"":241284,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Middle-B100/Frozen-BF8-trajectory/node06.json"",""sha256"":""193db71b091ae5b7d87b5151f220d0c656c4cc1624e71aa02881c01414e86072""}"
Middle,100,Frozen-BF8,6,2.3492619569687997e-11,0.003247195039849168,True,1.0339757656912846e-25,"{""bytes"":241077,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Middle-B100/Frozen-BF8-trajectory/node07.json"",""sha256"":""d897a1e9e9406ef1bf31c7b52f83d0e121a3d9e03e9dea82f1bad51890a8fa9d""}"
Middle,100,Frozen-BF8,7,3.38191098540836e-11,0.004674542378917552,True,0.0,"{""bytes"":241181,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Middle-B100/Frozen-BF8-trajectory/node08.json"",""sha256"":""8f72f5304891a41730665292220c955e1bf3828fc1ab135f055bd63f9cbd414b""}"
Late,100,BF1,0,1.2800266867861821e-11,0.013458577340688553,True,2.5849394142282115e-26,"{""bytes"":242082,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Late-B100/BF1-trajectory/node01.json"",""sha256"":""867692907b433b61dec0a328922a1ea718f65a190edf4bc00f378e5da44e0054""}"
Late,100,BF8,0,0.0,0.0,True,0.0,"{""bytes"":243025,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Late-B100/BF8-trajectory/node01.json"",""sha256"":""76247bcb8d6bc79fa4ced2f31538180350def2d624b04af716eb9c1f6170872f""}"
Late,100,BF8,1,0.0,0.0,True,0.0,"{""bytes"":242695,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Late-B100/BF8-trajectory/node02.json"",""sha256"":""73e0441e012177e905f2737a92e7ca08a48e5538e541a7833de02f6fd611014f""}"
Late,100,BF8,2,0.0,0.0,True,0.0,"{""bytes"":242324,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Late-B100/BF8-trajectory/node03.json"",""sha256"":""e5379f86a56b9b1a865bf21d9af702dd4638ff6896668f4bf36159520ab37865""}"
Late,100,BF8,3,0.0,0.0,True,0.0,"{""bytes"":242346,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Late-B100/BF8-trajectory/node04.json"",""sha256"":""f42acb41013a5541ae7fa35a754518533da917fa5cbeb542a334a422528cfd18""}"
Late,100,BF8,4,7.301421797326286e-12,0.0006683145675696627,True,1.2924697071141057e-26,"{""bytes"":242388,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Late-B100/BF8-trajectory/node05.json"",""sha256"":""74293e5d36e9a714c802b1c46e26b54a8b0711bc777101ecdf902ff3077531f3""}"
Late,100,BF8,5,1.7388904961277164e-11,0.002285400811435625,True,0.0,"{""bytes"":242115,""mode"":""0o664"",""path"":""local/l4-two-memory-conflict-routing/20260911-v2/canonical-r1/Late-B100/BF8-trajectory/node06.json"",""sha256"":""4d20dafa9a65b050aa9d8ff861e5b50a9b4f7065c3813f12218b64601222cc90""}"
