cell,outer_K,microstep_in_outer,global_field_evaluation,target_time_before,target_time_after,target_dt,entry_target_new_nll,selected_endpoint_target_new_nll,primary_count,rescue_count,current_count,clamp_hit_numerator,clamp_denominator,clamp_fraction,pre_clamp_energy,post_clamp_energy,clamp_removed_energy,accepted_energy,target_displacement_norm,z_minus_y_norm,semantic_gradient_norm_mean,semantic_gradient_norm_median,semantic_gradient_norm_p90,preservation_gradient_norm_mean,movement_norm_mean,movement_norm_p90,early_break_count,writer_authority_count,history_append_count
Z1-REFINE,1,1,1,0.0,0.0625,0.0625,10.393097128868103,8.885282073020935,100,0,0,0,100,0.0,3688.914497024958,3688.9144872847037,-5.129230373768223e-14,3688.9144872847037,3.7960271621726847,0.0,4.717938630523679,4.120069679364242,7.351270182504368,9.668374930995644e-08,0.36066126934782344,0.5300209624155171,0,0,0
Z1-REFINE,1,2,2,0.0625,0.125,0.0625,8.885282073020935,7.152663035392761,100,0,0,0,100,0.0,4134.196816971952,4134.196824168584,-8.060219158778636e-14,4134.196824168584,4.018607513107668,3.7960271621726847,4.592505805475347,4.007107670241909,7.698814154827617,0.058131860377701704,0.37887066200979613,0.5693022444201009,0,0,0
Z1-REFINE,2,1,3,0.125,0.1875,0.0625,7.075522023439407,4.720570638179779,100,0,0,0,100,0.0,7207.860585648198,7207.860587212104,1.8118839761882555e-13,7207.860587212104,5.306195003841944,0.3285932940353896,5.233809513823994,4.863488259096117,8.706248666062663,0.0796453489865032,0.4934806230684811,0.7734627266645007,0,0,0
Z1-REFINE,2,2,4,0.1875,0.25,0.0625,4.720570638179779,2.18644693672657,100,0,0,0,100,0.0,14921.542046007733,14921.542030573852,2.5712765250318625e-13,14921.542030573852,7.634610242633842,5.356588941527114,5.84243804192907,5.387603263017834,8.62888557023932,0.11057068311581991,0.6846140481762549,1.132558799049351,0,0,0
Z1-REFINE,3,1,5,0.25,0.3125,0.0625,2.352290888428688,1.081300714313984,100,0,0,0,100,0.0,9246.243353253343,9246.243334726843,-4.5230486023228877e-13,9246.243334726843,6.009836772016092,0.5974437723406273,4.291821625423492,3.628506620347228,6.905771631728923,0.21183350796024347,0.49775351397449,0.873117690950575,0,0,0
Z1-REFINE,3,2,6,0.3125,0.375,0.0625,1.081300714313984,0.4772477458789945,99,1,0,2,100,0.02,10636.898120564712,10002.657292389813,634.2408320505418,9995.466702947677,6.2485831840817365,6.0597548985205565,3.119141117737695,2.287468497421157,5.320011216545436,0.25041529754966385,0.44476083241479863,0.8480345977556784,0,0,0
Z1-REFINE,4,1,7,0.375,0.4375,0.0625,0.5788515808433294,0.23241550680249928,100,0,0,2,100,0.02,5638.197686487459,5043.440248073123,594.7574352567577,5043.440248073123,4.438573922898346,0.4789205975621874,2.065280160644523,1.398696034095753,4.360942004622391,0.2389177622894112,0.2844272067672799,0.5786685338574374,0,0,0
Z1-REFINE,4,2,8,0.4375,0.5,0.0625,0.23241550680249928,0.10105965664610267,97,3,0,2,100,0.02,3143.137587088899,2734.617598416888,408.5199890095194,1557.4904409089759,2.4665658383263973,4.446193370589391,1.120038565703723,0.7639712985614706,1.9170329539620508,0.3140471598376168,0.19503502118554636,0.3838406943314356,0,0,0
Z1-REFINE,5,1,9,0.5,0.5625,0.0625,0.13320851586759092,0.05402129476424307,99,1,0,2,100,0.02,2388.8527858166353,2380.673128173958,8.179659866191127,2288.6150182565743,2.989966958857977,0.28727385835763897,0.7693908787648293,0.5551445656780494,1.1960535827436338,0.17623026270830772,0.21575749136285713,0.36962692555081084,0,0,0
Z1-REFINE,5,2,10,0.5625,0.625,0.0625,0.05402129476424307,0.0289444447029382,98,2,0,2,100,0.02,986.8640615224522,906.6942435448743,80.16981622258203,497.55542292595254,1.3941218995496332,3.0076986152084557,0.389203329580302,0.25297805188373446,0.39121280377141443,0.19027915612392757,0.10882413576990511,0.18173536433791465,0,0,0
