arm,method,variant,job,status,batches,requests,scheduler_seconds,gpu_hours,wall_seconds,raw_bytes,verification,RS_numerator,RS_denominator,RS_rate,RS_new_strict_num,RS_new_strict_den,RS_new_token_correct,RS_new_token_den,PS_numerator,PS_denominator,PS_rate,PS_new_strict_num,PS_new_strict_den,PS_new_token_correct,PS_new_token_den,NS_numerator,NS_denominator,NS_rate,NS_new_strict_num,NS_new_strict_den,NS_new_token_correct,NS_new_token_den,arm_display_label
MEMIT_ORIGINAL,MEMIT,ORIGINAL,39307,TERMINAL_VALID,100,10000,41835,11.620833333333334,41823.8216483295,6415053320,REUSED_V3_FULL_CHAIN_AUDIT,7183,10000,0.7183,3603,10000,3702,10163,13530,20000,0.6765,4817,20000,4986,20326,53287,100000,0.53287,7442,100000,7787,101630,MEMIT_BLUE (L4+L8)
AlphaEdit_ORIGINAL,AlphaEdit,ORIGINAL,39283_1,TERMINAL_VALID,100,10000,43362,12.045,43328.885328164324,26144966333,REUSED_V3_FULL_CHAIN_AUDIT,9888,10000,0.9888,9465,10000,9626,10163,19155,20000,0.95775,13229,20000,13540,20326,63726,100000,0.63726,4992,100000,6419,101630,AlphaEdit_BLUE (L4+L8)
MEMIT_L4_ONLY,MEMIT,L4_ONLY,39283_2,TERMINAL_VALID,100,10000,38264,10.62888888888889,38256.48929666635,3426800674,REUSED_V3_FULL_CHAIN_AUDIT,7722,10000,0.7722,4265,10000,4389,10163,14966,20000,0.7483,7129,20000,7406,20326,57848,100000,0.57848,8447,100000,9412,101630,MEMIT_BLUE_L4_ONLY
AlphaEdit_L4_ONLY,AlphaEdit,L4_ONLY,39283_3,TERMINAL_VALID,100,10000,39361,10.93361111111111,39345.71154167317,13291871756,REUSED_V3_FULL_CHAIN_AUDIT,9939,10000,0.9939,9529,10000,9688,10163,19136,20000,0.9568,13362,20000,13658,20326,65348,100000,0.65348,5116,100000,6448,101630,AlphaEdit_BLUE_L4_ONLY
MEMIT_L8_ONLY,MEMIT,L8_ONLY,39283_4,TERMINAL_VALID,100,10000,25284,7.023333333333333,25278.599078647792,3426748965,REUSED_V3_FULL_CHAIN_AUDIT,8177,10000,0.8177,4448,10000,4540,10163,14460,20000,0.723,4859,20000,4948,20326,48425,100000,0.48425,8914,100000,9337,101630,MEMIT_BLUE_L8_ONLY
AlphaEdit_L8_ONLY,AlphaEdit,L8_ONLY,39283_5,TERMINAL_VALID,100,10000,30935,8.593055555555555,30920.40650258027,13291893404,REUSED_V3_FULL_CHAIN_AUDIT,9396,10000,0.9396,7694,10000,7830,10163,15556,20000,0.7778,6822,20000,6970,20326,54703,100000,0.54703,6949,100000,7505,101630,AlphaEdit_BLUE_L8_ONLY
MEMIT_L5_ONLY,MEMIT,,40441,TERMINAL_VALID_FINAL_MEMBERS_VERIFIED,100,10000,35452,9.847777777777777,35446.18510360643,3426699084,NEW_FINAL_SHA_PAIR_ORDER_ENDPOINT_PASS; full chain pending,8084,10000,0.8084,5147,10000,5275,10163,15008,20000,0.7504,7675,20000,7918,20326,54285,100000,0.54285,10336,100000,11407,101630,
AlphaEdit_L5_ONLY,AlphaEdit,,40442,TERMINAL_VALID_FINAL_MEMBERS_VERIFIED,100,10000,38701,10.750277777777777,38686.29726249352,13291785654,NEW_FINAL_SHA_PAIR_ORDER_ENDPOINT_PASS; full chain pending,9934,10000,0.9934,9503,10000,9666,10163,18839,20000,0.94195,12655,20000,12959,20326,62822,100000,0.62822,5755,100000,7199,101630,
MEMIT_L6_ONLY,MEMIT,,40443,TERMINAL_VALID_FINAL_MEMBERS_VERIFIED,100,10000,27142,7.539444444444444,27135.78796169907,3426662501,NEW_FINAL_SHA_PAIR_ORDER_ENDPOINT_PASS; full chain pending,8277,10000,0.8277,5091,10000,5192,10163,14761,20000,0.73805,6206,20000,6344,20326,50488,100000,0.50488,9130,100000,9677,101630,
AlphaEdit_L6_ONLY,AlphaEdit,,40444,TERMINAL_VALID_FINAL_MEMBERS_VERIFIED,100,10000,37919,10.533055555555556,37902.09060874581,13291793073,NEW_FINAL_SHA_PAIR_ORDER_ENDPOINT_PASS; full chain pending,9683,10000,0.9683,8527,10000,8677,10163,17148,20000,0.8574,8970,20000,9199,20326,58396,100000,0.58396,6197,100000,6916,101630,
