arm,batches,requests,checkpoints,W_links,history_links,compute_z,solve_calls,history_append_passes,cold_reset,context_count,context_sha256,W0_restore,nonselected_preservation,eval_nonmutation,failure,nonfinite,raw_members,raw_bytes,terminal_sha256,arm_display_label,validation,full_gpu_replay
MEMIT_ORIGINAL,100,10000,12,99,NOT_APPLICABLE_STATIC_COV,20000,200,0,1,1,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,RUNTIME_ASSERTED_BYTES_POINTER; independent GPU replay0,POINTER_VERSION_CHECK_ONLY; full_bytes_NOT_RECORDED,RUNTIME_BEFORE_AFTER_POINTER_VERSION_SHA,0,0,626,6414955595,bb99df1bb83fe8fab2ab1b9f75498ab1f72a71e2c8cf34d11c5e90ae253180f1,MEMIT_BLUE (L4+L8),,
AlphaEdit_ORIGINAL,100,10000,12,99,99,20000,200,100,1,1,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,RUNTIME_ASSERTED_BYTES_POINTER; independent GPU replay0,POINTER_VERSION_CHECK_ONLY; full_bytes_NOT_RECORDED,RUNTIME_BEFORE_AFTER_POINTER_VERSION_SHA,0,0,626,26144868592,00a2f951f2c3d6348e6cd3b339c028a0736b8b0ae25a33720018b4d2b73d7c09,AlphaEdit_BLUE (L4+L8),,
MEMIT_L4_ONLY,100,10000,12,99,NOT_APPLICABLE_STATIC_COV,10000,100,0,1,1,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,RUNTIME_ASSERTED_BYTES_POINTER; independent GPU replay0,POINTER_VERSION_CHECK_ONLY; full_bytes_NOT_RECORDED,RUNTIME_BEFORE_AFTER_POINTER_VERSION_SHA,0,0,626,3426702948,5a6e8836b438a886a32ee586b390cbb773be4f725fc5a0b50036e862e38a2546,MEMIT_BLUE_L4_ONLY,,
AlphaEdit_L4_ONLY,100,10000,12,99,99,10000,100,100,1,1,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,RUNTIME_ASSERTED_BYTES_POINTER; independent GPU replay0,POINTER_VERSION_CHECK_ONLY; full_bytes_NOT_RECORDED,RUNTIME_BEFORE_AFTER_POINTER_VERSION_SHA,0,0,626,13291774016,0605044830a9defb0d00bd5c46a47051e6ea5f73d353c22001f3b07ae87712cd,AlphaEdit_BLUE_L4_ONLY,,
MEMIT_L8_ONLY,100,10000,12,99,NOT_APPLICABLE_STATIC_COV,10000,100,0,1,1,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,RUNTIME_ASSERTED_BYTES_POINTER; independent GPU replay0,POINTER_VERSION_CHECK_ONLY; full_bytes_NOT_RECORDED,RUNTIME_BEFORE_AFTER_POINTER_VERSION_SHA,0,0,626,3426651238,013ebc9dc082b5399010c93148991d27a2751a26235d31e87baaf37fcc9bbe6b,MEMIT_BLUE_L8_ONLY,,
AlphaEdit_L8_ONLY,100,10000,12,99,99,10000,100,100,1,1,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,RUNTIME_ASSERTED_BYTES_POINTER; independent GPU replay0,POINTER_VERSION_CHECK_ONLY; full_bytes_NOT_RECORDED,RUNTIME_BEFORE_AFTER_POINTER_VERSION_SHA,0,0,626,13291795664,27f3b1ceed9cd8e18cd12799864173cb93c938ba8179df6a077b6aba0b3a52cb,AlphaEdit_BLUE_L8_ONLY,,
MEMIT_L5_ONLY,100,10000,12,99,NA_STATIC_COV,10000,100,0,1,,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,,runtime pointer/version only; all bytes NOT_RECORDED,,0,0,627,3426699084,00b89b14365c1922ffce83670e64f37da2faee31c004b0620b03d76d02f4d0c5,,NEW_RAW_SHA_CPU_TARGET_CP_STATE_CHAIN,0
AlphaEdit_L5_ONLY,100,10000,12,99,99,10000,100,100,1,,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,,runtime pointer/version only; all bytes NOT_RECORDED,,0,0,627,13291785654,fd4745dd8251fee4cfd6a8fd054404767043b2ed380b292c64a999b8e44e5bfb,,NEW_RAW_SHA_CPU_TARGET_CP_STATE_CHAIN,0
MEMIT_L6_ONLY,100,10000,12,99,NA_STATIC_COV,10000,100,0,1,,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,,runtime pointer/version only; all bytes NOT_RECORDED,,0,0,627,3426662501,989275a5ace6ee03305c7a38f5522698b3daa5bd4c963267ebeaa5c111e2ad1e,,NEW_RAW_SHA_CPU_TARGET_CP_STATE_CHAIN,0
AlphaEdit_L6_ONLY,100,10000,12,99,99,10000,100,100,1,,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,,runtime pointer/version only; all bytes NOT_RECORDED,,0,0,627,13291793073,9e06bbf64c02a68e3d2e65bb9cdabb2cf1dfe6a2398c7e3ba1c85502fd546a8c,,NEW_RAW_SHA_CPU_TARGET_CP_STATE_CHAIN,0
