arm,W0_selected_match_all5_native,model_evaluator_runtime_equal,context_sha256,sample_root,dataset_source_sha256,shared_fixed10k_target_order,historical_full_model_byte_parity,nonselected,W0_source
MEMIT_ORIGINAL,True,True,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,d017056125178a13728594e66a801357a8db9ed7973a7425554bb4271de9fc6f,ENTRY_REQUEST_HASH_ALL100_BATCHES,NOT_TESTED,POINTER_VERSION_ONLY,SH2 SEALED PUBLICATION; no remote raw/job read
AlphaEdit_ORIGINAL,True,True,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,d017056125178a13728594e66a801357a8db9ed7973a7425554bb4271de9fc6f,ENTRY_REQUEST_HASH_ALL100_BATCHES,NOT_TESTED,POINTER_VERSION_ONLY,SH2 SEALED PUBLICATION; no remote raw/job read
MEMIT_L4_ONLY,True,True,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,d017056125178a13728594e66a801357a8db9ed7973a7425554bb4271de9fc6f,ENTRY_REQUEST_HASH_ALL100_BATCHES,NOT_TESTED,POINTER_VERSION_ONLY,SH2 SEALED PUBLICATION; no remote raw/job read
AlphaEdit_L4_ONLY,True,True,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,d017056125178a13728594e66a801357a8db9ed7973a7425554bb4271de9fc6f,ENTRY_REQUEST_HASH_ALL100_BATCHES,NOT_TESTED,POINTER_VERSION_ONLY,SH2 SEALED PUBLICATION; no remote raw/job read
MEMIT_L8_ONLY,True,True,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,d017056125178a13728594e66a801357a8db9ed7973a7425554bb4271de9fc6f,ENTRY_REQUEST_HASH_ALL100_BATCHES,NOT_TESTED,POINTER_VERSION_ONLY,SH2 SEALED PUBLICATION; no remote raw/job read
AlphaEdit_L8_ONLY,True,True,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,d017056125178a13728594e66a801357a8db9ed7973a7425554bb4271de9fc6f,ENTRY_REQUEST_HASH_ALL100_BATCHES,NOT_TESTED,POINTER_VERSION_ONLY,SH2 SEALED PUBLICATION; no remote raw/job read
MEMIT_L5_ONLY,True,True,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,d017056125178a13728594e66a801357a8db9ed7973a7425554bb4271de9fc6f,ENTRY_REQUEST_HASH_ALL100_BATCHES,NOT_TESTED,POINTER_VERSION_ONLY,SH2 SEALED PUBLICATION; no remote raw/job read
AlphaEdit_L5_ONLY,True,True,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,d017056125178a13728594e66a801357a8db9ed7973a7425554bb4271de9fc6f,ENTRY_REQUEST_HASH_ALL100_BATCHES,NOT_TESTED,POINTER_VERSION_ONLY,SH2 SEALED PUBLICATION; no remote raw/job read
MEMIT_L6_ONLY,True,True,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,d017056125178a13728594e66a801357a8db9ed7973a7425554bb4271de9fc6f,ENTRY_REQUEST_HASH_ALL100_BATCHES,NOT_TESTED,POINTER_VERSION_ONLY,SH2 SEALED PUBLICATION; no remote raw/job read
AlphaEdit_L6_ONLY,True,True,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,d017056125178a13728594e66a801357a8db9ed7973a7425554bb4271de9fc6f,ENTRY_REQUEST_HASH_ALL100_BATCHES,NOT_TESTED,POINTER_VERSION_ONLY,SH2 SEALED PUBLICATION; no remote raw/job read
MEMIT_L7_ONLY,True,True,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,d017056125178a13728594e66a801357a8db9ed7973a7425554bb4271de9fc6f,ENTRY_REQUEST_HASH_ALL100_BATCHES,NOT_TESTED,POINTER_VERSION_ONLY,SH2 SEALED PUBLICATION; no remote raw/job read
AlphaEdit_L7_ONLY,True,True,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,d017056125178a13728594e66a801357a8db9ed7973a7425554bb4271de9fc6f,ENTRY_REQUEST_HASH_ALL100_BATCHES,NOT_TESTED,POINTER_VERSION_ONLY,SH2 SEALED PUBLICATION; no remote raw/job read
BASE_ALPHAEDIT,True,True,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,3d7f5e31db47b23f3a281bb6fb447c2fb1776e3d4721cdfb5fe5c6f998f10ae1,ENTRY_REQUEST_HASH_ALL100_BATCHES,NOT_TESTED,POINTER_VERSION_ONLY,SH2 SEALED PUBLICATION; no remote raw/job read
BASE_MEMIT,True,True,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191,5b01356928ad2e2e46effad5a2c5621c87746b610992b7b92bf3ace16b6f5729,3d7f5e31db47b23f3a281bb6fb447c2fb1776e3d4721cdfb5fe5c6f998f10ae1,ENTRY_REQUEST_HASH_ALL100_BATCHES,NOT_TESTED,POINTER_VERSION_ONLY,SH2 SEALED PUBLICATION; no remote raw/job read
