arm,batch,cohort,metric,numerator,denominator,rate
BASE_MEMIT,1,1,RS,100,100,1.0
BASE_MEMIT,2,1,RS,100,100,1.0
BASE_MEMIT,2,2,RS,97,100,0.97
BASE_MEMIT,3,1,RS,100,100,1.0
BASE_MEMIT,3,2,RS,98,100,0.98
BASE_MEMIT,3,3,RS,99,100,0.99
BASE_MEMIT,4,1,RS,100,100,1.0
BASE_MEMIT,4,2,RS,98,100,0.98
BASE_MEMIT,4,3,RS,100,100,1.0
BASE_MEMIT,4,4,RS,99,100,0.99
BASE_MEMIT,5,1,RS,99,100,0.99
BASE_MEMIT,5,2,RS,98,100,0.98
BASE_MEMIT,5,3,RS,99,100,0.99
BASE_MEMIT,5,4,RS,99,100,0.99
BASE_MEMIT,5,5,RS,99,100,0.99
BASE_MEMIT,6,1,RS,98,100,0.98
BASE_MEMIT,6,2,RS,98,100,0.98
BASE_MEMIT,6,3,RS,98,100,0.98
BASE_MEMIT,6,4,RS,99,100,0.99
BASE_MEMIT,6,5,RS,100,100,1.0
BASE_MEMIT,6,6,RS,100,100,1.0
BASE_MEMIT,7,1,RS,96,100,0.96
BASE_MEMIT,7,2,RS,97,100,0.97
BASE_MEMIT,7,3,RS,98,100,0.98
BASE_MEMIT,7,4,RS,99,100,0.99
BASE_MEMIT,7,5,RS,100,100,1.0
BASE_MEMIT,7,6,RS,100,100,1.0
BASE_MEMIT,7,7,RS,99,100,0.99
BASE_MEMIT,8,1,RS,96,100,0.96
BASE_MEMIT,8,2,RS,95,100,0.95
BASE_MEMIT,8,3,RS,98,100,0.98
BASE_MEMIT,8,4,RS,99,100,0.99
BASE_MEMIT,8,5,RS,100,100,1.0
BASE_MEMIT,8,6,RS,100,100,1.0
BASE_MEMIT,8,7,RS,99,100,0.99
BASE_MEMIT,8,8,RS,100,100,1.0
BASE_MEMIT,9,1,RS,92,100,0.92
BASE_MEMIT,9,2,RS,93,100,0.93
BASE_MEMIT,9,3,RS,96,100,0.96
BASE_MEMIT,9,4,RS,99,100,0.99
BASE_MEMIT,9,5,RS,100,100,1.0
BASE_MEMIT,9,6,RS,100,100,1.0
BASE_MEMIT,9,7,RS,100,100,1.0
BASE_MEMIT,9,8,RS,99,100,0.99
BASE_MEMIT,9,9,RS,100,100,1.0
BASE_MEMIT,10,1,RS,84,100,0.84
BASE_MEMIT,10,2,RS,90,100,0.9
BASE_MEMIT,10,3,RS,90,100,0.9
BASE_MEMIT,10,4,RS,98,100,0.98
BASE_MEMIT,10,5,RS,93,100,0.93
BASE_MEMIT,10,6,RS,97,100,0.97
BASE_MEMIT,10,7,RS,98,100,0.98
BASE_MEMIT,10,8,RS,99,100,0.99
BASE_MEMIT,10,9,RS,100,100,1.0
BASE_MEMIT,10,10,RS,100,100,1.0
BASE_MEMIT,11,1,RS,75,100,0.75
BASE_MEMIT,11,2,RS,83,100,0.83
BASE_MEMIT,11,3,RS,83,100,0.83
BASE_MEMIT,11,4,RS,91,100,0.91
BASE_MEMIT,11,5,RS,86,100,0.86
BASE_MEMIT,11,6,RS,92,100,0.92
BASE_MEMIT,11,7,RS,93,100,0.93
BASE_MEMIT,11,8,RS,95,100,0.95
BASE_MEMIT,11,9,RS,100,100,1.0
BASE_MEMIT,11,10,RS,100,100,1.0
BASE_MEMIT,11,11,RS,99,100,0.99
BASE_MEMIT,12,1,RS,70,100,0.7
BASE_MEMIT,12,2,RS,69,100,0.69
BASE_MEMIT,12,3,RS,69,100,0.69
BASE_MEMIT,12,4,RS,78,100,0.78
BASE_MEMIT,12,5,RS,77,100,0.77
BASE_MEMIT,12,6,RS,83,100,0.83
