arm,display,family,blue,layers,L2,mom2_update_weight,v_weight_decay,v_lr,v_num_grad_steps,v_loss_layer,clamp_norm_factor,seed,target_policy,divisor,model_revision,dtype,native_scalar_policy,context_sha256
MEMIT_ORIGINAL,MEMIT_BLUE (L4+L8),MEMIT,True,"[4, 8]",NA,15000,0.5,0.1,25,31,0.75,20260907,"current W at each selected layer, once/request/layer",1,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,torch.float32,MEMIT solve FP64; AlphaEdit native FP32; unchanged,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191
AlphaEdit_ORIGINAL,AlphaEdit_BLUE (L4+L8),AlphaEdit,True,"[4, 8]",1,15000,0.5,0.1,25,31,0.75,20260907,"current W at each selected layer, once/request/layer",1,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,torch.float32,MEMIT solve FP64; AlphaEdit native FP32; unchanged,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191
MEMIT_L4_ONLY,MEMIT_BLUE_L4_ONLY,MEMIT,True,[4],NA,15000,0.5,0.1,25,31,0.75,20260907,"current W at each selected layer, once/request/layer",1,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,torch.float32,MEMIT solve FP64; AlphaEdit native FP32; unchanged,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191
AlphaEdit_L4_ONLY,AlphaEdit_BLUE_L4_ONLY,AlphaEdit,True,[4],1,15000,0.5,0.1,25,31,0.75,20260907,"current W at each selected layer, once/request/layer",1,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,torch.float32,MEMIT solve FP64; AlphaEdit native FP32; unchanged,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191
MEMIT_L8_ONLY,MEMIT_BLUE_L8_ONLY,MEMIT,True,[8],NA,15000,0.5,0.1,25,31,0.75,20260907,"current W at each selected layer, once/request/layer",1,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,torch.float32,MEMIT solve FP64; AlphaEdit native FP32; unchanged,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191
AlphaEdit_L8_ONLY,AlphaEdit_BLUE_L8_ONLY,AlphaEdit,True,[8],1,15000,0.5,0.1,25,31,0.75,20260907,"current W at each selected layer, once/request/layer",1,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,torch.float32,MEMIT solve FP64; AlphaEdit native FP32; unchanged,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191
MEMIT_L5_ONLY,MEMIT_BLUE_L5_ONLY,MEMIT,True,[5],NA,15000,0.5,0.1,25,31,0.75,20260907,"current W at each selected layer, once/request/layer",1,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,torch.float32,MEMIT solve FP64; AlphaEdit native FP32; unchanged,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191
AlphaEdit_L5_ONLY,AlphaEdit_BLUE_L5_ONLY,AlphaEdit,True,[5],1,15000,0.5,0.1,25,31,0.75,20260907,"current W at each selected layer, once/request/layer",1,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,torch.float32,MEMIT solve FP64; AlphaEdit native FP32; unchanged,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191
MEMIT_L6_ONLY,MEMIT_BLUE_L6_ONLY,MEMIT,True,[6],NA,15000,0.5,0.1,25,31,0.75,20260907,"current W at each selected layer, once/request/layer",1,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,torch.float32,MEMIT solve FP64; AlphaEdit native FP32; unchanged,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191
AlphaEdit_L6_ONLY,AlphaEdit_BLUE_L6_ONLY,AlphaEdit,True,[6],1,15000,0.5,0.1,25,31,0.75,20260907,"current W at each selected layer, once/request/layer",1,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,torch.float32,MEMIT solve FP64; AlphaEdit native FP32; unchanged,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191
MEMIT_L7_ONLY,MEMIT_BLUE_L7_ONLY,MEMIT,True,[7],NA,15000,0.5,0.1,25,31,0.75,20260907,"current W at each selected layer, once/request/layer",1,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,torch.float32,MEMIT solve FP64; AlphaEdit native FP32; unchanged,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191
AlphaEdit_L7_ONLY,AlphaEdit_BLUE_L7_ONLY,AlphaEdit,True,[7],1,15000,0.5,0.1,25,31,0.75,20260907,"current W at each selected layer, once/request/layer",1,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2,torch.float32,MEMIT solve FP64; AlphaEdit native FP32; unchanged,cf14b8571136b0413ded1ea8aa283a004ecbddbd818a6a8744b0296b63f72191
