arm,batch,scope,metric,numerator,denominator,rate,request_denominator,pair_strict_num,ties,bit_order_sha256,new_nll_prompt_n,new_nll_prompt_mean,new_nll_prompt_median,new_nll_prompt_q25,new_nll_prompt_q75,new_nll_prompt_p90,new_nll_prompt_max,new_nll_request_n,new_nll_request_mean,new_nll_request_median,new_nll_request_q25,new_nll_request_q75,new_nll_request_p90,new_nll_request_max,new_strict_num,new_strict_den,new_token_correct,new_token_den,true_nll_prompt_n,true_nll_prompt_mean,true_nll_prompt_median,true_nll_prompt_q25,true_nll_prompt_q75,true_nll_prompt_p90,true_nll_prompt_max,true_nll_request_n,true_nll_request_mean,true_nll_request_median,true_nll_request_q25,true_nll_request_q75,true_nll_request_p90,true_nll_request_max,true_strict_num,true_strict_den,true_token_correct,true_token_den,margin_prompt_n,margin_prompt_mean,margin_prompt_median,margin_prompt_q25,margin_prompt_q75,margin_prompt_p90,margin_prompt_max,margin_request_n,margin_request_mean,margin_request_median,margin_request_q25,margin_request_q75,margin_request_p90,margin_request_max,arm_display_label,validation_origin,new_nll_prompt_p99,new_nll_request_p99,true_nll_prompt_p99,true_nll_request_p99,margin_prompt_p99,margin_request_p99
AlphaEdit_ORIGINAL,70,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,PS,13478,14000,0.9627142857142857,7000,6583,0,4c39500f5d17a141be7a139fd4e634e6500aef7daceed978f4dcc00933987eea,14000,1.5496152438201913,0.3313613533973694,0.04277021624147892,2.0987786650657654,4.885839748382568,25.720157623291016,7000,1.5496152438201913,0.6942281643860042,0.10929456225130707,2.236511252820492,4.034382116794589,22.393515586853027,9515,14000,9726,14212,14000,9.980177123152192,9.811784267425537,7.274558067321777,12.434921264648438,15.00058946609497,31.58766746520996,7000,9.980177123152192,9.806287288665771,7.55824077129364,12.186853289604187,14.458469915390015,28.947810173034668,83,14000,236,14180,14000,8.430561879332,8.424758192151785,5.309071318246424,11.527487009763718,14.438316929619761,31.587641001098746,7000,8.430561879332,8.415720470715314,5.6757152155041695,11.218508444260806,13.786827240677672,28.947573116035528,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE,,,,,,
AlphaEdit_ORIGINAL,70,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,NS,47073,70000,0.6724714285714286,7000,1573,0,54ce130561b89f1808b2a8936290748a4e8748d4dda88042e99ac71b431b1161,70000,8.35985074618242,8.356216430664062,5.62712299823761,11.043326377868652,13.4642897605896,29.845544815063477,7000,8.35985074618242,8.298347979784012,6.190874019265175,10.429225087165833,12.220412006378174,19.69818172454834,3336,70000,4314,71060,70000,6.461397815957561,6.189559698104858,3.524282932281494,8.976850509643555,11.546785449981689,32.2005615234375,7000,6.46139781595756,6.252091962099076,4.560965147614479,8.08746110200882,9.891212353706361,18.74246997833252,6799,70000,7644,70900,70000,-1.8984529302248598,-1.9335079789161682,-4.997808456420898,1.0631195306777954,4.021418166160583,21.69050335983411,7000,-1.8984529302248598,-1.9751948863267899,-4.162231862545013,0.24170994460582734,2.4954753938317324,12.777823099680244,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE,,,,,,
AlphaEdit_ORIGINAL,80,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,RS,7941,8000,0.992625,8000,7941,0,dc258e0f9e98ad7d64aeb6274e3367d064727e94e5f4e43c9df800c31ab1e615,8000,0.2862246158856784,0.004128801869228482,0.00145898072514683,0.01393252913840115,0.08178991898894328,27.280254364013672,8000,0.2862246158856784,0.004128801869228482,0.00145898072514683,0.01393252913840115,0.08178991898894328,27.280254364013672,7707,8000,7834,8127,8000,13.24395865340531,12.999748706817627,10.304950714111328,15.963646173477173,18.70247001647949,29.90413475036621,8000,13.24395865340531,12.999748706817627,10.304950714111328,15.963646173477173,18.70247001647949,29.90413475036621,9,8000,88,8105,8000,12.95773403751963,12.881977427867241,10.056888215243816,15.873291479307227,18.647186083951965,29.904133439064935,8000,12.95773403751963,12.881977427867241,10.056888215243816,15.873291479307227,18.647186083951965,29.904133439064935,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE,,,,,,
AlphaEdit_ORIGINAL,80,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,PS,15375,16000,0.9609375,8000,7500,0,43ca31ffeb223983144fa81fe4b22b8bed2dd8c77d97b228dab70b47a85ab7fd,16000,1.568124703711492,0.34373897314071655,0.044166985899209976,2.096030354499817,4.870251607894898,24.794858932495117,8000,1.568124703711492,0.7242339216172695,0.11551455897279084,2.21511666290462,4.062688073143363,21.96455955505371,10830,16000,11079,16254,16000,9.96226981403344,9.752501010894775,7.265370488166809,12.371626377105713,15.001562404632569,28.737110137939453,8000,9.96226981403344,9.763565301895142,7.524703919887543,12.185092806816101,14.503974580764773,28.21685791015625,96,16000,269,16210,16000,8.394145110321949,8.39688156475313,5.28312080912292,11.513549914583564,14.425746744603384,28.737019662185048,8000,8.394145110321949,8.374633410945535,5.62708033900708,11.179528744891286,13.79557984888088,28.21676946077787,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE,,,,,,
AlphaEdit_ORIGINAL,80,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,NS,52563,80000,0.6570375,8000,1639,0,78342dc289e10ff99a2063d3b9b2b19d7a5c1334929539fe28d8f6086f8b46fc,80000,8.359781412341581,8.356933116912842,5.571525931358337,11.077150821685791,13.487462902069092,29.29486846923828,8000,8.359781412341583,8.29835650920868,6.2055221907794476,10.423874878883362,12.23002636909485,19.49379768371582,3877,80000,5037,81270,80000,6.6557597143394975,6.399886131286621,3.707426071166992,9.17580509185791,11.780184745788574,30.057397842407227,8000,6.655759714339498,6.4996578931808475,4.760569001734257,8.324957978725433,10.080024251937866,18.37869815826416,7318,80000,8266,81050,80000,-1.7040216980020846,-1.7493267059326172,-4.78358781337738,1.2368459701538086,4.222018718719482,22.98485521413386,8000,-1.7040216980020846,-1.7814450224861502,-3.9649189710617065,0.3816202223300934,2.759126307964328,11.858212003298103,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE,,,,,,
AlphaEdit_ORIGINAL,90,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,RS,8919,9000,0.991,9000,8919,0,c4f4eff5d266ac1e45e687820a220b04be38a5e46335983e97c2a2d4f662cc10,9000,0.33414080179963096,0.005061431787908077,0.001685241615632549,0.020057006739079952,0.13047321587800986,25.528587341308594,9000,0.33414080179963096,0.005061431787908077,0.001685241615632549,0.020057006739079952,0.13047321587800986,25.528587341308594,8601,9000,8746,9145,9000,13.012300830990904,12.77038049697876,10.10004186630249,15.753557205200195,18.493900871276857,30.87751579284668,9000,13.012300830990904,12.77038049697876,10.10004186630249,15.753557205200195,18.493900871276857,30.87751579284668,10,9000,102,9114,9000,12.678160029191273,12.612114926218055,9.802209882618627,15.64360241178656,18.43053312629636,30.8771307017887,9000,12.678160029191273,12.612114926218055,9.802209882618627,15.64360241178656,18.43053312629636,30.8771307017887,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE,,,,,,
AlphaEdit_ORIGINAL,90,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,PS,17290,18000,0.9605555555555556,9000,8424,0,e10a6b4232c7eb8fc3fd22f6a7f935c95129f4339af4c0b85863407776227284,18000,1.6245735350785615,0.38452158868312836,0.04983010608702898,2.173355221748352,5.021347332000733,23.880107879638672,9000,1.6245735350785615,0.7501499429345131,0.12689097807742655,2.3090938962996006,4.1992688652128,21.740772247314453,12068,18000,12350,18290,18000,9.915126492108174,9.717298984527588,7.25419008731842,12.333262205123901,14.93154401779175,28.575393676757812,9000,9.915126492108174,9.738115787506104,7.509839177131653,12.145004510879517,14.430797910690307,27.676487922668457,98,18000,277,18228,18000,8.290552957029611,8.283167067915201,5.177295722067356,11.405834985547699,14.289828629861585,28.574462251679506,9000,8.290552957029611,8.238584209233522,5.549944004043937,11.080042112851515,13.674682357697748,27.67637033209394,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE,,,,,,
AlphaEdit_ORIGINAL,90,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,NS,58275,90000,0.6475,9000,1753,0,e4108258052c130953cf4dafc8481d91178f0b657bb183845a989183c4beddaa,90000,8.35660060494995,8.351259708404541,5.587688565254211,11.056559324264526,13.477543640136723,29.39556312561035,9000,8.35660060494995,8.301894521713256,6.22357251085341,10.360188275575638,12.19990990638733,20.223916625976564,4429,90000,5725,91450,90000,6.803459166117053,6.548999071121216,3.871512770652771,9.339139699935913,11.950269508361819,31.17774772644043,9000,6.803459166117051,6.640413457155228,4.925262582488358,8.454706872999669,10.292502727508547,19.674988269805908,7373,90000,8346,91140,90000,-1.553141438832898,-1.6177802085876465,-4.605102062225342,1.3331928253173828,4.3574481010437065,27.35077733360231,9000,-1.553141438832898,-1.6573427766561508,-3.80044422596693,0.5085264399647713,2.8449444764852534,11.612949689105154,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE,,,,,,
AlphaEdit_ORIGINAL,100,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,RS,9888,10000,0.9888,10000,9888,0,c7b1b2fec0828b417d3e0a715059f2ab95bac9b3823dee47d1df5e5920be05ed,10000,0.3853376517310731,0.006037257611751556,0.0018978277803398669,0.027346559800207615,0.22351100891828554,25.81119155883789,10000,0.3853376517310731,0.006037257611751556,0.0018978277803398669,0.027346559800207615,0.22351100891828554,25.81119155883789,9465,10000,9626,10163,10000,12.803855611605476,12.605580806732178,9.840566635131836,15.525844097137451,18.345563888549805,30.7008113861084,10000,12.803855611605476,12.605580806732178,9.840566635131836,15.525844097137451,18.345563888549805,30.7008113861084,14,10000,108,10127,10000,12.418517959874404,12.41675917437533,9.516213778842939,15.417676163167926,18.28153673107736,30.700756074525998,10000,12.418517959874404,12.41675917437533,9.516213778842939,15.417676163167926,18.28153673107736,30.700756074525998,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE,,,,,,
AlphaEdit_ORIGINAL,100,CHECKPOINT_FINAL_W_ON_ALL_SEEN_REQUESTS,PS,19155,20000,0.95775,10000,9317,0,21bdb8a9be435bac6cb045ed4bc1451822d0f38ba15369907e85bae56416612f,20000,1.689226120346938,0.42386993765830994,0.05392592679709196,2.2894381880760193,5.144316244125373,26.038330078125,10000,1.689226120346938,0.8143153935670853,0.14549152832478285,2.4156486354768276,4.357763000810519,21.674957275390625,13229,20000,13540,20326,20000,9.86399906289459,9.654114246368408,7.178765535354614,12.320239305496216,14.866344261169441,29.442197799682617,10000,9.86399906289459,9.662359476089478,7.469042897224426,12.102221965789795,14.36272044181824,26.815227508544922,122,20000,312,20254,20000,8.174772942547651,8.164853930473328,5.02187442779541,11.325753830373287,14.257254120707515,29.442188024569077,10000,8.174772942547651,8.17287933838088,5.422860562801361,10.968190041632624,13.669140646606683,26.814698678943387,AlphaEdit_BLUE (L4+L8),REUSED_V3_AGGREGATE,,,,,,
