arm_before,arm_after,comparison,batch,metric,before_num,after_num,denominator,rate_delta,new_nll_prompt_mean_delta,new_nll_prompt_median_delta,new_nll_prompt_p90_delta,new_nll_prompt_max_delta,true_nll_prompt_mean_delta,true_nll_prompt_median_delta,true_nll_prompt_p90_delta,true_nll_prompt_max_delta,margin_prompt_mean_delta,margin_prompt_median_delta,margin_prompt_p90_delta,margin_prompt_max_delta
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,1,RS,100,95,100,-0.050000000000000044,0.6239235289449698,0.015139219467528164,1.994045986793937,10.643524929881096,-3.8192149066925047,-4.131969451904297,-4.8192523956298885,-2.6579723358154297,-4.443138435637476,-4.339375446084887,-4.8463534873692,-2.6592634890721456
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,1,PS,185,168,200,-0.08500000000000008,1.0530275323509704,0.9201925098896027,2.43563857078552,-2.1414947509765625,-1.5747848728671663,-1.5817627906799316,-1.4947054862976046,-1.6064586639404297,-2.6278124052181377,-2.1149557896424085,-3.466927029937505,-1.6077990920748562
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,1,NS,879,882,1000,0.0030000000000000027,0.04827876639366124,0.017865657806396484,0.038142013549801845,0.02114105224609375,0.028175852728134387,0.04799485206604004,0.00525941848755096,0.12922096252441406,-0.020102913665526856,-0.02021002769470215,-0.08854513168334938,-0.056833744049072266
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,5,RS,499,479,500,-0.040000000000000036,0.44704566079909364,0.005705302348360419,0.4005645580589772,12.188797950744629,-2.4454975294061008,-1.7577753067016602,-3.004589843749997,-5.7051544189453125,-2.8925431902051937,-1.8091990462562535,-3.00853772953851,-5.705356427002698
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,5,PS,934,874,1000,-0.06000000000000005,0.8567563757560275,0.7070026248693466,1.9525032043457031,-0.4082450866699219,-1.461360265745025,-1.291151523590088,-2.0378078460693363,-2.560270309448242,-2.318116641501053,-1.748863528482616,-2.511418728996068,-2.612243595533073
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,5,NS,4347,4371,5000,0.0048000000000000265,0.04861013297168526,0.04478931427001953,0.16056823730468395,-2.004667282104492,-0.03516213369362475,0.017765522003173828,-0.12352428436278728,-6.937849044799805,-0.08377226666531001,-0.08486869931221008,-0.143011951446532,-10.222974648699164
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,10,RS,995,968,1000,-0.027000000000000024,0.19052539435373045,0.00373740226496011,0.12785436976701023,-5.2967634201049805,-1.9269638816220684,-1.5239686965942383,-2.6082511901855483,-5.547616958618164,-2.1174892759757995,-1.5004189014434814,-2.627176628098823,-5.547941122415068
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,10,PS,1899,1812,2000,-0.04349999999999998,0.669732046040832,0.5026823580265045,1.7976757526397709,1.1756706237792969,-1.410158142794156,-1.2744169235229492,-1.914049625396732,-4.955163955688477,-2.079890188834989,-1.8675821274518967,-2.6308361805422447,-5.001292859436944
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,10,NS,8507,8582,10000,0.007499999999999951,-0.05484570655694654,-0.13866186141967773,-0.14218797683715856,-3.1991405487060547,-0.10388094313060314,0.012542009353637695,-0.2826048851013194,-4.184392929077148,-0.049035236573655716,0.007869720458984375,-0.2897059440612758,-8.231406456790864
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,20,RS,1988,1959,2000,-0.014499999999999957,0.1119467976613148,0.0037393253296613693,0.12890066727995914,-3.486536979675293,-1.7986191728585403,-1.642402172088623,-2.6409454345703125,-7.327768325805664,-1.910565970519853,-1.6374468910944415,-2.6751006571575964,-7.328944256696559
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,20,PS,3823,3696,4000,-0.031749999999999945,0.44061377205152374,0.37663187086582184,0.9780862808227537,-2.1789302825927734,-1.8072998474265916,-1.6442418098449707,-2.6564674377441406,-5.551185607910156,-2.2479136194781155,-2.0466734021902084,-3.059870373341253,-5.601559842529241
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,20,NS,15943,16213,20000,0.013499999999999956,-0.46373761253960666,-0.5129060745239258,-0.8528639793396202,-3.5119247436523438,-0.35462120047812284,-0.30059123039245605,-0.8899361610412555,-6.751651763916016,0.10911641206148381,0.09940207004547119,-0.45092658698558585,-6.128645795513876
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,30,RS,2962,2940,3000,-0.007333333333333303,-0.031179382157001334,0.005953545914962888,0.13561336398124663,-8.100255966186523,-1.9264210348527993,-1.825098991394043,-2.5651470184326186,-3.307931900024414,-1.8952416526957965,-1.7641536056762561,-2.4525070766219876,-3.3078725396626396
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,30,PS,5690,5574,6000,-0.019333333333333313,0.15475832315359583,0.3566911444067955,-0.20821657180786257,-0.5353755950927734,-2.294377816902271,-2.2541747093200684,-3.4619459152221665,-5.104736328125,-2.449136140055865,-2.397304139100015,-3.7196196667835455,-5.11727579124306
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,30,NS,22196,22742,30000,0.018199999999999994,-1.0829905166540996,-1.1041278839111328,-1.925146293640136,-3.43695068359375,-0.7630963628184029,-0.7399098873138428,-1.7475943565368635,-10.99749755859375,0.3198941538356972,0.3307986259460449,-0.878881645202636,-6.406827055849135
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,40,RS,3896,3928,4000,0.008000000000000007,-0.3362551575898044,0.005508471745997667,-1.3850284695625295,-7.60353946685791,-1.8222411396086677,-1.8593711853027344,-2.6513177871704094,-2.7303924560546875,-1.4859859820188621,-1.5843004037160426,-2.5687873792136102,-2.7309399138539447
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,40,PS,7506,7477,8000,-0.0036249999999999893,-0.16415450508102802,0.2895962670445442,-1.108036565780644,-4.511020660400391,-2.6359978829221298,-2.683720588684082,-4.072797393798828,-6.3529205322265625,-2.471843377841104,-2.5422751223668456,-4.331152972020213,-6.353676384111168
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,40,NS,27664,28696,40000,0.025800000000000045,-1.6902403743329906,-1.733543872833252,-2.8397106170654283,-5.937017440795898,-1.4833156191396553,-1.495619773864746,-2.926443195343019,-9.687000274658203,0.2069247551933353,0.1827201247215271,-1.3665061220526682,-5.787938120782201
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,50,RS,4679,4885,5000,0.041200000000000014,-1.0107784132947808,-0.0198261309415102,-4.624794483184815,-5.975837707519531,-0.992372986224666,-1.0684356689453125,-1.8236368179321225,-2.612833023071289,0.018405427070113944,-0.28655630350112915,-1.6088325697812245,-2.613266545085935
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,50,PS,9005,9371,10000,0.03660000000000008,-0.8574861111395919,-0.05388347804546356,-2.840926933288576,-3.3214797973632812,-2.284380860691819,-2.3546175956726074,-3.801426601409913,-2.3322486877441406,-1.426894749552229,-1.5649663179647177,-3.652279209521655,-2.3332203571299033
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,50,NS,32416,34251,50000,0.036699999999999955,-1.937045708040202,-1.9695332050323486,-3.2812693595886238,-5.062282562255859,-1.9825679318806362,-2.1178064346313477,-3.433328723907472,-6.399070739746094,-0.045522223840434695,-0.12896966934204102,-1.508091223239902,-10.629321966340285
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,60,RS,4511,5814,6000,0.21716666666666662,-3.91295622221809,-3.19826434366405,-9.326986932754508,-10.324947357177734,0.9314473880249778,0.9860110282897949,-0.10125703811645614,-10.911270141601562,4.844403610243066,5.003194769844413,1.9224578111155992,-10.911357875255362
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,60,PS,8656,11179,12000,0.21024999999999994,-3.609510323783838,-4.1528559029102325,-6.599427413940429,-10.344244003295898,-0.19951905836496664,-0.2436814308166504,-1.0556468963623047,-1.913351058959961,3.4099912654188698,3.77198925614357,1.5176990755833675,-1.9111022721335758
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,60,NS,37773,38977,60000,0.020066666666666566,-2.3518482154752833,-2.3403820991516113,-3.8012060165405295,-6.635477066040039,-2.316217258361405,-2.5046441555023193,-3.8609956741332994,-7.933620452880859,0.03563095711387798,-0.03834909200668335,-1.1713719844818096,-8.303997817527488
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,70,RS,4944,6659,7000,0.245,-3.7005574748491323,-3.8047737665474415,-7.290973281860351,-5.062835693359375,1.3083648075891627,1.4279804229736328,0.8292170524597129,-13.82056999206543,5.008922282438294,5.718674182891846,2.668596437590894,-13.820582628170087
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,70,PS,9673,12854,14000,0.2272142857142857,-3.535988208682882,-4.362836927175522,-5.607536983489991,1.2380180358886719,0.30931821955609173,0.3570895195007324,0.06773748397827184,-4.03291130065918,3.845306428238972,4.1837178170681,2.67146144066937,-0.28114556513901334
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,70,NS,41283,44139,70000,0.04079999999999995,-1.4534964478687078,-1.4124245643615723,-2.2899624824523936,-7.295879364013672,-1.7539434395262825,-1.9510912895202637,-2.4509865760803233,-7.520318984985352,-0.3004469916575716,-0.36842918395996094,-0.6924336642026896,0.3311187162216811
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,80,RS,5635,7372,8000,0.217125,-3.9660397580051234,-4.626470983028412,-7.175957965850828,-3.053831100463867,-0.3384919957781385,-0.4055056571960449,-0.7937544822692857,0.5279941558837891,3.6275477622269854,4.434728264808655,0.7905299527366889,0.5283929448796698
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,80,PS,10777,14338,16000,0.2225625,-4.0939598662315575,-5.279614061117172,-6.313361740112305,-1.0155963897705078,-0.7628801323937591,-0.8386387825012207,-1.0900967597961433,-2.5781078338623047,3.331079733837797,3.804522454738617,1.7001612972468134,-0.020215953147271648
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,80,NS,43342,47897,80000,0.056937499999999974,-2.18733825304042,-2.4202651977539062,-2.9784608840942415,-6.537160873413086,-2.7796581833542584,-2.986804485321045,-3.629257488250733,0.3609352111816406,-0.5923199303138372,-0.569397509098053,-1.3017298728227606,-0.16110337086138315
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,90,RS,6444,7814,9000,0.15222222222222226,-3.1734040607020217,-3.9904218912124634,-5.707619571685791,-1.6538333892822266,-0.8073959739729109,-0.9220366477966309,-0.8318147659301758,5.06074333190918,2.36600808672911,2.784286502748728,0.990494918148034,5.060856686694024
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,90,PS,12186,15419,18000,0.17961111111111105,-3.99757025087606,-5.309485733509064,-5.823339080810547,-0.6114158630371094,-1.278074129293156,-1.4416389465332031,-1.1063658714294426,-1.4669265747070312,2.719496121582904,3.0734559297561646,1.9738785460591313,-1.2967964369909168
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,90,NS,48285,51877,90000,0.03991111111111112,-2.17847624346474,-2.4062912464141846,-2.995659065246583,0.2937469482421875,-2.5541444581307857,-2.7901971340179443,-3.4438358306884744,-5.758157730102539,-0.3756682146660451,-0.39200925827026367,-0.9409474372863773,-2.8812983036125956
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,100,RS,7183,7722,10000,0.05389999999999995,-1.7466450982734822,-1.934606671333313,-3.501106929779054,-4.8365325927734375,-1.5620795377001633,-1.7573084831237793,-2.1075568199157733,-1.676736831665039,0.1845655605733194,0.12036272138357162,-1.1764756712364068,-1.6769960781967086
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,100,PS,13530,14966,20000,0.07179999999999997,-2.400202524424082,-3.0427639484405518,-3.530714321136477,-7.8343048095703125,-1.7676074797778618,-1.8837776184082031,-2.1270760536193887,-3.088319778442383,0.6325950446462199,0.7822698354721069,-0.3051736938767142,-3.088401313972554
MEMIT_ORIGINAL,MEMIT_L4_ONLY,WITHIN_MEMIT,100,NS,53287,57848,100000,0.04561000000000004,-1.6969888516970144,-1.8058099746704102,-2.5059515953063976,-6.894773483276367,-2.123092400096221,-2.277427911758423,-2.8991954803466804,-9.235984802246094,-0.42610354839920794,-0.4163503646850586,-1.162920671701431,-5.866063724308333
MEMIT_ORIGINAL,MEMIT_L8_ONLY,WITHIN_MEMIT,1,RS,100,75,100,-0.25,2.1877364218016284,0.6453768416540697,6.2680356761440645,15.049758717417717,-8.442312063788997,-9.293241739273071,-9.733058261871337,-11.560933113098145,-10.630048485590624,-11.222187116509303,-11.073515374238196,-11.952115528288232
MEMIT_ORIGINAL,MEMIT_L8_ONLY,WITHIN_MEMIT,1,PS,185,97,200,-0.44000000000000006,3.406188792601461,4.371292382478714,5.216470003128051,0.8562355041503906,-4.3112324502225965,-4.554332971572876,-4.71858854293823,-5.9067535400390625,-7.717421242824057,-8.041408732533455,-7.64723670706153,-11.03436804865487
MEMIT_ORIGINAL,MEMIT_L8_ONLY,WITHIN_MEMIT,1,NS,879,880,1000,0.0010000000000000009,-0.0884949287623158,-0.12483930587768555,-0.160455513000489,0.05022621154785156,-0.09879297297395517,-0.10562944412231445,-0.2845090866088853,-0.3386859893798828,-0.01029804421163849,-0.008669614791870117,-0.040734124183655074,0.7184469699859619
MEMIT_ORIGINAL,MEMIT_L8_ONLY,WITHIN_MEMIT,5,RS,499,457,500,-0.08399999999999996,0.9416396889228644,0.07141279079951346,2.860027045756579,10.549242973327637,-5.989292646629736,-5.9734437465667725,-6.467713928222658,-6.704074859619141,-6.9309323355526,-6.402222902077483,-6.506006392999552,-6.706689940649085
