arm,batch,target_count,target_order_sha256,status
MEMIT_L5_ONLY,23,100,80bd4895fc389e4e2c6bdab0729e92479c06d766c34d514cb7b42121ecc1d64f,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,24,100,893ca928b1514efa7c10bbdaca3870970451e63b6503707d19096cd0bd9d1678,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,25,100,9f7ba5d129c8361ddf70a4c2e619b8fe13ae57a378e03a455f96f8e00236c008,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,26,100,e9c0682b6dd6f40aac7660156cda147c0236d7ecddcfcb51b455d7016cdeddea,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,27,100,342d188fbed57b3b868c2dd66fc383d141395e124454fb8f0545ffc4fbddac35,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,28,100,a4f0d3780e876a90fc0bf935feb0b0e918e935c0e55fee15a4bd9b47794324db,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,29,100,c118afa2860e76971dce7269e2780fa1c1fba0ef927cec637bd28e59112420af,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,30,100,82af4be1d10a5c17bbe3cea5349e3d3c5fb0ab76f5e2f97485db3b143a0cf2fb,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,31,100,c42099396cb92d08fcca3b3af208da225c804fbfff3bddf39ecc173ac2251f68,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,32,100,02cfd41c0b2b37feddaf20bae75b4a60aa0887928bab63310453955717b1e1d9,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,33,100,a0bae1c49faf6b01f0239a528ff568cb8df78d1bc692eaa483813cac75d4f22b,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,34,100,8ab4141d057f19c4bcb81b462c29c0acd3487b4dfb729e49d77612a402649fca,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,35,100,554ea0d3c4af16e535a47af17f390514431f2f82c0088ba57d63e3878954efb9,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,36,100,418db8c75b59c61677cd719bffa4d15d69c66f31f44e2c2b8ac52dd403b6b287,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,37,100,f8090a52eefbf6d36835b1b0b8ad8707939dfa13f01748d0607ea04e0c60164d,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,38,100,844a0e1036ce472b9962d55f8dea91cc864f912a57e7daf6a86e13b5670188b5,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,39,100,77514e17d299df3ff6167ed64206a94802dba0d209df632507434545f4ffd721,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,40,100,4a745ea0e1235d1c33ccdb8b1f413a2df09f9aa2e73ab11fac68168b8bb95f0d,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,41,100,d391388b4c543a8e24142572188120a40ccc6be14b1208f14d2ca61fd2249d37,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,42,100,32b7b7db0b800a4945bb8cd102b159e3870030d32d3c91f09354d4f27811d1cf,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,43,100,1cc03bba7bf59feaaf694744fe9909ea4df81147ad84812d353b0ccbb374e9bd,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,44,100,5e20af03c1a9f320809098ca8106d8e1b94ee2e2bdc9dacecc8ba2a299e5fefd,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,45,100,b3f19af425815ab2b67ee10012d8c93edaed808986b5b05488e7fe9b894c9f3d,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,46,100,fc4bd09204b69686d45f994dcde1cd0536735a6bd17b7afba1f69b383794568d,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,47,100,3dab297c429d868a701073c4ee61c6a8ceaaed568698c78f160781b3d37f7677,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,48,100,622cab5bec8bf0e8b8496af8e5ef9f3975255479efc72a960683c47b00020b85,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,49,100,dbbe624f87d7bf4db28f83a9d0cd9f373d681a506b1150a3638d8eed173ea3b6,CPU_TENSOR_HASH_FINITE_PASS
