arm,job,gpu_hours,wall_seconds,raw_bytes,checkpoint_bytes,peak_gpu_bytes,edit_seconds,target_seconds,key_seconds,solve_seconds,evaluation_seconds,compute_z,solve_calls,history_append_passes,unseparated_load_snapshot_io_guard_seconds,pure_snapshot_history_seconds,native_JVP_calls
MEMIT_ORIGINAL,39307,11.620833333333334,41823.8216483295,6415053320,5637576844,38872490496,31170.734598169103,29855.74231622182,740.5891070496291,285.25417795125395,10210.288902437314,20000.0,200.0,0.0,442.7981477230787,NOT_RECORDED,NOT_RECORDED; source no JV controller
AlphaEdit_ORIGINAL,39283_1,12.045,43328.885328164324,26144966333,25367575948,38082036224,31365.36128424853,29511.653906204738,1488.8987352615222,24.095407034270465,10933.360596477985,20000.0,200.0,100.0,1030.163447437808,NOT_RECORDED,NOT_RECORDED; source no JV controller
MEMIT_L4_ONLY,39283_2,10.62888888888889,38256.48929666635,3426800674,2818997372,38150750720,27969.14431391377,27303.455227335915,370.18784159142524,142.63563933875412,10051.138437278569,10000.0,100.0,0.0,236.20654547400773,NOT_RECORDED,NOT_RECORDED; source no JV controller
AlphaEdit_L4_ONLY,39283_3,10.93361111111111,39345.71154167317,13291871756,12683997116,37845516800,28456.626527234912,27532.751942359842,739.5947526916862,11.996771851554513,10344.382820613682,10000.0,100.0,100.0,544.7021938245744,NOT_RECORDED,NOT_RECORDED; source no JV controller
MEMIT_L8_ONLY,39283_4,7.023333333333333,25278.599078647792,3426748965,2818997372,38150750720,14996.077920552343,14335.641536380164,371.01723611634225,142.64078564196825,10048.558349677362,10000.0,100.0,0.0,233.96280841808766,NOT_RECORDED,NOT_RECORDED; source no JV controller
AlphaEdit_L8_ONLY,39283_5,8.593055555555555,30920.40650258027,13291893404,12683997116,37845516800,20007.377476076595,19084.089794377796,740.0743519552052,11.999103737063706,10370.328343489207,10000.0,100.0,100.0,542.7006830144674,NOT_RECORDED,NOT_RECORDED; source no JV controller
MEMIT_L5_ONLY,40441,9.847777777777777,35446.18510360643,3426699084,2819000124,38150750720,25210.7841119254,24550.810751791112,370.15980926621705,142.63721699640155,10008.314535398968,10000.0,100.0,0.0,227.08645628206432,NOT_RECORDED,NOT_RECORDED; source no JV controller
AlphaEdit_L5_ONLY,40442,10.750277777777777,38686.29726249352,13291785654,12683999804,37844804096,27946.22630077321,27024.954995732754,739.4037486296147,11.989041845314205,10252.75258593075,10000.0,100.0,100.0,487.3183757895604,NOT_RECORDED,NOT_RECORDED; source no JV controller
MEMIT_L6_ONLY,40443,7.539444444444444,27135.78796169907,3426662501,2819000124,38150750720,16743.47678044159,16076.355814220384,371.1835226472467,142.67622823361307,10143.771562364884,10000.0,100.0,0.0,248.53961889259517,NOT_RECORDED,NOT_RECORDED; source no JV controller
AlphaEdit_L6_ONLY,40444,10.533055555555556,37902.09060874581,13291793073,12683999804,37845516800,27072.852217427455,26150.746024101973,739.5433806711808,11.986631059087813,10306.468857153319,10000.0,100.0,100.0,522.7695341650397,NOT_RECORDED,NOT_RECORDED; source no JV controller
MEMIT_L7_ONLY,40445,7.1802777777777775,25843.53730906453,3426645571,2819000124,38150750720,15549.457712597214,14865.74439973291,369.83460806682706,142.66726430878043,10043.078053217381,10000.0,100.0,0.0,251.0015432499349,NOT_RECORDED,NOT_RECORDED; source no JV controller
AlphaEdit_L7_ONLY,40446,9.164444444444445,32974.80381607544,13291792875,12683999804,37844804096,22109.394258575514,21186.21605550591,740.1398232029751,11.993424302898347,10333.883879360743,10000.0,100.0,100.0,531.52567813918,NOT_RECORDED,NOT_RECORDED; source no JV controller
BASE_ALPHAEDIT,42657,10.324444444444444,37097.1629156908,64285569873,63418321276,38787170816,17054.954047050327,12483.079661538824,3706.1233510077,60.03285640385002,17621.962568080053,10000.0,500.0,100.0,2420.2463005604222,NOT_RECORDED,NOT_RECORDED; source no JV controller
BASE_MEMIT,42658,12.213333333333333,43951.08359876927,14961232514,14093323516,39576232448,27349.223551047966,24046.779149996117,1855.7233734773472,713.4765704423189,15612.484218202531,10000.0,500.0,0.0,989.3758295187727,NOT_RECORDED,NOT_RECORDED; source no JV controller
