model,batch,node,kkt_residual,dissipation_residual,normalized_native_velocity_action,native_speed_bound,gain,predicted_response_squared,actual_delta_barrier,affine_predicted_delta_barrier,cumulative_barrier,finite_defect,defect_to_predicted_increment,V_before,V_after,V_ratio,qN_ref,min_response_Gram_eig,max_response_Gram_eig,L4_response_cosine,L5_response_cosine,L6_response_cosine,L7_response_cosine,L8_response_cosine
llama3-8b-inst,1,0,2.220446049250313e-16,-5.204170427930421e-17,0.18820584031976112,2.500000008193666,0.9760671120260737,0.9572465279940976,0.3588415492132014,0.35896744799778657,0.3588415492132014,0.00012589878458518777,0.00035072479492893763,0.5000000016387333,0.13174816040954387,0.2634963199554874,840.2151080599574,1.135251455471253,27.600226687540264,0.29511386933622646,0.42683836719855645,0.58201954797886,0.7446548589535503,0.9978609743077637
llama3-8b-inst,1,1,2.220446049250313e-16,-1.5612511283791264e-17,0.05165227381705122,0.6587408020477193,0.2569836385594278,0.2518184111777227,0.09441518269905158,0.09443190419164602,0.45325673191225296,1.6721492594434784e-05,0.00017707460987442485,0.13174816040954387,0.034750364019639726,0.06950072781149315,840.2151080599574,1.1418789766681343,25.99355431202387,0.28180004784698653,0.4009514032774228,0.5474742979542268,0.7248703448149518,0.9978689788109267
llama3-8b-inst,1,2,5.551115123125783e-17,-2.6020852139652106e-18,0.014148052661377305,0.17375182009819862,0.06773208025610679,0.06631727498996906,0.02486674150021224,0.024868978121238398,0.4781234734124652,2.236621026156793e-06,8.993618536528016e-05,0.034750364019639726,0.009176219886358621,0.018352439712567736,840.2151080599574,1.158066879036626,24.858065947233644,0.2693789221112382,0.38025591035005857,0.5211704283140716,0.7061252228006488,0.9978898354147092
llama3-8b-inst,1,3,2.7755575615628914e-17,-3.198396408832238e-18,0.0038672366978250894,0.0458810994317931,0.017872976447913615,0.01748625277813111,0.006557037146517508,0.006557344791799166,0.4846805105589827,3.0764528165770633e-07,4.6916136245032864e-05,0.009176219886358621,0.0024258209049498585,0.004851641793998623,840.2151080599574,1.1614261858407575,23.805835905000507,0.25938245841942664,0.3651181284383601,0.5029738946530672,0.6916648606180743,0.9979224594279116
llama3-8b-inst,2,0,4.440892098500626e-16,-2.3245294578089215e-16,0.19597236672976534,2.5000001423105145,0.9750033275944169,0.9554060909214406,0.3582244035099288,0.3582772840955402,0.3582244035099288,5.288058561142561e-05,0.000147596813861423,0.5000000284621029,0.13197700661568584,0.26395399820599996,950.3106328584955,1.1696277867687233,29.261088557006865,0.2776549511966486,0.40942793299554864,0.5623692878628528,0.7255456062349943,0.9977245691235415
llama3-8b-inst,2,1,1.1102230246251565e-16,4.2500725161431774e-17,0.05323028626997585,0.6598850330784292,0.2571814342854507,0.2518584056584531,0.09444293279548197,0.0944469021219199,0.4526673363054108,3.9693264379386806e-06,4.2027068636033654e-05,0.13197700661568584,0.034872559506705085,0.06974511504322489,950.3106328584955,1.1915165678453192,27.912022959633656,0.26421719647401193,0.38537606180201495,0.5307165930686611,0.7083901394636516,0.9976806795051164
llama3-8b-inst,2,2,1.1102230246251565e-16,-1.0191500421363742e-17,0.014441943879708003,0.1743627975335254,0.06791038468215087,0.06646619029418008,0.024924674803264588,0.02492482136031753,0.4775920111086754,1.4655705294144838e-07,5.879964025530786e-06,0.034872559506705085,0.009225787509455099,0.018451573968569005,950.3106328584955,1.2251229954719414,26.92717654955106,0.2528988192174363,0.36677178378039793,0.5067540918353395,0.6919898755848711,0.9976295418752968
llama3-8b-inst,2,3,2.7755575615628914e-17,-3.2526065174565133e-18,0.003914036853723231,0.04612893754727549,0.017954407025583253,0.017563003340210933,0.00658616314843427,0.0065861262525790994,0.48417817425710963,-3.689585517056143e-08,5.602057075069457e-06,0.009225787509455099,0.002443922518334667,0.004887844758432653,950.3106328584955,1.2493326407338068,25.94825792445117,0.24430062421747456,0.35353594251901216,0.4901058918029768,0.6790858561404971,0.9975691427213892
llama3-8b-inst,3,0,2.220446049250313e-16,-9.71445146547012e-17,0.20287157129914898,2.5000004685456982,0.9738620641939331,0.9535749070640183,0.357493160828323,0.35759059014900685,0.357493160828323,9.742932068385057e-05,0.00027246052711636534,0.5000000937091397,0.13236335431585922,0.2647266590171035,1060.4852141373892,1.1273744930088878,28.146548280674768,0.27975043966121993,0.41306219103999636,0.5726459584204158,0.7286542205091618,0.9975371503369234
llama3-8b-inst,3,1,1.1102230246251565e-16,5.898059818321144e-17,0.05616056159332191,0.6618167715792961,0.2575030463349991,0.25188699017566685,0.09444690189092358,0.09445762131587507,0.4519400627192466,1.0719424951483036e-05,0.00011348396034276877,0.13236335431585922,0.03510842434526953,0.07021683553062055,1060.4852141373892,1.1278371137366963,26.41381733790342,0.2597550769497189,0.3878265978896163,0.5449012217656178,0.7086657632114977,0.9974421553755242
