family,arm,metric,status,count,denominator,unobserved_transitions_imputed
MEMIT,MEMIT_L4_ONLY,NS,FIRST_OBSERVATION_FAILED,30562,100000,0
MEMIT,MEMIT_L4_ONLY,NS,INTERVAL_CENSORED_FAILURE,29560,100000,0
MEMIT,MEMIT_L4_ONLY,NS,NO_OBSERVED_FAILURE,39878,100000,0
MEMIT,MEMIT_L5_ONLY,RS,FIRST_OBSERVATION_FAILED,77,10000,0
MEMIT,MEMIT_L5_ONLY,RS,INTERVAL_CENSORED_FAILURE,2359,10000,0
MEMIT,MEMIT_L5_ONLY,RS,NO_OBSERVED_FAILURE,7564,10000,0
MEMIT,MEMIT_L5_ONLY,PS,FIRST_OBSERVATION_FAILED,1276,20000,0
MEMIT,MEMIT_L5_ONLY,PS,INTERVAL_CENSORED_FAILURE,5369,20000,0
MEMIT,MEMIT_L5_ONLY,PS,NO_OBSERVED_FAILURE,13355,20000,0
MEMIT,MEMIT_L5_ONLY,NS,FIRST_OBSERVATION_FAILED,35142,100000,0
MEMIT,MEMIT_L5_ONLY,NS,INTERVAL_CENSORED_FAILURE,28443,100000,0
MEMIT,MEMIT_L5_ONLY,NS,NO_OBSERVED_FAILURE,36415,100000,0
MEMIT,MEMIT_L6_ONLY,RS,FIRST_OBSERVATION_FAILED,164,10000,0
MEMIT,MEMIT_L6_ONLY,RS,INTERVAL_CENSORED_FAILURE,2454,10000,0
MEMIT,MEMIT_L6_ONLY,RS,NO_OBSERVED_FAILURE,7382,10000,0
MEMIT,MEMIT_L6_ONLY,PS,FIRST_OBSERVATION_FAILED,2120,20000,0
MEMIT,MEMIT_L6_ONLY,PS,INTERVAL_CENSORED_FAILURE,6629,20000,0
MEMIT,MEMIT_L6_ONLY,PS,NO_OBSERVED_FAILURE,11251,20000,0
MEMIT,MEMIT_L6_ONLY,NS,FIRST_OBSERVATION_FAILED,39532,100000,0
MEMIT,MEMIT_L6_ONLY,NS,INTERVAL_CENSORED_FAILURE,30033,100000,0
MEMIT,MEMIT_L6_ONLY,NS,NO_OBSERVED_FAILURE,30435,100000,0
MEMIT,MEMIT_L7_ONLY,RS,FIRST_OBSERVATION_FAILED,158,10000,0
MEMIT,MEMIT_L7_ONLY,RS,INTERVAL_CENSORED_FAILURE,2436,10000,0
MEMIT,MEMIT_L7_ONLY,RS,NO_OBSERVED_FAILURE,7406,10000,0
MEMIT,MEMIT_L7_ONLY,PS,FIRST_OBSERVATION_FAILED,2160,20000,0
MEMIT,MEMIT_L7_ONLY,PS,INTERVAL_CENSORED_FAILURE,6781,20000,0
MEMIT,MEMIT_L7_ONLY,PS,NO_OBSERVED_FAILURE,11059,20000,0
MEMIT,MEMIT_L7_ONLY,NS,FIRST_OBSERVATION_FAILED,41942,100000,0
MEMIT,MEMIT_L7_ONLY,NS,INTERVAL_CENSORED_FAILURE,29758,100000,0
MEMIT,MEMIT_L7_ONLY,NS,NO_OBSERVED_FAILURE,28300,100000,0
MEMIT,MEMIT_L8_ONLY,RS,FIRST_OBSERVATION_FAILED,324,10000,0
MEMIT,MEMIT_L8_ONLY,RS,INTERVAL_CENSORED_FAILURE,2509,10000,0
MEMIT,MEMIT_L8_ONLY,RS,NO_OBSERVED_FAILURE,7167,10000,0
MEMIT,MEMIT_L8_ONLY,PS,FIRST_OBSERVATION_FAILED,2573,20000,0
MEMIT,MEMIT_L8_ONLY,PS,INTERVAL_CENSORED_FAILURE,6411,20000,0
MEMIT,MEMIT_L8_ONLY,PS,NO_OBSERVED_FAILURE,11016,20000,0
MEMIT,MEMIT_L8_ONLY,NS,FIRST_OBSERVATION_FAILED,43010,100000,0
MEMIT,MEMIT_L8_ONLY,NS,INTERVAL_CENSORED_FAILURE,30459,100000,0
MEMIT,MEMIT_L8_ONLY,NS,NO_OBSERVED_FAILURE,26531,100000,0
