family,metric,left,right,subset,denominator,right_minus_left_success_rate,right_better,equal,right_worse
AlphaEdit,RS,AlphaEdit_L4_ONLY,AlphaEdit_L5_ONLY,all_exact_paired,10000,-0.0005,44,9907,49
AlphaEdit,RS,AlphaEdit_L4_ONLY,AlphaEdit_L5_ONLY,common_atwrite_success,9959,-0.0005020584396023697,37,9880,42
AlphaEdit,RS,AlphaEdit_L4_ONLY,AlphaEdit_L6_ONLY,all_exact_paired,10000,-0.0256,45,9654,301
AlphaEdit,RS,AlphaEdit_L4_ONLY,AlphaEdit_L6_ONLY,common_atwrite_success,9959,-0.025404157043879907,41,9624,294
AlphaEdit,RS,AlphaEdit_L4_ONLY,AlphaEdit_L7_ONLY,all_exact_paired,10000,-0.0699,34,9233,733
AlphaEdit,RS,AlphaEdit_L4_ONLY,AlphaEdit_L7_ONLY,common_atwrite_success,9959,-0.06928406466512702,31,9207,721
AlphaEdit,RS,AlphaEdit_L4_ONLY,AlphaEdit_L8_ONLY,all_exact_paired,10000,-0.0543,42,9373,585
AlphaEdit,RS,AlphaEdit_L4_ONLY,AlphaEdit_L8_ONLY,common_atwrite_success,9959,-0.05402148810121498,37,9347,575
AlphaEdit,RS,AlphaEdit_L5_ONLY,AlphaEdit_L6_ONLY,all_exact_paired,10000,-0.0251,46,9657,297
AlphaEdit,RS,AlphaEdit_L5_ONLY,AlphaEdit_L6_ONLY,common_atwrite_success,9959,-0.02490209860427754,39,9633,287
AlphaEdit,RS,AlphaEdit_L5_ONLY,AlphaEdit_L7_ONLY,all_exact_paired,10000,-0.0694,34,9238,728
AlphaEdit,RS,AlphaEdit_L5_ONLY,AlphaEdit_L7_ONLY,common_atwrite_success,9959,-0.06878200622552465,28,9218,713
AlphaEdit,RS,AlphaEdit_L5_ONLY,AlphaEdit_L8_ONLY,all_exact_paired,10000,-0.0538,39,9384,577
AlphaEdit,RS,AlphaEdit_L5_ONLY,AlphaEdit_L8_ONLY,common_atwrite_success,9959,-0.05351942966161261,33,9360,566
AlphaEdit,PS,AlphaEdit_L4_ONLY,AlphaEdit_L5_ONLY,all_exact_paired,20000,-0.01485,447,18809,744
AlphaEdit,PS,AlphaEdit_L4_ONLY,AlphaEdit_L5_ONLY,common_atwrite_success,16399,-0.007683395328983475,162,15949,288
AlphaEdit,PS,AlphaEdit_L4_ONLY,AlphaEdit_L6_ONLY,all_exact_paired,20000,-0.0994,423,17166,2411
AlphaEdit,PS,AlphaEdit_L4_ONLY,AlphaEdit_L6_ONLY,common_atwrite_success,16399,-0.08482224525885725,136,14736,1527
AlphaEdit,PS,AlphaEdit_L4_ONLY,AlphaEdit_L7_ONLY,all_exact_paired,20000,-0.1471,391,16276,3333
AlphaEdit,PS,AlphaEdit_L4_ONLY,AlphaEdit_L7_ONLY,common_atwrite_success,16399,-0.12067809012744679,128,14164,2107
AlphaEdit,PS,AlphaEdit_L4_ONLY,AlphaEdit_L8_ONLY,all_exact_paired,20000,-0.179,390,15640,3970
AlphaEdit,PS,AlphaEdit_L4_ONLY,AlphaEdit_L8_ONLY,common_atwrite_success,16399,-0.1423867308982255,129,13806,2464
AlphaEdit,PS,AlphaEdit_L5_ONLY,AlphaEdit_L6_ONLY,all_exact_paired,20000,-0.08455,574,17161,2265
AlphaEdit,PS,AlphaEdit_L5_ONLY,AlphaEdit_L6_ONLY,common_atwrite_success,16399,-0.07713884992987377,236,14662,1501
AlphaEdit,PS,AlphaEdit_L5_ONLY,AlphaEdit_L7_ONLY,all_exact_paired,20000,-0.13225,542,16271,3187
AlphaEdit,PS,AlphaEdit_L5_ONLY,AlphaEdit_L7_ONLY,common_atwrite_success,16399,-0.11299469479846332,212,14122,2065
AlphaEdit,PS,AlphaEdit_L5_ONLY,AlphaEdit_L8_ONLY,all_exact_paired,20000,-0.16415,531,15655,3814
AlphaEdit,PS,AlphaEdit_L5_ONLY,AlphaEdit_L8_ONLY,common_atwrite_success,16399,-0.13470333556924202,211,13768,2420
AlphaEdit,NS,AlphaEdit_L4_ONLY,AlphaEdit_L5_ONLY,all_exact_paired,100000,-0.02526,10871,75732,13397
AlphaEdit,NS,AlphaEdit_L4_ONLY,AlphaEdit_L5_ONLY,common_atwrite_success,40118,-0.017323894511191984,2428,34567,3123
AlphaEdit,NS,AlphaEdit_L4_ONLY,AlphaEdit_L6_ONLY,all_exact_paired,100000,-0.06952,10976,71096,17928
AlphaEdit,NS,AlphaEdit_L4_ONLY,AlphaEdit_L6_ONLY,common_atwrite_success,40118,-0.057056682785781944,2377,33075,4666
AlphaEdit,NS,AlphaEdit_L4_ONLY,AlphaEdit_L7_ONLY,all_exact_paired,100000,-0.09071,11533,67863,20604
AlphaEdit,NS,AlphaEdit_L4_ONLY,AlphaEdit_L7_ONLY,common_atwrite_success,40118,-0.10189939677950047,2259,31512,6347
AlphaEdit,NS,AlphaEdit_L4_ONLY,AlphaEdit_L8_ONLY,all_exact_paired,100000,-0.10645,11524,66307,22169
AlphaEdit,NS,AlphaEdit_L4_ONLY,AlphaEdit_L8_ONLY,common_atwrite_success,40118,-0.11284211575851238,2262,31067,6789
AlphaEdit,NS,AlphaEdit_L5_ONLY,AlphaEdit_L6_ONLY,all_exact_paired,100000,-0.04426,11980,71614,16406
AlphaEdit,NS,AlphaEdit_L5_ONLY,AlphaEdit_L6_ONLY,common_atwrite_success,40118,-0.03973278827458996,2769,32986,4363
AlphaEdit,NS,AlphaEdit_L5_ONLY,AlphaEdit_L7_ONLY,all_exact_paired,100000,-0.06545,12514,68427,19059
AlphaEdit,NS,AlphaEdit_L5_ONLY,AlphaEdit_L7_ONLY,common_atwrite_success,40118,-0.08457550226830848,2707,31311,6100
AlphaEdit,NS,AlphaEdit_L5_ONLY,AlphaEdit_L8_ONLY,all_exact_paired,100000,-0.08119,12482,66917,20601
AlphaEdit,NS,AlphaEdit_L5_ONLY,AlphaEdit_L8_ONLY,common_atwrite_success,40118,-0.0955182212473204,2667,30952,6499
MEMIT,RS,MEMIT_L4_ONLY,MEMIT_L5_ONLY,all_exact_paired,10000,0.0362,1069,8224,707
MEMIT,RS,MEMIT_L4_ONLY,MEMIT_L5_ONLY,common_atwrite_success,9533,0.03598027903073534,991,7894,648
MEMIT,RS,MEMIT_L4_ONLY,MEMIT_L6_ONLY,all_exact_paired,10000,0.0555,1318,7919,763
MEMIT,RS,MEMIT_L4_ONLY,MEMIT_L6_ONLY,common_atwrite_success,9533,0.058743312703241374,1239,7615,679
MEMIT,RS,MEMIT_L4_ONLY,MEMIT_L7_ONLY,all_exact_paired,10000,0.0722,1430,7862,708
MEMIT,RS,MEMIT_L4_ONLY,MEMIT_L7_ONLY,common_atwrite_success,9533,0.07563201510542326,1337,7580,616
MEMIT,RS,MEMIT_L4_ONLY,MEMIT_L8_ONLY,all_exact_paired,10000,0.0455,1344,7767,889
MEMIT,RS,MEMIT_L4_ONLY,MEMIT_L8_ONLY,common_atwrite_success,9533,0.04626035875380258,1241,7492,800
MEMIT,RS,MEMIT_L5_ONLY,MEMIT_L6_ONLY,all_exact_paired,10000,0.0193,912,8369,719
MEMIT,RS,MEMIT_L5_ONLY,MEMIT_L6_ONLY,common_atwrite_success,9533,0.022763033672506032,849,8052,632
MEMIT,RS,MEMIT_L5_ONLY,MEMIT_L7_ONLY,all_exact_paired,10000,0.036,1022,8316,662
MEMIT,RS,MEMIT_L5_ONLY,MEMIT_L7_ONLY,common_atwrite_success,9533,0.03965173607468793,946,8019,568
MEMIT,RS,MEMIT_L5_ONLY,MEMIT_L8_ONLY,all_exact_paired,10000,0.0093,982,8129,889
MEMIT,RS,MEMIT_L5_ONLY,MEMIT_L8_ONLY,common_atwrite_success,9533,0.01028007972306724,900,7831,802
MEMIT,PS,MEMIT_L4_ONLY,MEMIT_L5_ONLY,all_exact_paired,20000,0.0021,2179,15684,2137
MEMIT,PS,MEMIT_L4_ONLY,MEMIT_L5_ONLY,common_atwrite_success,15191,0.004673820025014812,1464,12334,1393
MEMIT,PS,MEMIT_L4_ONLY,MEMIT_L6_ONLY,all_exact_paired,20000,-0.01025,2445,14905,2650
MEMIT,PS,MEMIT_L4_ONLY,MEMIT_L6_ONLY,common_atwrite_success,15191,-0.006319531301428477,1593,11909,1689
MEMIT,PS,MEMIT_L4_ONLY,MEMIT_L7_ONLY,all_exact_paired,20000,-0.00125,2610,14755,2635
MEMIT,PS,MEMIT_L4_ONLY,MEMIT_L7_ONLY,common_atwrite_success,15191,0.008360213284181423,1731,11856,1604
