family,metric,arm,subset,original_denominator,excluded_count,excluded_rate,denominator,atwrite_numerator,final_numerator,atwrite_rate,final_rate,retained,lost,recovery,initial_and_current_failure,entry_success_denominator,loss_rate_among_entry_success,atwrite_desired_margin_mean,atwrite_desired_margin_median,atwrite_desired_margin_p90,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_delta_mean,desired_margin_delta_median,desired_margin_delta_p90,new_nll_mean,new_nll_median,new_nll_p90,true_nll_mean,true_nll_median,true_nll_p90,new_nll_delta_mean,new_nll_delta_median,new_nll_delta_p90,true_nll_delta_mean,true_nll_delta_median,true_nll_delta_p90
AlphaEdit,RS,AlphaEdit_L4_ONLY,all,10000,0,0.0,10000,9993,9939,0.9993,0.9939,9938,55,1,6,9993,0.005503852696887822,14.045597972211139,13.878991480509285,19.374044487194624,12.007915134675462,11.962727125850506,17.68185722338967,-2.0376828375356766,-1.3018971601268277,0.4283226158877369,0.23052669824153363,0.007097152993083,0.25797349214553833,12.238441832916997,12.03248929977417,17.69817543029785,0.19039060504515964,0.003697321517392993,0.18562397360801697,-1.8472922324905172,-1.2474982738494873,0.442291259765625
AlphaEdit,RS,AlphaEdit_L4_ONLY,common_atwrite_success,10000,41,0.0041,9959,9959,9908,1.0,0.9948790039160559,9908,51,0,0,9959,0.005120996083944171,14.084161154914966,13.895566864986904,19.391510598361492,12.041024407471367,11.982745910412632,17.694019139220472,-2.043136747443599,-1.305269056232646,0.42428963619749993,0.2186052279259127,0.007025775499641895,0.23777925968170166,12.25962963539728,12.05286693572998,17.71009635925293,0.1888392868710189,0.003679789137095213,0.18082844675518572,-1.8542974605725804,-1.253065586090088,0.4402961730957031
AlphaEdit,RS,AlphaEdit_L4_ONLY,common_support,10000,173,0.0173,9827,9826,9784,0.9998982395441132,0.9956243003968658,9784,42,0,1,9826,0.0042743741095053935,14.199376476612063,13.970512713305652,19.454494811885525,12.14443443489689,12.044476030190708,17.716625071363524,-2.054942041715172,-1.3163405342493206,0.42357394349528477,0.21151594846225666,0.006865009665489197,0.2115899622440338,12.355950383359149,12.123162269592285,17.73216438293457,0.1860387925812734,0.0035832298453897238,0.17393628507852554,-1.8689032491338988,-1.273003101348877,0.4355640411376953
AlphaEdit,RS,AlphaEdit_L4_ONLY,active,10000,217,0.0217,9783,9778,9743,0.9994889093325156,0.9959112746601247,9742,36,1,4,9778,0.0036817345060339538,14.090215612433607,13.907117891591042,19.419572691462236,12.139330256538338,12.043764531612396,17.718441063538194,-1.9508853558952695,-1.261177260428667,0.4304068579804152,0.17702146108122346,0.006766738370060921,0.17992669343948364,12.316351717619561,12.114930152893066,17.724533081054688,0.1450593970380392,0.0035036313347518444,0.14372703805565834,-1.80582595885723,-1.2202568054199219,0.4432706832885742
AlphaEdit,RS,AlphaEdit_L4_ONLY,superseded,10000,9783,0.9783,217,215,196,0.9907834101382489,0.9032258064516129,196,19,0,2,215,0.08837209302325581,12.034103159785362,12.030179738998413,18.066717080771923,6.083333857327526,5.963054537773132,12.306002765893936,-5.950769302457835,-5.236929824575782,0.2630624771118164,2.6427005928927527,2.242103099822998,5.622080326080322,8.72603445022028,8.530434608459473,13.527716636657715,2.2340551577348347,1.654984325170517,5.534752785693854,-3.7167141447230008,-3.168092727661133,0.39908599853515625
AlphaEdit,RS,AlphaEdit_L4_ONLY,superseded_same_target_only,10000,9995,0.9995,5,5,5,1.0,1.0,5,0,0,0,5,0.0,12.264553079966571,13.273791654908564,15.589942833772511,10.755741146113724,8.351255416870117,18.25546106090769,-1.5088119338528485,-2.450871075503528,4.416199180705007,0.058501312229782346,0.05694858357310295,0.11938953399658203,10.814242458343506,8.4706449508667,18.256519317626953,0.05465553507965524,0.05394295114092529,0.11893497308483347,-1.4541563987731934,-2.3526158332824707,4.4164228439331055
AlphaEdit,RS,AlphaEdit_L4_ONLY,superseded_different_target,10000,9788,0.9788,212,210,191,0.9905660377358491,0.9009433962264151,191,19,0,2,210,0.09047619047619047,12.028668020158445,11.999753385782242,18.066717080771923,5.973135572214645,5.5283747017383575,12.129715111106634,-6.0555324479438015,-5.318948085536249,0.20879077911376953,2.7036486891348037,2.3162903785705566,5.622080326080322,8.676784261349448,8.555335998535156,13.45522689819336,2.285456092231419,1.7304323393618688,5.534752785693854,-3.7700763557123826,-3.2276463508605957,0.3174552917480469
AlphaEdit,RS,AlphaEdit_L5_ONLY,all,10000,0,0.0,10000,9989,9934,0.9989,0.9934,9932,57,2,9,9989,0.005706276904595055,14.160782962412137,13.912123116548173,19.58164370036684,11.990504595051084,11.984771489194827,17.801028638728894,-2.1702783673610515,-1.43489539262373,0.5281649974640459,0.24747788072216134,0.00726865092292428,0.30219748616218567,12.237982475773245,12.069413661956787,17.812541961669922,0.20837986116744378,0.004084197338670492,0.2444271378335543,-1.961898506193608,-1.3851866722106934,0.5529975891113281
AlphaEdit,RS,AlphaEdit_L5_ONLY,common_atwrite_success,10000,41,0.0041,9959,9959,9903,1.0,0.9943769454764535,9903,56,0,0,9959,0.005623054523546541,14.204691164239051,13.931963482638821,19.59584440861363,12.027969645448332,12.006834494066425,17.81392213795334,-2.176721518790718,-1.4428723567398265,0.5260672271251678,0.2321210389649614,0.007193025201559067,0.2811686396598816,12.260090684413294,12.091781616210938,17.832210540771484,0.20732259368419953,0.004038439539726824,0.23893385927658528,-1.9693989251065187,-1.395339012145996,0.5508880615234375
AlphaEdit,RS,AlphaEdit_L5_ONLY,common_support,10000,141,0.0141,9859,9857,9810,0.9997971396693377,0.9950299218987727,9810,47,0,2,9857,0.004768185046160089,14.291414351657066,13.994213311409112,19.619491950114025,12.108105912209508,12.066183794289827,17.85101075656712,-2.183308439447554,-1.456174248480238,0.5287256896990584,0.2223181126102199,0.0070937201380729675,0.2656744122505188,12.33042402481973,12.145700454711914,17.858797073364258,0.20114907563412435,0.0039888976607471704,0.2265537625644356,-1.98215936381343,-1.4081897735595703,0.5461521148681641
