time,job,event,gpus,active
2026-09-20T01:50:04,50974,start,1,50974
2026-09-20T01:52:20,50974,end,0,
2026-09-20T02:13:17,51055,start,1,51055
2026-09-20T02:15:01,51055,end,0,
2026-09-20T02:37:05,51056,start,1,51056
2026-09-20T02:42:40,51056,end,0,
2026-09-20T03:15:09,51057,start,1,51057
2026-09-20T03:24:07,51057,end,0,
2026-09-20T03:37:37,51058,start,1,51058
2026-09-20T04:38:06,51058,end,0,
2026-09-20T18:36:31,51260,start,1,51260
2026-09-20T20:20:09,51260,end,0,
2026-09-23T09:59:04,52527,start,1,52527
2026-09-23T09:59:48,52527,end,0,
2026-09-23T10:43:34,52563,start,1,52563
2026-09-23T10:46:50,52563,end,0,
2026-09-23T10:47:04,52564,start,1,52564
2026-09-23T12:03:04,52565,start,2,52564;52565
2026-09-23T12:27:58,52565,end,1,52564
2026-09-23T15:33:31,52575,start,2,52564;52575
2026-09-23T16:04:53,52564,end,1,52575
2026-09-23T23:50:13,52575,end,0,
