entry,upstream,receiving,metric,denominator,aa,ab,ba,bb,interaction_count,interaction_desired_nll,receiving_state,same_MP
50,5,6,RS,100,99,99,99,99,0,-0.0005685249264933967,b266ea31b324319428642ce2434a3dc12f00d051ea06fceae29482b755918719,True
50,5,6,PS,200,185,185,185,185,0,-0.0032567687846314364,b266ea31b324319428642ce2434a3dc12f00d051ea06fceae29482b755918719,True
50,5,6,NS,1000,630,633,631,633,-1,0.0005504091093317953,b266ea31b324319428642ce2434a3dc12f00d051ea06fceae29482b755918719,True
50,6,7,RS,100,99,99,99,99,0,3.949489997467914e-05,604a56b2baeaddac055af59ab6a7a9f34ec011be7faaababc7a8454cb00ffd91,True
50,6,7,PS,200,189,188,189,188,0,-0.0032450014361526947,604a56b2baeaddac055af59ab6a7a9f34ec011be7faaababc7a8454cb00ffd91,True
50,6,7,NS,1000,627,627,625,628,3,0.000993629870936985,604a56b2baeaddac055af59ab6a7a9f34ec011be7faaababc7a8454cb00ffd91,True
70,5,6,RS,100,98,97,98,97,0,-0.008427331018901918,14037e91fc1e4fdc292bc50db25c2f5e114f6008c2d6ab3dae15dfb260bf49d1,True
70,5,6,PS,200,180,178,180,178,0,-0.011940589429577875,14037e91fc1e4fdc292bc50db25c2f5e114f6008c2d6ab3dae15dfb260bf49d1,True
70,5,6,NS,1000,551,556,554,555,-4,-0.00024146896228227632,14037e91fc1e4fdc292bc50db25c2f5e114f6008c2d6ab3dae15dfb260bf49d1,True
70,6,7,RS,100,100,100,100,100,0,-0.011091479641254412,06cd2834315563f85c4db14a659fc3243d3ef7f135d5773f18c4e5170a8647bd,True
70,6,7,PS,200,184,184,184,184,0,-0.021960512667428933,06cd2834315563f85c4db14a659fc3243d3ef7f135d5773f18c4e5170a8647bd,True
70,6,7,NS,1000,552,550,552,549,-1,0.005637058760970426,06cd2834315563f85c4db14a659fc3243d3ef7f135d5773f18c4e5170a8647bd,True
80,5,6,RS,100,96,96,96,96,0,-0.018679017110698637,6268103baa06eabc365581e33f5832cd8828270cd864c36cc08e0ca483d8e830,True
80,5,6,PS,200,173,174,172,174,1,-0.04181771033676318,6268103baa06eabc365581e33f5832cd8828270cd864c36cc08e0ca483d8e830,True
80,5,6,NS,1000,554,564,557,566,-1,0.0028712286073719895,6268103baa06eabc365581e33f5832cd8828270cd864c36cc08e0ca483d8e830,True
80,6,7,RS,100,99,99,99,99,0,-0.002887316878768642,666e40014e36b062bba7900b1f5313af0bb73a87979ca8a664aa981acdbc43d2,True
80,6,7,PS,200,175,175,175,175,0,-0.04081155893160027,666e40014e36b062bba7900b1f5313af0bb73a87979ca8a664aa981acdbc43d2,True
80,6,7,NS,1000,550,558,553,561,0,-0.012967396885157356,666e40014e36b062bba7900b1f5313af0bb73a87979ca8a664aa981acdbc43d2,True
90,5,6,RS,100,97,97,97,98,1,-0.06334978970771787,1c7ea41773a7e4dcc3bd88f529eecfdb7ab75150749535ecf7bc80dfdb46c115,True
90,5,6,PS,200,172,172,171,173,2,-0.10597173522895798,1c7ea41773a7e4dcc3bd88f529eecfdb7ab75150749535ecf7bc80dfdb46c115,True
90,5,6,NS,1000,536,543,535,540,-2,-0.014756560271605323,1c7ea41773a7e4dcc3bd88f529eecfdb7ab75150749535ecf7bc80dfdb46c115,True
90,6,7,RS,100,99,99,99,99,0,-0.0059832235587964355,cbc6310f0d8e2432ca546abbe6ef130c1902a7159843665934a7962a8c0e516d,True
90,6,7,PS,200,180,178,180,177,-1,-0.018164149439798827,cbc6310f0d8e2432ca546abbe6ef130c1902a7159843665934a7962a8c0e516d,True
90,6,7,NS,1000,532,534,530,535,3,-0.019249390077777484,cbc6310f0d8e2432ca546abbe6ef130c1902a7159843665934a7962a8c0e516d,True
