entry,branch,C_sha256,G_minus_GT_frobenius,H_minus_HT_frobenius,K_sha256,R_sha256,actual_delta_norm,actual_minus_solve_delta_norm,condition_I_minus_G,delta_sha256,diagnostic_factor_status,diagnostic_seconds,divisor,ideal_orthogonal_P_identity,layer,native_solve_seconds,physical_write_applied,post_weight_sha256,pre_weight_sha256,raw_A_stored,reconstruction_max_abs,reconstruction_relative_frobenius,repeat_factor,residual_source
50,H5,9b684be593d2c2e2527d93ff77705636bf58c46901b63f6d0edfec9148102903,1.082196982293588e-06,2.5951421106740316e-06,cf90e4e9c5c61088e2d45bdb7ad86e237d6555fba44507d9b753504e4dd64766,00107be602b2ffd0306d613f43337091ea628cd42eb95e9f93ae158f66e1fb5d,2.6900100708007812,1.9878123111993773e-06,1.5817420648815526,e615883a2c32e50ab215fc786fd3fd8a59160f3c754d046af5d6332212557c01,COMPLETED,0.3248245660215616,5,NOT_ESTABLISHED,4,0.14704338926821947,True,97c12955a1e295325a2fbeeff58fca4ddd8d71b7e35bfba145f5289444cea12c,f63063bb0e481a8e898fb2e0056a6bef6b3bdb442a143c46f7954b4edb8119f3,False,3.442619345150888e-08,9.478819114672407e-07,1,ORIGINAL_NATIVE_FRAME_RESID
50,H5,5998eb2c6d2c8e6f72d2c96117ca0397d711b5794c9ebc70d82a2126da1877d4,1.9132128944749633e-06,5.215333658741403e-06,c946f664b5b74b4168a63a61e896d2fbbb79eea3383ca05c8d0a59621e8ddd59,ec7b2023cfe504dba93bdd11581ca715479cd36fd865571bb109510ece26ea3d,3.128783941268921,1.995631237150519e-06,1.5992121267607986,59fab28019fd421b1ff60cdb245a7fa83f3e7cc6eefb0b7a70181497dff0b165,COMPLETED,0.38495843950659037,4,NOT_ESTABLISHED,5,0.11895437259227037,True,12f6885b5fd8fec3fe6bbd2f2bb402ffdd93b8ed0486dd633db2b5b4ddb19ce4,d631af8995e81010c882ccb6935d150d660183287ce6dd94f5d6efdc230aa80e,False,7.241033017635345e-08,1.18107251823961e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,H5,552df15472f86a8f6406887c2c7f1a2608ce773251202fd35b30e8ece3e9269e,4.0597568657781185e-06,1.1121775037242913e-05,fb722bae5bd4a6927b534a6c93e26ee3ce0965dd0618a56b6fd7b22aa641f324,7cc0a1b13a29a3e745ee502ba9d95ea878d6c14d895fa4a3aed82ed92fb86c5c,3.7543210983276367,1.9980589058832265e-06,1.566796964664174,8ebde95384dab053c1d8148e2c4de8b758d127155b2822d504fd5e1681e374ca,COMPLETED,0.5437042759731412,3,NOT_ESTABLISHED,6,0.11871839314699173,True,67a840a5858dade630d763d24b89bfb41454a45b054f88643743115bfd91e52c,1952a5003e58a64bc55aed3951aaebf666234eb94df7d21827e893ae01c0bc1b,False,7.904600352048874e-08,1.603976539737127e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,H5,e5b967bcc45c40a387d42e6a0d0399e7ec27aa4c1cf9619bd390554b138ec5a2,6.080974827915753e-06,1.5248971771197823e-05,2006a41529b47fc4b0046c4f607d38a24011af87666632b15b1d98b91c2b3135,38ec7ca661539a4195178b8bd80cfb5bc19d62161b19eb815b487e0d9cbd6392,4.918627738952637,2.061395434793667e-06,1.5046253540835512,67d577f11d876e49d9393905b43c15ae982b546801508b706da9cd714e05cc64,COMPLETED,0.38317110668867826,2,NOT_ESTABLISHED,7,0.11869619321078062,True,2dded4b9423be88cf91a8989bb2d3d550e6f2256bda2b0da092b3e57ec5a26ae,866648c43913ec56699c0d9646477435fda80db476f6158baa769e40c102ec65,False,1.5401747077703476e-07,1.7864741613774145e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,H5,c34546c5c7cc7395c77db318807f83b01e34d61cc49136c3571af06a869e7c17,6.266898791034847e-06,1.4578919407694739e-05,6f339c75d469938d8b0d6e41b0402a2990e5d48435bb34829232ebc34053eb50,39bb94552ce1c4f99957d8cf956de2026d29a5d2e0f05aa996285a149055d585,8.051039695739746,2.2438805444835452e-06,1.4778477875473155,4e42c9f4f97758dacd3a318f3de67b9b6373fd186ec643e0c2eb306445abe428,COMPLETED,0.4986722720786929,1,NOT_ESTABLISHED,8,0.11880754306912422,True,1d9a666530c726e636017870d94eec6a880f71d7582dd9400acce1a8a3bd5502,e968b3241a840944228a47d8061231aa41f303fe894ccb9b7f528c855b0e6d8f,False,1.1618249118328094e-06,2.2819380638428882e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,H6,9b684be593d2c2e2527d93ff77705636bf58c46901b63f6d0edfec9148102903,1.082196982293588e-06,2.5951421106740316e-06,cf90e4e9c5c61088e2d45bdb7ad86e237d6555fba44507d9b753504e4dd64766,00107be602b2ffd0306d613f43337091ea628cd42eb95e9f93ae158f66e1fb5d,2.6900100708007812,1.9878123111993773e-06,1.5817420648815526,e615883a2c32e50ab215fc786fd3fd8a59160f3c754d046af5d6332212557c01,COMPLETED,0.3558546854183078,5,NOT_ESTABLISHED,4,0.11865408718585968,True,97c12955a1e295325a2fbeeff58fca4ddd8d71b7e35bfba145f5289444cea12c,f63063bb0e481a8e898fb2e0056a6bef6b3bdb442a143c46f7954b4edb8119f3,False,3.442619345150888e-08,9.478819114672407e-07,1,ORIGINAL_NATIVE_FRAME_RESID
50,H6,cd006b27d380deb6816ba1aa050bca431bed5d77e3581303ea8ed04e17e96f84,1.8909041875584493e-06,5.158229152252669e-06,c946f664b5b74b4168a63a61e896d2fbbb79eea3383ca05c8d0a59621e8ddd59,ec7b2023cfe504dba93bdd11581ca715479cd36fd865571bb109510ece26ea3d,3.129490613937378,1.995916818486876e-06,1.594882164071505,766e7c3e6fe4e83a037f159e5d67b86cc7ebf09d2b9c57198f28446bb999dbf5,COMPLETED,0.5525314025580883,4,NOT_ESTABLISHED,5,0.11848883610218763,True,2e4f8f9c9737d0c6942d15fd04012113dcb8fd8b32066ddf1a0891b813ad54fb,d631af8995e81010c882ccb6935d150d660183287ce6dd94f5d6efdc230aa80e,False,7.683411240577698e-08,1.177160602996751e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,H6,42aab9892a701aebe4b420100976bbfe538b4dc3cd33dc31dfd85071b93882e3,3.841216145268496e-06,1.0581304247913216e-05,8cf82418bbabbedc856d80a55167312ae0024bf627c724381773ff63f835c2ba,28152468737af0a099ba0f502b1bb96188f3722aea12d0aed0f72ed137bd5759,3.751591444015503,1.9985445760539733e-06,1.5764139906804355,2e1fd909d42e2d3e9701c9727ed6aff747754cd382e3845e98c694d603ec6d08,COMPLETED,0.3922315835952759,3,NOT_ESTABLISHED,6,0.11856432445347309,True,374b52ef47a78edc44a870db57f7f85bc0ce8e2c3daa776be95ce70738c01e5a,1952a5003e58a64bc55aed3951aaebf666234eb94df7d21827e893ae01c0bc1b,False,6.938353180885315e-08,1.6128574093883862e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,H6,b38a46caa65b6fa64f26a0b314f6fdc810888817a4ba0000d6fa23576ba4ad9b,6.133434892125088e-06,1.5315729675353703e-05,ea667b93f5f2a14dd48b3c9cb8147ba68b6152ac6a0485b4aefcd90df62eabe2,ce411c47d965ac02bf92272eb5a1e9bc0c7d2912fec91ef0259e7795c177690b,4.918988227844238,2.0617806057998678e-06,1.5052610472987642,bdf66c5fe0c6e97571931cb21db1ac604bf9b127c89d345949e65612b4151732,COMPLETED,0.41679701395332813,2,NOT_ESTABLISHED,7,0.11848103534430265,True,7ddcde33c8f8765aa8de5c657f939e9ae789c9a7724f209e21b5a08915db27e2,866648c43913ec56699c0d9646477435fda80db476f6158baa769e40c102ec65,False,1.180451363325119e-07,1.788587280650935e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,H6,73115d30d754dcd8e4858522b14e098560c9a7c0c4195f970435dc26469ab6a5,6.374294113535754e-06,1.4851798905634437e-05,d053d5a80b044ce4850b3ea4f2f0f58722d51f4fde7cdae17a92d802a4ca05f8,56df62caf099f6fb23388f9c5087dbd5871859424c69c2628e2ebc6ec4418dca,8.051739692687988,2.2443741727329325e-06,1.4789532546049404,269ed7018c174eea1226eee28ff9a714c014906edb9b4e467e9c27eaf7e5e483,COMPLETED,0.4295126646757126,1,NOT_ESTABLISHED,8,0.11860312335193157,True,fa8ae91596a3be8b0eb0c4a9939b334e92aacc53027ceaee85c8180dbf4edbc6,e968b3241a840944228a47d8061231aa41f303fe894ccb9b7f528c855b0e6d8f,False,4.675239324569702e-07,2.2805621543182383e-06,1,ORIGINAL_NATIVE_FRAME_RESID
