entry,branch,subset,metric,numerator,denominator,percent,ties,token_correct,target_tokens,token_micro,prompt_macro,strict_count,unique_strict_count,new_nll_mean,true_nll_mean,desired_nll_mean,desired_margin_mean,desired_margin_p01,desired_margin_p05,desired_margin_median,desired_nll_p95,desired_nll_p99
50,NATIVE,ACTIVE,RS,480,505,95.04950495049505,0,416,509,0.8172888015717092,0.8198019801980198,412,412,0.9552371182406493,9.724083791687937,0.9552371182406493,8.768846673447287,-6.390764498710633,0.08704605102539115,8.541821718215942,5.657024192810053,10.505612983703609
50,NATIVE,ACTIVE,PS,888,1010,87.92079207920793,0,607,1018,0.5962671905697446,0.596039603960396,599,599,2.1537590056487996,8.359553871592414,2.1537590056487996,6.2057948659436155,-7.436292142868042,-2.971772390604019,6.548658967018127,8.316774845123287,12.002573938369748
50,NATIVE,SUPERSEDED,RS,5,7,71.42857142857143,0,3,7,0.42857142857142855,0.42857142857142855,3,3,3.9900340225015367,7.963612079620361,3.9900340225015367,3.9735780571188246,-1.7356825065612793,-1.2939215660095214,2.6118288040161133,7.6636889457702635,7.8611771202087395
50,NATIVE,SUPERSEDED,PS,8,14,57.142857142857146,0,2,14,0.14285714285714285,0.14285714285714285,2,2,7.0561424387352805,8.117985248565674,7.0561424387352805,1.0618428098303931,-4.357927708625794,-4.205097222328186,1.609571933746338,12.228511238098143,13.366667823791502
50,SHAM,ACTIVE,RS,480,505,95.04950495049505,0,416,509,0.8172888015717092,0.8198019801980198,412,412,0.955237018245651,9.724084075960782,0.955237018245651,8.768847057715131,-6.390753364562988,0.08705844879150443,8.54180783033371,5.657028865814204,10.505617675781245
50,SHAM,ACTIVE,PS,888,1010,87.92079207920793,0,607,1018,0.5962671905697446,0.596039603960396,599,599,2.153758660412708,8.35955351631406,2.153758660412708,6.2057948559013525,-7.436306705474854,-2.9717872381210326,6.548662602901459,8.316776609420774,12.002569255828854
50,SHAM,SUPERSEDED,RS,5,7,71.42857142857143,0,3,7,0.42857142857142855,0.42857142857142855,3,3,3.9900396950542927,7.963613714490618,3.9900396950542927,3.973574019436325,-1.7357259559631348,-1.2939595222473144,2.6118245124816895,7.663688087463378,7.861171226501464
50,SHAM,SUPERSEDED,PS,8,14,57.142857142857146,0,2,14,0.14285714285714285,0.14285714285714285,2,2,7.056143503103938,8.117985691343035,7.056143503103938,1.0618421882390976,-4.35791259765625,-4.205078887939453,1.6095647811889648,12.22851195335388,13.36666110038757
50,H5,ACTIVE,RS,480,505,95.04950495049505,0,416,509,0.8172888015717092,0.8198019801980198,412,412,0.9546641460585864,9.725890257571002,0.9546641460585864,8.771226111512417,-6.391417164802551,0.09419841766357476,8.530372064560652,5.650516033172602,10.490110359191888
50,H5,ACTIVE,PS,888,1010,87.92079207920793,0,607,1018,0.5962671905697446,0.596039603960396,599,599,2.153696569910626,8.358956550473883,2.153696569910626,6.205259980563256,-7.43311635017395,-2.969893476366997,6.549131393432617,8.31696500778198,12.005513019561764
50,H5,SUPERSEDED,RS,5,7,71.42857142857143,0,3,7,0.42857142857142855,0.42857142857142855,3,3,3.990165122385536,7.964018889835903,3.990165122385536,3.973853767450367,-1.7395163154602051,-1.296103763580322,2.6121435165405273,7.6644296646118155,7.861517524719238
50,H5,SUPERSEDED,PS,8,14,57.142857142857146,0,2,14,0.14285714285714285,0.14285714285714285,2,2,7.055725121072361,8.11820936203003,7.055725121072361,1.062484240957669,-4.356817984580994,-4.207334399223328,1.6091749668121338,12.227920770645142,13.366211748123167
50,H6,ACTIVE,RS,480,505,95.04950495049505,0,416,509,0.8172888015717092,0.8198019801980198,412,412,0.9543173352902177,9.726326076701136,0.9543173352902177,8.772008741410918,-6.399669528007507,0.08109416961669977,8.52842937130481,5.635335445404049,10.501868515014642
50,H6,ACTIVE,PS,889,1010,88.01980198019803,0,608,1018,0.5972495088408645,0.597029702970297,600,600,2.153478387414794,8.36054889172002,2.153478387414794,6.207070504305228,-7.434779562950134,-2.965332382917404,6.547723054885864,8.316653490066525,12.014660987854
50,H6,SUPERSEDED,RS,6,7,85.71428571428571,0,3,7,0.42857142857142855,0.42857142857142855,3,3,3.989522506615945,7.965785299028669,3.989522506615945,3.9762627924127236,-1.7379526329040527,-1.2941523551940917,2.6068339347839355,7.662500286102294,7.858247356414794
50,H6,SUPERSEDED,PS,8,14,57.142857142857146,0,2,14,0.14285714285714285,0.14285714285714285,2,2,7.056894938860621,8.120197568620954,7.056894938860621,1.0633026297603334,-4.354761085510254,-4.207223701477051,1.6144049167633057,12.226678228378296,13.363305921554563
50,H56,ACTIVE,RS,480,505,95.04950495049505,0,416,509,0.8172888015717092,0.8198019801980198,412,412,0.9537629670595262,9.728082342136025,0.9537629670595262,8.774319375076498,-6.400559992790222,0.08827247619628964,8.535181562416255,5.629075431823727,10.486756629943843
50,H56,ACTIVE,PS,889,1010,88.01980198019803,0,608,1018,0.5972495088408645,0.597029702970297,600,600,2.153428135348271,8.35993894278579,2.153428135348271,6.206510807437518,-7.431599862575531,-2.963431379199028,6.549498438835144,8.31679182052612,12.017161083221433
50,H56,SUPERSEDED,RS,6,7,85.71428571428571,0,3,7,0.42857142857142855,0.42857142857142855,3,3,3.989668844533818,7.966212272644043,3.989668844533818,3.976543428110225,-1.7417148399353026,-1.2962817192077636,2.6071271896362305,7.663271045684814,7.858638401031493
50,H56,SUPERSEDED,PS,8,14,57.142857142857146,0,2,14,0.14285714285714285,0.14285714285714285,2,2,7.05643678350108,8.120376110076904,7.05643678350108,1.0639393265758241,-4.35370900630951,-4.2094820737838745,1.6140143871307373,12.226043891906738,13.362796058654784
50,MASS56,ACTIVE,RS,480,505,95.04950495049505,0,416,509,0.8172888015717092,0.8198019801980198,412,412,0.9552558072627261,9.724045836099304,0.9552558072627261,8.768790028836577,-6.391002779006958,0.08707637786865287,8.541719540953636,5.657086944580072,10.505570907592768
50,MASS56,ACTIVE,PS,888,1010,87.92079207920793,0,607,1018,0.5962671905697446,0.596039603960396,599,599,2.1537739511254452,8.359527232254496,2.1537739511254452,6.20575328112905,-7.43625447511673,-2.971822601556778,6.548549294471741,8.316857910156248,12.002724170684811
50,MASS56,SUPERSEDED,RS,5,7,71.42857142857143,0,3,7,0.42857142857142855,0.42857142857142855,3,3,3.9900312274694443,7.963601248604911,3.9900312274694443,3.9735700211354663,-1.7355888748168946,-1.2938730239868164,2.611877918243408,7.663680648803711,7.8611674499511714
50,MASS56,SUPERSEDED,PS,8,14,57.142857142857146,0,2,14,0.14285714285714285,0.14285714285714285,2,2,7.056148250188146,8.11795347077506,7.056148250188146,1.061805220586913,-4.3580327272415165,-4.205164551734924,1.6095051765441895,12.228536128997803,13.366715526580808
70,NATIVE,ACTIVE,RS,417,499,83.56713426853707,0,258,503,0.5129224652087475,0.5140280561122245,256,256,2.8681551258243365,7.687037143774166,2.8681551258243365,4.8188820179498295,-7.0785617971420285,-3.3310728073120117,4.509298503398895,10.004708099365232,13.062622566223117
70,NATIVE,ACTIVE,PS,708,998,70.94188376753507,0,263,1006,0.2614314115308151,0.26002004008016033,257,257,4.916492484805416,7.447746261230153,4.916492484805416,2.531253776424737,-7.747495843172073,-4.3658589839935305,2.3174408674240112,11.656134986877436,14.327866077423096
70,NATIVE,SUPERSEDED,RS,10,13,76.92307692307692,0,2,13,0.15384615384615385,0.15384615384615385,2,2,5.015989459477938,8.490731661136333,5.015989459477938,3.4747422016583958,-2.8600841331481934,-2.42689790725708,2.814958095550537,10.34361743927001,13.182676887512201
70,NATIVE,SUPERSEDED,PS,15,26,57.69230769230769,0,3,26,0.11538461538461539,0.11538461538461539,3,3,6.256177552617514,7.054843939267672,6.256177552617514,0.7986663866501588,-5.092909157276154,-4.675128996372223,0.6281194686889648,10.166903734207153,10.705623865127563
