phase,state,condition,panel,layer,space,variant,contexts,PR_min,PR_max,PR_mean,mean_energy_min,mean_energy_max
E1,0,native,early,4,projected,raw,6,407.5492122034507,499.88601920665354,478.44181970497675,0.023011011733442832,0.028154562608521536
E1,0,native,early,4,projected,centered,6,606.3560277701204,672.5286184835527,654.5077283642107,0.023011011733442832,0.028154562608521536
E1,0,native,early,4,projected,unit_raw,6,411.44036669720816,507.12141385745997,482.15153443555846,0.023011011733442832,0.028154562608521536
E1,0,native,early,4,projected,unit_centered,6,623.5319305160109,700.0140476645577,674.6505042980752,0.023011011733442832,0.028154562608521536
E1,0,native,early,4,raw,raw,6,153.77128570584048,187.3491157760334,173.2771822659133,0.06250574875006376,0.07015520536601795
E1,0,native,early,4,raw,centered,6,596.941716404054,665.1739388875077,645.9731432266216,0.06250574875006376,0.07015520536601795
E1,0,native,early,4,raw,unit_raw,6,151.03311826143823,184.03073180773748,169.92144684134004,0.06250574875006376,0.07015520536601795
E1,0,native,early,4,raw,unit_centered,6,610.8089054158579,691.2184635950845,664.3176155168417,0.06250574875006376,0.07015520536601795
E1,0,native,early,5,projected,raw,6,302.28007829454447,462.48271486299524,413.18743378622884,0.019237427341916497,0.035761747447492935
E1,0,native,early,5,projected,centered,6,510.178451256725,570.4549385239408,543.9745572179285,0.019237427341916497,0.035761747447492935
E1,0,native,early,5,projected,unit_raw,6,294.5734144679567,480.3736612959004,416.71254028053926,0.019237427341916497,0.035761747447492935
E1,0,native,early,5,projected,unit_centered,6,508.56581834451254,585.7788343779953,554.6349977495769,0.019237427341916497,0.035761747447492935
E1,0,native,early,5,raw,raw,6,98.19356399028558,152.63600065961367,129.29373987581064,0.06865046611092288,0.09042276578824403
E1,0,native,early,5,raw,centered,6,476.63473788399136,542.7247909616472,513.7495354378402,0.06865046611092288,0.09042276578824403
E1,0,native,early,5,raw,unit_raw,6,96.01494373169852,152.7827292985102,127.80585509607984,0.06865046611092288,0.09042276578824403
E1,0,native,early,5,raw,unit_centered,6,473.2825394822084,555.866028032316,520.9371693666684,0.06865046611092288,0.09042276578824403
E1,0,native,early,6,projected,raw,6,143.9379969446841,247.7850636451197,212.42649887461164,0.04114860480630613,0.06267920448075717
E1,0,native,early,6,projected,centered,6,361.8514493481169,458.35136624659606,413.9050144202622,0.04114860480630613,0.06267920448075717
E1,0,native,early,6,projected,unit_raw,6,140.3268243563085,247.67968090263685,210.6317171700035,0.04114860480630613,0.06267920448075717
E1,0,native,early,6,projected,unit_centered,6,356.96732608892796,464.7163644232436,412.4712231683498,0.04114860480630613,0.06267920448075717
E1,0,native,early,6,raw,raw,6,50.6292420278905,75.14468459836381,66.24048734403073,0.10259510351017581,0.12861025004006912
E1,0,native,early,6,raw,centered,6,310.0467166322788,404.5799851426628,357.5557918053875,0.10259510351017581,0.12861025004006912
E1,0,native,early,6,raw,unit_raw,6,50.10085196778338,76.45420081626321,66.35642157760934,0.10259510351017581,0.12861025004006912
E1,0,native,early,6,raw,unit_centered,6,306.5130819716905,411.1553369629481,357.43216563898045,0.10259510351017581,0.12861025004006912
E1,0,native,early,7,projected,raw,6,67.30930676941763,151.9381969996357,106.5726011302939,0.05707614995884131,0.1019978288582375
E1,0,native,early,7,projected,centered,6,249.97012141251017,336.4910403361953,293.2090126083214,0.05707614995884131,0.1019978288582375
E1,0,native,early,7,projected,unit_raw,6,66.85171827754196,155.63517044321634,106.78694406057747,0.05707614995884131,0.1019978288582375
E1,0,native,early,7,projected,unit_centered,6,247.1867235549027,339.6986703731111,292.3986731443602,0.05707614995884131,0.1019978288582375
E1,0,native,early,7,raw,raw,6,30.047462042609208,50.38609573401366,39.10912643440488,0.12498272258362018,0.16813817133408168
E1,0,native,early,7,raw,centered,6,207.41727093103273,289.7939177204918,249.77359773056332,0.12498272258362018,0.16813817133408168
E1,0,native,early,7,raw,unit_raw,6,30.16779655563373,51.82036052748855,39.662301438793165,0.12498272258362018,0.16813817133408168
E1,0,native,early,7,raw,unit_centered,6,210.80946349030037,294.838445836403,251.46784809714129,0.12498272258362018,0.16813817133408168
E1,0,native,early,8,projected,raw,6,58.4813639492862,131.36314842483054,88.85078109500607,0.06271689528689149,0.10569924473292695
E1,0,native,early,8,projected,centered,6,204.78547134731235,300.83357198244545,252.49532501626507,0.06271689528689149,0.10569924473292695
E1,0,native,early,8,projected,unit_raw,6,58.437558923074405,129.83052152439032,87.2157311827497,0.06271689528689149,0.10569924473292695
E1,0,native,early,8,projected,unit_centered,6,204.3259689981116,296.76716450485065,250.51507860759173,0.06271689528689149,0.10569924473292695
E1,0,native,early,8,raw,raw,6,34.005266758611924,58.80386383480652,44.53465129714004,0.11223648407695618,0.15509352345650204
E1,0,native,early,8,raw,centered,6,177.48464302042862,257.4215780564848,217.7006413157411,0.11223648407695618,0.15509352345650204
E1,0,native,early,8,raw,unit_raw,6,33.5639575628658,59.05631867399932,44.386469611773684,0.11223648407695618,0.15509352345650204
