entry,branch,entry_ledger_sha256,functional_current_valid,functional_superseded,received_event_count,selection_uses_success,statistics_denominator,statistics_include_superseded,statistics_weight_sum
50,NATIVE,6d3aa5e75d0accc25c1ccdc728b79c32600252f525a274c8152ac6f6f2069cf8,505,7,5000,False,512,True,512
50,SHAM,6d3aa5e75d0accc25c1ccdc728b79c32600252f525a274c8152ac6f6f2069cf8,505,7,5000,False,512,True,512
50,H5,6d3aa5e75d0accc25c1ccdc728b79c32600252f525a274c8152ac6f6f2069cf8,505,7,5000,False,512,True,512
50,H6,6d3aa5e75d0accc25c1ccdc728b79c32600252f525a274c8152ac6f6f2069cf8,505,7,5000,False,512,True,512
50,H56,6d3aa5e75d0accc25c1ccdc728b79c32600252f525a274c8152ac6f6f2069cf8,505,7,5000,False,512,True,512
50,MASS56,6d3aa5e75d0accc25c1ccdc728b79c32600252f525a274c8152ac6f6f2069cf8,505,7,5000,False,512,True,512
70,NATIVE,a012e43e3851bff03882ef3c0c4b2ba7fde8e40d88d32c46c4607417826b8cf3,499,13,7000,False,512,True,512
70,SHAM,a012e43e3851bff03882ef3c0c4b2ba7fde8e40d88d32c46c4607417826b8cf3,499,13,7000,False,512,True,512
70,H5,a012e43e3851bff03882ef3c0c4b2ba7fde8e40d88d32c46c4607417826b8cf3,499,13,7000,False,512,True,512
70,H6,a012e43e3851bff03882ef3c0c4b2ba7fde8e40d88d32c46c4607417826b8cf3,499,13,7000,False,512,True,512
70,H56,a012e43e3851bff03882ef3c0c4b2ba7fde8e40d88d32c46c4607417826b8cf3,499,13,7000,False,512,True,512
70,MASS56,a012e43e3851bff03882ef3c0c4b2ba7fde8e40d88d32c46c4607417826b8cf3,499,13,7000,False,512,True,512
80,NATIVE,27cf0f59ec60f68b7adc14af925130ac5b31e7a547895e9e3dafb9c6bc49786a,497,15,8000,False,512,True,512
80,SHAM,27cf0f59ec60f68b7adc14af925130ac5b31e7a547895e9e3dafb9c6bc49786a,497,15,8000,False,512,True,512
80,H5,27cf0f59ec60f68b7adc14af925130ac5b31e7a547895e9e3dafb9c6bc49786a,497,15,8000,False,512,True,512
80,H6,27cf0f59ec60f68b7adc14af925130ac5b31e7a547895e9e3dafb9c6bc49786a,497,15,8000,False,512,True,512
80,H56,27cf0f59ec60f68b7adc14af925130ac5b31e7a547895e9e3dafb9c6bc49786a,497,15,8000,False,512,True,512
80,MASS56,27cf0f59ec60f68b7adc14af925130ac5b31e7a547895e9e3dafb9c6bc49786a,497,15,8000,False,512,True,512
90,NATIVE,2f22dfbe0775ba7c2b4e0d0ffb07f404850bd60fc593bf0652e514db4fd7c763,495,17,9000,False,512,True,512
90,SHAM,2f22dfbe0775ba7c2b4e0d0ffb07f404850bd60fc593bf0652e514db4fd7c763,495,17,9000,False,512,True,512
90,H5,2f22dfbe0775ba7c2b4e0d0ffb07f404850bd60fc593bf0652e514db4fd7c763,495,17,9000,False,512,True,512
90,H6,2f22dfbe0775ba7c2b4e0d0ffb07f404850bd60fc593bf0652e514db4fd7c763,495,17,9000,False,512,True,512
90,H56,2f22dfbe0775ba7c2b4e0d0ffb07f404850bd60fc593bf0652e514db4fd7c763,495,17,9000,False,512,True,512
90,MASS56,2f22dfbe0775ba7c2b4e0d0ffb07f404850bd60fc593bf0652e514db4fd7c763,495,17,9000,False,512,True,512
