entry,branch,layer,preM,postM,key,validation,independent_fullM,reused
50,H5,7,e26090d723de84ab7704cd8dbb3aaf5b877769b7bdc3cbe7a84a951da888541b,54a14ee7f7beffee1a6c551e283d31fe636604b85788a9332313fda9bb686d45,2006a41529b47fc4b0046c4f607d38a24011af87666632b15b1d98b91c2b3135,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
50,H5,8,7cadb148bbb8aef279dc5197a3a0fc149bc33624b033d79223a4e4e4283c120a,4d31343bda367fdaad57942c75f6eacc16753e53269bd47c6c3eec5ba47a4878,6f339c75d469938d8b0d6e41b0402a2990e5d48435bb34829232ebc34053eb50,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
50,H6,4,835eddbfb6b3f33c48223456ef77521b865f3a4299cfc07623976be2b3580cf7,10c8270ad81d66367e4c3f2e67a289d6360916882e85e74e135b4e91a7f388e8,cf90e4e9c5c61088e2d45bdb7ad86e237d6555fba44507d9b753504e4dd64766,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
50,H6,5,23851395f6f94aa067065b09ed1e600f28875f23ce342a46321288472c762341,193f3381f16b603ff3846edac2cbcb6b6fdb1129c05dcb0105db133e25aacfeb,c946f664b5b74b4168a63a61e896d2fbbb79eea3383ca05c8d0a59621e8ddd59,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
50,H6,6,c30d288781b8d264c5669714ff1ec4bf9dd20f528226e12008fcfb6e2304c5e6,3240e058967896aa2d2462764f4f867d8e6a497c5aa9715348d577276ea666da,8cf82418bbabbedc856d80a55167312ae0024bf627c724381773ff63f835c2ba,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
50,H6,7,e26090d723de84ab7704cd8dbb3aaf5b877769b7bdc3cbe7a84a951da888541b,e986c03b9cd988c9ee20980edb0a2cc24859fa716beeef2e8ffceb689db86051,ea667b93f5f2a14dd48b3c9cb8147ba68b6152ac6a0485b4aefcd90df62eabe2,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
50,H6,8,7cadb148bbb8aef279dc5197a3a0fc149bc33624b033d79223a4e4e4283c120a,82688a9e80c1914af6fab9ed62c1906b642da14c13fb20930b02854591eed150,d053d5a80b044ce4850b3ea4f2f0f58722d51f4fde7cdae17a92d802a4ca05f8,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
50,H56,4,835eddbfb6b3f33c48223456ef77521b865f3a4299cfc07623976be2b3580cf7,10c8270ad81d66367e4c3f2e67a289d6360916882e85e74e135b4e91a7f388e8,cf90e4e9c5c61088e2d45bdb7ad86e237d6555fba44507d9b753504e4dd64766,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
50,H56,5,23851395f6f94aa067065b09ed1e600f28875f23ce342a46321288472c762341,193f3381f16b603ff3846edac2cbcb6b6fdb1129c05dcb0105db133e25aacfeb,c946f664b5b74b4168a63a61e896d2fbbb79eea3383ca05c8d0a59621e8ddd59,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
50,H56,6,c30d288781b8d264c5669714ff1ec4bf9dd20f528226e12008fcfb6e2304c5e6,4667b790b953431987dad3b26daa76a0abf5a60902358afeaeef07d211e8f7ee,fb722bae5bd4a6927b534a6c93e26ee3ce0965dd0618a56b6fd7b22aa641f324,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
