entry,branch,stage,panel,w0_correct,retained,gross_lost,recovered_from_w0_failure
50,NATIVE,W4,N512,512,86,426,0
50,NATIVE,W5,N512,512,87,425,0
50,NATIVE,W6,N512,512,85,427,0
50,NATIVE,W7,N512,512,87,425,0
50,NATIVE,W8,N512,512,83,429,0
50,NATIVE,entry,N512,512,91,421,0
50,NATIVE,history,N512,512,83,429,0
50,NATIVE,z,N512,512,91,421,0
50,SHAM,W4,N512,512,86,426,0
50,SHAM,W5,N512,512,87,425,0
50,SHAM,W6,N512,512,85,427,0
50,SHAM,W7,N512,512,87,425,0
50,SHAM,W8,N512,512,83,429,0
50,SHAM,entry,N512,512,91,421,0
50,SHAM,history,N512,512,83,429,0
50,SHAM,z,N512,512,91,421,0
50,H5,W4,N512,512,86,426,0
50,H5,W5,N512,512,87,425,0
50,H5,W6,N512,512,85,427,0
50,H5,W7,N512,512,87,425,0
50,H5,W8,N512,512,84,428,0
50,H5,entry,N512,512,91,421,0
50,H5,history,N512,512,84,428,0
50,H5,z,N512,512,91,421,0
50,H6,W4,N512,512,86,426,0
50,H6,W5,N512,512,87,425,0
50,H6,W6,N512,512,85,427,0
50,H6,W7,N512,512,87,425,0
50,H6,W8,N512,512,84,428,0
50,H6,entry,N512,512,91,421,0
50,H6,history,N512,512,84,428,0
50,H6,z,N512,512,91,421,0
50,H56,W4,N512,512,86,426,0
50,H56,W5,N512,512,87,425,0
50,H56,W6,N512,512,86,426,0
50,H56,W7,N512,512,87,425,0
50,H56,W8,N512,512,84,428,0
50,H56,entry,N512,512,91,421,0
50,H56,history,N512,512,84,428,0
50,H56,z,N512,512,91,421,0
50,MASS56,W4,N512,512,86,426,0
50,MASS56,W5,N512,512,87,425,0
50,MASS56,W6,N512,512,85,427,0
50,MASS56,W7,N512,512,87,425,0
50,MASS56,W8,N512,512,83,429,0
50,MASS56,entry,N512,512,91,421,0
50,MASS56,history,N512,512,83,429,0
50,MASS56,z,N512,512,91,421,0
70,NATIVE,W4,N512,512,64,448,0
70,NATIVE,W5,N512,512,61,451,0
70,NATIVE,W6,N512,512,63,449,0
70,NATIVE,W7,N512,512,59,453,0
70,NATIVE,W8,N512,512,59,453,0
70,NATIVE,entry,N512,512,60,452,0
70,NATIVE,history,N512,512,59,453,0
70,NATIVE,z,N512,512,60,452,0
70,SHAM,W4,N512,512,64,448,0
70,SHAM,W5,N512,512,61,451,0
70,SHAM,W6,N512,512,63,449,0
70,SHAM,W7,N512,512,59,453,0
70,SHAM,W8,N512,512,59,453,0
70,SHAM,entry,N512,512,60,452,0
70,SHAM,history,N512,512,59,453,0
70,SHAM,z,N512,512,60,452,0
70,H5,W4,N512,512,64,448,0
70,H5,W5,N512,512,60,452,0
70,H5,W6,N512,512,63,449,0
70,H5,W7,N512,512,59,453,0
70,H5,W8,N512,512,59,453,0
70,H5,entry,N512,512,60,452,0
70,H5,history,N512,512,59,453,0
70,H5,z,N512,512,60,452,0
70,H6,W4,N512,512,64,448,0
70,H6,W5,N512,512,61,451,0
70,H6,W6,N512,512,62,450,0
70,H6,W7,N512,512,59,453,0
70,H6,W8,N512,512,59,453,0
70,H6,entry,N512,512,60,452,0
70,H6,history,N512,512,59,453,0
70,H6,z,N512,512,60,452,0
70,H56,W4,N512,512,64,448,0
70,H56,W5,N512,512,60,452,0
70,H56,W6,N512,512,63,449,0
70,H56,W7,N512,512,58,454,0
70,H56,W8,N512,512,59,453,0
70,H56,entry,N512,512,60,452,0
70,H56,history,N512,512,59,453,0
70,H56,z,N512,512,60,452,0
70,MASS56,W4,N512,512,64,448,0
70,MASS56,W5,N512,512,61,451,0
70,MASS56,W6,N512,512,63,449,0
70,MASS56,W7,N512,512,59,453,0
70,MASS56,W8,N512,512,59,453,0
70,MASS56,entry,N512,512,60,452,0
70,MASS56,history,N512,512,59,453,0
70,MASS56,z,N512,512,60,452,0
80,NATIVE,W4,N512,512,53,459,0
80,NATIVE,W5,N512,512,50,462,0
80,NATIVE,W6,N512,512,52,460,0
80,NATIVE,W7,N512,512,50,462,0
80,NATIVE,W8,N512,512,49,463,0
80,NATIVE,entry,N512,512,51,461,0
80,NATIVE,history,N512,512,49,463,0
80,NATIVE,z,N512,512,51,461,0
80,SHAM,W4,N512,512,53,459,0
80,SHAM,W5,N512,512,50,462,0
80,SHAM,W6,N512,512,52,460,0
80,SHAM,W7,N512,512,50,462,0
80,SHAM,W8,N512,512,49,463,0
