entry,branch,stage,requests,pair_R_twoP_joint,TF_R_twoP_joint,TF_unique_R_twoP_joint
50,NATIVE,W5,100,82,49,49
50,NATIVE,W6,100,88,55,55
50,NATIVE,W8,100,92,68,68
50,NATIVE,entry,100,21,2,2
50,NATIVE,history,100,92,68,68
50,SHAM,W5,100,82,49,49
50,SHAM,W6,100,88,55,55
50,SHAM,W8,100,92,68,68
50,SHAM,entry,100,21,2,2
50,SHAM,history,100,92,68,68
50,H5,W5,100,82,49,49
50,H5,W6,100,88,55,55
50,H5,W8,100,92,68,68
50,H5,entry,100,21,2,2
50,H5,history,100,92,68,68
50,H6,W5,100,82,49,49
50,H6,W6,100,88,55,55
50,H6,W8,100,92,68,68
50,H6,entry,100,21,2,2
50,H6,history,100,92,68,68
50,H56,W5,100,82,49,49
50,H56,W6,100,88,55,55
50,H56,W8,100,92,68,68
50,H56,entry,100,21,2,2
50,H56,history,100,92,68,68
50,MASS56,W5,100,82,49,49
50,MASS56,W6,100,88,55,55
50,MASS56,W8,100,92,68,68
50,MASS56,entry,100,21,2,2
50,MASS56,history,100,92,68,68
70,NATIVE,W5,100,71,34,34
70,NATIVE,W6,100,80,50,50
70,NATIVE,W8,100,91,68,68
70,NATIVE,entry,100,21,2,2
70,NATIVE,history,100,91,68,68
70,SHAM,W5,100,71,34,34
70,SHAM,W6,100,80,50,50
70,SHAM,W8,100,91,68,68
70,SHAM,entry,100,21,2,2
70,SHAM,history,100,91,68,68
70,H5,W5,100,71,34,34
70,H5,W6,100,80,50,50
70,H5,W8,100,91,68,68
70,H5,entry,100,21,2,2
70,H5,history,100,91,68,68
70,H6,W5,100,71,34,34
70,H6,W6,100,80,50,50
70,H6,W8,100,91,68,68
70,H6,entry,100,21,2,2
70,H6,history,100,91,68,68
70,H56,W5,100,71,34,34
70,H56,W6,100,80,50,50
70,H56,W8,100,91,68,68
70,H56,entry,100,21,2,2
70,H56,history,100,91,68,68
70,MASS56,W5,100,71,34,34
70,MASS56,W6,100,80,50,50
70,MASS56,W8,100,91,68,68
70,MASS56,entry,100,21,2,2
70,MASS56,history,100,91,68,68
80,NATIVE,W5,100,69,23,23
80,NATIVE,W6,100,77,35,35
80,NATIVE,W8,100,82,48,48
80,NATIVE,entry,100,22,1,1
80,NATIVE,history,100,82,48,48
80,SHAM,W5,100,69,23,23
80,SHAM,W6,100,77,35,35
80,SHAM,W8,100,82,48,48
80,SHAM,entry,100,22,1,1
80,SHAM,history,100,82,48,48
80,H5,W5,100,69,23,23
80,H5,W6,100,77,35,35
80,H5,W8,100,82,48,48
80,H5,entry,100,22,1,1
80,H5,history,100,82,48,48
80,H6,W5,100,69,23,23
80,H6,W6,100,77,34,34
80,H6,W8,100,82,48,48
80,H6,entry,100,22,1,1
80,H6,history,100,82,48,48
80,H56,W5,100,69,23,23
80,H56,W6,100,77,34,34
80,H56,W8,100,82,48,48
80,H56,entry,100,22,1,1
80,H56,history,100,82,48,48
80,MASS56,W5,100,69,23,23
80,MASS56,W6,100,77,35,35
80,MASS56,W8,100,82,48,48
80,MASS56,entry,100,22,1,1
80,MASS56,history,100,82,48,48
90,NATIVE,W5,100,67,16,16
90,NATIVE,W6,100,79,27,27
90,NATIVE,W8,100,87,40,40
90,NATIVE,entry,100,25,0,0
90,NATIVE,history,100,87,40,40
90,SHAM,W5,100,67,16,16
90,SHAM,W6,100,79,27,27
90,SHAM,W8,100,87,40,40
90,SHAM,entry,100,25,0,0
90,SHAM,history,100,87,40,40
90,H5,W5,100,67,16,16
90,H5,W6,100,79,27,27
90,H5,W8,100,87,40,40
90,H5,entry,100,25,0,0
90,H5,history,100,87,40,40
90,H6,W5,100,67,16,16
90,H6,W6,100,79,27,27
90,H6,W8,100,87,40,40
90,H6,entry,100,25,0,0
90,H6,history,100,87,40,40
90,H56,W5,100,67,16,16
90,H56,W6,100,79,27,27
90,H56,W8,100,87,40,40
90,H56,entry,100,25,0,0
90,H56,history,100,87,40,40
90,MASS56,W5,100,67,16,16
90,MASS56,W6,100,79,27,27
90,MASS56,W8,100,87,40,40
90,MASS56,entry,100,25,0,0
90,MASS56,history,100,87,40,40
