entry,layer,family,variant,panel,metric,n,lost,gained,delta_pp,tf_lost,tf_gained,desired_nll_delta_mean,desired_nll_delta_p95,desired_nll_delta_p99,desired_nll_delta_max,lost_ids,gained_ids,cluster_cases,bootstrap_seed,bootstrap_repeats,descriptive_ci_low,descriptive_ci_high
50,6,KR,bb,Current,RS,100,0,0,0.0,2,0,0.025185719583532773,0.18622027039527894,0.42946984171867625,0.9173074960708618,,,,,,,
50,6,KR,ab,Current,PS,200,1,0,-0.5,3,1,0.03567815014077496,0.30641360282897945,0.5891604280471794,0.6844205856323242,cd4057a9d700537155bffab39bc2d4362205b12f666ebf848da91bbed0c9ada3,,,,,,
50,6,KR,ba,Current,PS,200,0,0,0.0,0,1,-0.012574436137474549,0.02199417948722839,0.04657679557800286,0.07717472314834595,,,,,,,
50,6,KR,bb,Current,PS,200,1,0,-0.5,3,1,0.01985871256714745,0.20868177115917202,0.5354742288589465,0.7284321784973145,cd4057a9d700537155bffab39bc2d4362205b12f666ebf848da91bbed0c9ada3,,,,,,
50,6,KR,ab,Current,NS,1000,1,1,0.0,1,0,-0.009098786363843828,0.06840039491653435,0.11860485315322872,0.19486236572265625,e9a6de5846165b5d46c8cd4505a8b80230f5bb424af54f3c901ff3ae9de06e1b,7609d05f655604059afc8ef1566392eaaf8d2f764de35354164b79dfb3290b99,,,,,
50,6,KR,ba,Current,NS,1000,2,0,-0.2,0,0,0.002099206461571157,0.05165004730224604,0.1207561445236206,0.2562875747680664,c64695fe56073a656e80a5d8a457509169ff665bfd8fc3aebe88c57a68828d04;e9a6de5846165b5d46c8cd4505a8b80230f5bb424af54f3c901ff3ae9de06e1b,,,,,,
50,6,KR,bb,Current,NS,1000,1,2,0.1,0,0,-0.0060059500313363965,0.0818212032318115,0.15138089656829826,0.3305187225341797,e9a6de5846165b5d46c8cd4505a8b80230f5bb424af54f3c901ff3ae9de06e1b,7609d05f655604059afc8ef1566392eaaf8d2f764de35354164b79dfb3290b99;39532ba49b79122c686783d3a7c680ac7e38c64730fd94c8d86ef1955b6fd376,,,,,
50,6,components,mean,Current,RS,100,0,0,0.0,0,0,-0.0010005353565793484,0.011307808756828306,0.02757354259490968,0.02959918975830078,,,,,,,
50,6,components,mean,Current,PS,200,0,0,0.0,0,1,-0.0031632446410367267,0.020298147201538077,0.0473119544982909,0.08811795711517334,,,,,,,
50,6,components,mean,Current,NS,1000,1,1,0.0,0,0,0.0036968343844637273,0.040541172027587884,0.07167919158935547,0.20384979248046875,278187f13a9331a103c3bd237ed6d83ef93ac2754929676f528ea7f1cdb87371,eeb0a10e475ab1e5f1cc22937bb9c8ed9617aa6a939829f3a740320c3249cafd,,,,,
50,6,components,centered,Current,RS,100,0,5,5.0,0,9,-0.6257268802463659,-0.0016279362273053288,-5.7456782087598805e-06,0.0016366411000490189,,b34e85779a59aadb125041d320d904ce60be887ef26ff06b5ce82acc03576e09;e04259bab38e05977f6145418824038daceaa962e5b620a3be5c1ef965878d74;10011666cafcd54a55638a96799b6508c77fdda4121e87ee59f2b3c26d1f3ba3;def38c8bfcec028e32af4262683d5f103bdcfd21a6958b6e641d58bcb12aa7de;c3b6e1f711af92ee7246827d9b67a7b79f87504722dc341808d0cdfd41b4bf34,,,,,
